POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,6,Classified,201,6:03:07.595,-,-,191,1:33.472,210.7,Porsche Penske Motorsports,GTP,,,Porsche 963,M,2189,200,44,193,112,3,,14970,,,Nick,Tandy,Platinum,,GBR,,124,1,Platinum,,,Mathieu,Jaminet,Platinum,,FRA,,1449,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,Classified,201,6:03:09.715,+2.120,+2.120,135,1:33.342,211.0,BMW M Team RLL,GTP,,,BMW M Hybrid V8,M,2155,395,44,190,74,3,,14933,,,Connor,De Phillippi,Gold,,USA,,698,2,Gold,,,Nick,Yelloly,Platinum,,GBR,,2205,1,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,Classified,201,6:03:21.793,+14.198,+12.078,146,1:33.028,211.7,Whelen Engineering Cadillac Racing,GTP,,,Cadillac V-Series.R,M,2196,344,44,228,7646,3,,14977,,,Pipo,Derani,Platinum,,BRA,,1083,3,Platinum,,,Alexander,Sims,Platinum,,GBR,,1261,2,Platinum,,,Jack,Aitken,Gold,,GBR,,2986,4,Gold,,,,,,,,,,,,,,,,,,,,,
4,60,Classified,201,6:03:30.136,+22.541,+8.343,163,1:33.533,210.6,Meyer Shank Racing w/ Curb Agajanian,GTP,,,Acura ARX-06,M,2267,3,44,195,7641,3,,14944,,,Tom,Blomqvist,Platinum,,MCO,,1718,1,Platinum,,,Colin,Braun,Gold,,USA,,61,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Classified,199,6:03:55.761,2 Laps,2 Laps,44,1:34.557,208.3,JDC Miller MotorSports,GTP,,,Porsche 963,M,2276,15,44,193,112,3,,14976,,,Tijmen,van der Helm,Gold,,NLD,,2687,1,Gold,,,Mike,Rockenfeller,,,CHE,,625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,01,Classified,197,6:03:57.781,4 Laps,2 Laps,135,1:34.047,209.5,Cadillac Racing,GTP,,,Cadillac V-Series.R,M,2187,339,44,228,7646,3,,14969,,,Sebastien,Bourdais,Platinum,,FRA,,602,2,Platinum,,,Renger,van der Zande,Platinum,,NLD,,1998,1,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,04,Classified,196,6:03:12.433,5 Laps,1 Lap,145,1:35.856,205.5,Crowdstrike Racing by APR,LMP2,,,ORECA LMP2 07,M,2160,459,28,85,7637,3,,14942,,,George,Kurtz,Bronze,,USA,,1612,1,Bronze,,,Ben,Hanley,Gold,,GBR,,1275,2,Gold,,,Nolan,Siegel,Silver,,USA,,2794,3,Silver,,,,,,,,,,,,,,,,,,,,,
8,18,Classified,196,6:03:12.758,5 Laps,+0.325,135,1:35.661,205.9,Era Motorsport,LMP2,,,ORECA LMP2 07,M,761,291,28,85,7637,3,,14938,,,Dwight,Merriman,Bronze,,USA,,1930,1,Bronze,,,Ryan,Dalziel,Gold,,GBR,,192,2,Gold,,,Christian,Rasmussen,Silver,,DNK,,2966,3,Silver,,,,,,,,,,,,,,,,,,,,,
9,52,Classified,196,6:03:38.709,5 Laps,+25.951,135,1:35.404,206.5,PR1 Mathiasen Motorsports,LMP2,,,ORECA LMP2 07,M,776,16,28,85,7637,3,,14955,,,Ben,Keating,Bronze,,USA,,378,1,Bronze,,,Paul-Loup,Chatin,Gold,,FRA,,2401,3,Gold,,,Alex,Quinn,Silver,,GBR,,2983,2,Silver,,,,,,,,,,,,,,,,,,,,,
10,35,Classified,195,6:03:09.245,6 Laps,1 Lap,162,1:35.626,206.0,TDS Racing,LMP2,,,ORECA LMP2 07,M,2167,335,28,85,7637,3,,14947,,,John,Falb,Bronze,,USA,,725,1,Bronze,,,Giedo,van der Garde,Platinum,,NLD,,3001,2,Platinum,,,Josh,Pierson,Silver,,USA,,2761,3,Silver,,,,,,,,,,,,,,,,,,,,,
11,8,Classified,195,6:04:08.010,6 Laps,+58.765,156,1:36.143,204.9,Tower Motorsports,LMP2,,,ORECA LMP2 07,M,2164,460,28,85,7637,3,,14945,,,Salih,Yoluc,Bronze,,TUR,,2450,1,Bronze,,,Kyffin,Simpson,Silver,,IOT,,2779,2,Silver,,,Will,Stevens,Platinum,,GBR,,2698,3,Platinum,,,,,,,,,,,,,,,,,,,,,
12,88,Classified,193,6:03:32.007,8 Laps,2 Laps,126,1:36.230,204.7,AF Corse,LMP2,,,ORECA LMP2 07,M,2173,333,28,85,7637,3,,14957,,,Luis,Perez Companc,Bronze,,ARG,,2719,1,Bronze,,,Lilou,Wadoux Ducellier,Silver,,FRA,,3117,2,Silver,,,Nicklas,Nielsen,Platinum,,DNK,,2065,3,Platinum,,,,,,,,,,,,,,,,,,,,,
