POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
11,95,7,1:46.450,+2.020,+0.151,185.0,9,Turner Motorsport,GTDPRO,,,BMW M4 GT3,M,2243,38,41,111,74,3,,14927,,,Bill,Auberlen,Gold,,USA,,39,1,Gold,,,Chandler,Hull,Silver,,USA,,2152,2,Silver,,,John,Edwards,Platinum,,USA,,942,4,Platinum,,,,,,,,,,,,,,,,,,,,,
12,27,6,1:46.577,+2.147,+0.127,184.8,8,Heart of Racing Team,GTD,B,,Aston Martin Vantage GT3,M,1510,294,4,18,73,3,,14951,,,Roman,De Angelis,Silver,,CAN,,1379,1,Silver,,,Marco,Sorensen,Platinum,,MCO,,2721,2,Platinum,,,Ian,James,Bronze,,USA,,453,3,Bronze,,,,,,,,,,,,,,,,,,,,,
13,42,5,1:46.643,+2.213,+0.066,184.7,8,NTE Sport LLC,GTD,B,,Lamborghini Huracan GT3 EVO2,M,2203,353,4,194,1609,3,,14982,,,Jaden,Conwright,Silver,,USA,,2204,2,Silver,,,Luke,Berkeley,Silver,,USA,,2486,1,Silver,,,Rob,Ferriol,Bronze,,USA,,1589,3,Bronze,,,,,,,,,,,,,,,,,,,,,
14,32,8,1:46.741,+2.311,+0.098,184.5,9,Team Korthoff Motorsports,GTD,,,Mercedes-AMG GT3,M,2335,463,4,224,7643,3,,14967,,,Mike,Skeen,Silver,,USA,,830,4,Silver,,,Mikael,Grenier,Gold,,CAN,,1624,3,Gold,,,Kenton,Koch,Silver,,USA,,2239,1,Silver,,,,,,,,,,,,,,,,,,,,,
15,70,7,1:47.118,+2.688,+0.377,183.9,9,Inception Racing,GTD,B,,McLaren 720S GT3 EVO,M,1520,388,4,81,7651,3,,14975,,,Brendan,Iribe,Bronze,,USA,,2622,1,Bronze,,,Frederik,Schandorff,Gold,,DNK,,2995,2,Gold,,,Ollie,Millroy,Silver,,GBR,,3004,3,Silver,,,,,,,,,,,,,,,,,,,,,
16,96,8,1:47.168,+2.738,+0.050,183.8,9,Turner Motorsport,GTD,,,BMW M4 GT3,M,1553,38,4,111,74,3,,14928,,,Patrick,Gallagher,Silver,,USA,,1593,1,Silver,,,Robby,Foley,Gold,,USA,,1302,2,Gold,,,Michael,Dinan,Silver,,USA,,2775,3,Silver,,,,,,,,,,,,,,,,,,,,,
17,57,5,1:47.553,+3.123,+0.385,183.2,9,Winward Racing,GTD,,,Mercedes-AMG GT3,M,2330,304,4,224,7643,3,,14916,,,Russell,Ward,Silver,,USA,,1252,1,Silver,,,Raffaele,Marciello,Platinum,,CHE,,2259,2,Platinum,,,Indy,Dontje,Silver,,NLD,,3061,3,Silver,,,,,,,,,,,,,,,,,,,,,
18,91,8,1:47.592,+3.162,+0.039,183.1,9,Kellymoss with Riley,GTD,B,,Porsche 911 GT3 R (992),M,2202,465,4,192,112,3,,14981,,,Alan,Metni,Bronze,,USA,,1344,1,Bronze,,,Kay,van Berlo,Silver,,NLD,,1759,2,Silver,,,Jaxon,Evans,Gold,,NZL,,3034,3,Gold,,,,,,,,,,,,,,,,,,,,,
19,44,8,1:47.597,+3.167,+0.005,183.1,9,Magnus Racing,GTD,B,,Aston Martin Vantage GT3,M,1554,32,4,18,73,3,,14954,,,John,Potter,Bronze,,USA,,670,1,Bronze,,,Andy,Lally,Gold,,USA,,25,2,Gold,,,Spencer,Pumpelly,Silver,,USA,,64,3,Silver,,,,,,,,,,,,,,,,,,,,,
20,80,8,1:48.187,+3.757,+0.590,182.1,9,AO Racing,GTD,B,,Porsche 911 GT3 R (992),M,2204,466,4,192,112,3,,14986,,,PJ,Hyett,Bronze,,USA,,2947,1,Bronze,,,Seb,Priaulx,Gold,,GBR,,3009,2,Gold,,,Gunnar,Jeannette,Silver,,USA,,308,3,Silver,,,,,,,,,,,,,,,,,,,,,
21,023,8,1:48.390,+3.960,+0.203,181.7,9,Triarsi Competizione,GTD,B,,Ferrari 296 GT3,M,2153,458,4,191,106,3,,14931,,,Onofrio,Triarsi,Silver,,USA,,1463,1,Silver,,,Charles,Scardina,Bronze,,USA,,2609,2,Bronze,,,Alessio,Rovera,Platinum,,ITA,,2741,3,Platinum,,,,,,,,,,,,,,,,,,,,,
22,16,7,1:48.484,+4.054,+0.094,181.6,9,Wright Motorsports,GTD,B,,Porsche 911 GT3 R (992),M,2193,111,4,192,112,3,,14974,,,Ryan,Hardwick,Bronze,,USA,,1256,1,Bronze,,,Zacharie,Robichon,Silver,,CAN,,1176,2,Silver,,,Jan,Heylen,Gold,,USA,,184,3,Gold,,,,,,,,,,,,,,,,,,,,,
23,66,7,1:48.514,+4.084,+0.030,181.5,9,Gradient Racing,GTD,B,,Acura NSX GT3,M,1416,328,4,43,7641,3,,14952,,,Sheena,Monk,Bronze,,USA,,1532,3,Bronze,,,Katherine,Legge,Gold,,GBR,,2305,1,Gold,,,Marc,Miller,Silver,,USA,,455,5,Silver,,,,,,,,,,,,,,,,,,,,,
24,47,8,1:48.726,+4.296,+0.212,181.2,9,CETILAR RACING,GTD,B,,Ferrari 296 GT3,M,2171,337,4,191,106,3,,14956,,,Roberto,Lacorte,Bronze,,ITA,,2452,1,Bronze,,,Giorgio,Sernagiotto,Silver,,ITA,,2288,2,Silver,,,Antonio,Fuoco,Platinum,,ITA,,2306,3,Platinum,,,,,,,,,,,,,,,,,,,,,
25,77,8,1:49.878,+5.448,+1.152,179.3,9,Wright Motorsports,GTD,B,,Porsche 911 GT3 R (992),M,2185,111,4,192,112,3,,14968,,,Alan,Brynjolfsson,Bronze,,USA,,1271,1,Bronze,,,Trent,Hindman,Gold,,USA,,244,2,Gold,,,Maxwell,Root,Silver,,USA,,1654,3,Silver,,,,,,,,,,,,,,,,,,,,,
26,93,8,1:50.581,+6.151,+0.703,178.1,9,Racers Edge Motorsports with WTR,GTD,,,Acura NSX GT3,M,2159,414,4,43,7641,3,,14941,,,Ashton,Harrison,Silver,,?,,1862,1,Silver,,,Danny,Formal,Silver,,CRI,,2130,2,Silver,,,Kyle,Marcelli,Gold,,CAN,,88,3,Gold,,,,,,,,,,,,,,,,,,,,,
27,61,3,1:50.642,+6.212,+0.061,178.0,4,Af Corse,GTDPRO,,,Ferrari 296 GT3,M,2441,333,41,191,106,3,,15082,,,Simon,Mann,Silver,,USA,,2435,1,Silver,,,Miguel,Molina,Platinum,,ESP,,1611,2,Platinum,,,Ulysse,De Pauw,Gold,,BEL,,3124,3,Gold,,,,,,,,,,,,,,,,,,,,,
28,92,3,1:52.854,+8.424,+2.212,174.5,8,Kellymoss with Riley,GTD,B,,Porsche 911 GT3 R (992),M,2201,465,4,192,112,3,,14980,,,David,Brule,Bronze,,USA,,2924,1,Bronze,,,Alec,Udell,Silver,,USA,,866,2,Silver,,,Julien,Andlauer,Gold,,FRA,,2753,3,Gold,,,,,,,,,,,,,,,,,,,,,
29,01,0,,,,,0,Cadillac Racing,GTP,,,Cadillac V-Series.R,M,2187,339,44,228,7646,3,,14969,,,Sebastien,Bourdais,Platinum,,FRA,,602,2,Platinum,,,Renger,van der Zande,Platinum,,NLD,,1998,1,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,04,0,,,,,1,Crowdstrike Racing by APR,LMP2,,,ORECA LMP2 07,M,2160,459,28,85,7637,3,,14942,,,George,Kurtz,Bronze,,USA,,1612,1,Bronze,,,Ben,Hanley,Gold,,GBR,,1275,2,Gold,,,Nolan,Siegel,Silver,,USA,,2794,3,Silver,,,,,,,,,,,,,,,,,,,,,
31,4,0,,,,,1,Ave Motorsports,LMP3,,,Ligier JS P320,M,2360,163,36,96,7650,3,,15103,,,Seth,Lucas,Silver,,USA,,3067,1,Silver,,,Tonis,Kasemets,Bronze,,USA,,712,3,Bronze,,,Trenton,Estep,Silver,,USA,,1353,2,Silver,,,,,,,,,,,,,,,,,,,,,
32,5,0,,,,,0,JDC Miller MotorSports,GTP,,,Porsche 963,M,2276,15,44,193,112,3,,14976,,,Tijmen,van der Helm,Gold,,NLD,,2687,1,Gold,,,Mike,Rockenfeller,,,CHE,,625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6,0,,,,,0,Porsche Penske Motorsports,GTP,,,Porsche 963,M,2189,200,44,193,112,3,,14970,,,Nick,Tandy,Platinum,,GBR,,124,1,Platinum,,,Mathieu,Jaminet,Platinum,,FRA,,1449,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7,0,,,,,0,Porsche Penske Motorsports,GTP,,,Porsche 963,M,2190,200,44,193,112,3,,14971,,,Matt,Campbell,Platinum,,AUS,,1791,1,Platinum,,,Felipe,Nasr,Platinum,,BRA,,1598,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,8,0,,,,,2,Tower Motorsports,LMP2,,,ORECA LMP2 07,M,2164,460,28,85,7637,3,,14945,,,Salih,Yoluc,Bronze,,TUR,,2450,1,Bronze,,,Kyffin,Simpson,Silver,,IOT,,2779,2,Silver,,,Will,Stevens,Platinum,,GBR,,2698,3,Platinum,,,,,,,,,,,,,,,,,,,,,
36,10,0,,,,,0,Konica Minolta Acura ARX-06,GTP,,,Acura ARX-06,M,2191,234,44,195,7641,3,,14972,,,Ricky,Taylor,Platinum,,USA,,608,1,Platinum,,,Filipe,Albuquerque,Platinum,,PRT,,1194,2,Platinum,,,Louis,Deletraz,Gold,,CHE,,2975,3,Gold,,,,,,,,,,,,,,,,,,,,,
37,11,0,,,,,2,TDS Racing,LMP2,,,ORECA LMP2 07,M,2166,335,28,85,7637,3,,14946,,,Steven,Thomas,Bronze,,USA,,1919,1,Bronze,,,Mikkel,Jensen,Platinum,,DNK,,2088,2,Platinum,,,Scott,Huffaker,Silver,,USA,,1852,3,Silver,,,,,,,,,,,,,,,,,,,,,
38,13,0,,,,,2,AWA,LMP3,,,Duqueine D08,M,1675,217,36,105,7665,3,,14953,,,Orey,Fidani,Bronze,,CAN,,973,3,Bronze,,,Matthew,Bell,Gold,,GBR,,424,4,Gold,,,Lars,Kern,Silver,,DEU,,1785,1,Silver,,,,,,,,,,,,,,,,,,,,,
39,17,0,,,,,1,AWA,LMP3,,,Duqueine D08,M,2108,217,36,105,7665,3,,14940,,,Anthony,Mantella,Bronze,,CAN,,2682,2,Bronze,,,Wayne,Boyd,Gold,,GBR,,3002,3,Gold,,,Nico,Varrone,Silver,,ARG,,2932,1,Silver,,,,,,,,,,,,,,,,,,,,,
40,18,0,,,,,1,Era Motorsport,LMP2,,,ORECA LMP2 07,M,761,291,28,85,7637,3,,14938,,,Dwight,Merriman,Bronze,,USA,,1930,1,Bronze,,,Ryan,Dalziel,Gold,,GBR,,192,2,Gold,,,Christian,Rasmussen,Silver,,DNK,,2966,3,Silver,,,,,,,,,,,,,,,,,,,,,
41,20,0,,,,,2,High Class Racing,LMP2,,,ORECA LMP2 07,M,968,348,28,85,7637,3,,14960,,,Mark,Kvamme,Bronze,,USA,,656,1,Bronze,,,Ed,Jones,Gold,,ARE,,2418,2,Gold,,,Anders,Fjordbach,Silver,,DNK,,3044,3,Silver,,,,,,,,,,,,,,,,,,,,,
42,23,0,,,,,1,Heart of Racing Team,GTDPRO,,,Aston Martin Vantage GT3,M,2246,294,41,18,73,3,,14950,,,Ross,Gunn,Gold,,GBR,,1905,1,Gold,,,Alex,Riberas,Gold,,ESP,,659,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,24,0,,,,,0,BMW M Team RLL,GTP,,,BMW M Hybrid V8,M,2154,395,44,190,74,3,,14932,,,Philipp,Eng,Platinum,,AUT,,883,1,Platinum,,,Augusto,Farfus,Platinum,,MCO,,3000,4,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,25,0,,,,,0,BMW M Team RLL,GTP,,,BMW M Hybrid V8,M,2155,395,44,190,74,3,,14933,,,Connor,De Phillippi,Gold,,USA,,698,2,Gold,,,Nick,Yelloly,Platinum,,GBR,,2205,1,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,30,0,,,,,0,Jr III Racing,LMP3,,,Ligier JS P320,M,2356,283,36,96,7650,3,,14936,,,Ari,Balogh,Bronze,,USA,,1081,1,Bronze,,,Garett,Grist,Gold,,CAN,,1388,2,Gold,,,Dakota,Dickerson,Silver,,USA,,1756,4,Silver,,,,,,,,,,,,,,,,,,,,,
46,31,0,,,,,0,Whelen Engineering Cadillac Racing,GTP,,,Cadillac V-Series.R,M,2196,344,44,228,7646,3,,14977,,,Pipo,Derani,Platinum,,BRA,,1083,3,Platinum,,,Alexander,Sims,Platinum,,GBR,,1261,2,Platinum,,,Jack,Aitken,Gold,,GBR,,2986,4,Gold,,,,,,,,,,,,,,,,,,,,,
47,33,0,,,,,0,Sean Creech Motorsport,LMP3,,,Ligier JS P320,M,1603,286,36,96,7650,3,,14948,,,Joao,Barbosa,Gold,,USA,,182,1,Gold,,,Nico,Pino,Silver,,CHL,,2770,4,Silver,,,Lance,Willsey,Bronze,,USA,,664,2,Bronze,,,,,,,,,,,,,,,,,,,,,
48,35,0,,,,,2,TDS Racing,LMP2,,,ORECA LMP2 07,M,2167,335,28,85,7637,3,,14947,,,John,Falb,Bronze,,USA,,725,1,Bronze,,,Giedo,van der Garde,Platinum,,NLD,,3001,2,Platinum,,,Josh,Pierson,Silver,,USA,,2761,3,Silver,,,,,,,,,,,,,,,,,,,,,
49,36,0,,,,,0,Andretti Autosport,LMP3,,,Ligier JS P320,M,1681,357,36,96,7650,3,,14937,,,Jarett,Andretti,Silver,,USA,,2292,1,Silver,,,Gabby,Chaves,Gold,,COL,,600,2,Gold,,,Glenn,van Berlo,Silver,,NLD,,2997,3,Silver,,,,,,,,,,,,,,,,,,,,,
50,38,0,,,,,0,Performance Tech Motorsports,LMP3,,,Ligier JS P320,M,1678,289,36,96,7650,3,,14935,,,Christopher,Allen,Silver,,USA,,2480,2,Silver,,,Connor,Bloum,Silver,,USA,,471,4,Silver,,,Alex,Kirby,Silver,,USA,,3112,1,Silver,,,,,,,,,,,,,,,,,,,,,
51,51,0,,,,,3,Rick Ware Racing,LMP2,,,ORECA LMP2 07,M,2197,307,28,85,7637,3,,14978,,,Eric,Lux,Bronze,,USA,,96,1,Bronze,,,Devlin,Defrancesco,Silver,,CAN,,1625,2,Silver,,,Pietro,Fittipaldi,Gold,,USA,,3048,3,Gold,,,,,,,,,,,,,,,,,,,,,
52,52,0,,,,,1,PR1 Mathiasen Motorsports,LMP2,,,ORECA LMP2 07,M,776,16,28,85,7637,3,,14955,,,Ben,Keating,Bronze,,USA,,378,1,Bronze,,,Paul-Loup,Chatin,Gold,,FRA,,2401,3,Gold,,,Alex,Quinn,Silver,,GBR,,2983,2,Silver,,,,,,,,,,,,,,,,,,,,,
53,54,0,,,,,0,MLT Motorsports,LMP3,,,Ligier JS P320,M,2445,260,36,96,7650,3,,15098,,,Jason,Rabe,Bronze,,USA,,3069,1,Bronze,,,Andrew,Pinkerton,Silver,,USA,,2144,4,Silver,,,Stevan,McAleer,Silver,,GBR,,460,3,Silver,,,,,,,,,,,,,,,,,,,,,
54,60,0,,,,,0,Meyer Shank Racing w/ Curb Agajanian,GTP,,,Acura ARX-06,M,2267,3,44,195,7641,3,,14944,,,Tom,Blomqvist,Platinum,,MCO,,1718,1,Platinum,,,Colin,Braun,Gold,,USA,,61,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,74,0,,,,,2,Riley,LMP3,,,Ligier JS P320,M,2200,149,36,96,7650,3,,14979,,,Gar,Robinson,Silver,,USA,,861,1,Silver,,,Felipe,Fraga,Gold,,BRA,,1750,2,Gold,,,Josh,Burdon,Silver,,AUS,,2613,3,Silver,,,,,,,,,,,,,,,,,,,,,
56,85,0,,,,,2,JDC Miller MotorSports,LMP3,,,Duqueine D08,M,2178,15,36,105,7665,3,,15099,,,Till,Bechtolsheimer,Bronze,,GBR,,1152,1,Bronze,,,Dan,Goldburg,Bronze,,USA,,1915,4,Bronze,,,Rasmus,Lindh,Silver,,SWE,,2101,2,Silver,,,,,,,,,,,,,,,,,,,,,
57,88,0,,,,,1,AF Corse,LMP2,,,ORECA LMP2 07,M,2173,333,28,85,7637,3,,14957,,,Luis,Perez Companc,Bronze,,ARG,,2719,1,Bronze,,,Lilou,Wadoux Ducellier,Silver,,FRA,,3117,2,Silver,,,Nicklas,Nielsen,Platinum,,DNK,,2065,3,Platinum,,,,,,,,,,,,,,,,,,,,,
