POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,7,2,2:00.747,-,-,208.8,3,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,49941,380,4169,6054,2,121,,,,,Mike,CONWAY,,,GBR,,215,188,,,,Kamui,KOBAYASHI,,,JPN,,210,121,,,,Jose Maria,LOPEZ,,,ARG,,8418,13,,,,,,,,,,,,,,,,,,,,,,
2,8,2,2:01.266,+0.519,+0.519,207.9,3,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,49942,380,4169,6054,2,121,,,,,Sébastien,BUEMI,,,CHE,,138,219,,,,Kazuki,NAKAJIMA,,,JPN,,97,121,,,,Brendon,HARTLEY,,,NZL,,152,168,,,,,,,,,,,,,,,,,,,,,,
3,22,5,2:02.404,+1.657,+1.138,206.0,5,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,49945,6078,3,5626,256,66,,,,,Philip,HANSON,,,GBR,,8272,188,,,,Fabio,SCHERER,,,CHE,,9870,219,,,,Filipe,ALBUQUERQUE,,,PRT,,306,184,,,,,,,,,,,,,,,,,,,,,,
4,36,4,2:02.652,+1.905,+0.248,205.6,4,Alpine Elf Matmut,HYPERCAR,,,Alpine A480 - Gibson,M,49951,6063,4169,6065,21,70,,,,,André,NEGRÃO,,,BRA,,8480,32,,,,Nicolas,LAPIERRE,,,FRA,,96,70,,,,Matthieu,VAXIVIERE,,,FRA,,7798,70,,,,,,,,,,,,,,,,,,,,,,
5,26,2,2:02.984,+2.237,+0.332,205.0,3,G-Drive Racing,LMP2,,,Aurus 01 - Gibson,G,49973,524,3,5957,4394,254,,,,,Roman,RUSINOV,,,RAF,,107,254,,,,Franco,COLAPINTO,,,ARG,,10066,13,,,,Nick,DE VRIES,,,NLD,,9152,178,,,,,,,,,,,,,,,,,,,,,,
6,29,2,2:03.435,+2.688,+0.451,204.3,3,Racing Team Nederland,LMP2,P/A,,Oreca 07 - Gibson,G,49947,5528,3,5626,256,178,,,,,Frits,VAN EERD,,,NLD,,8338,178,,,,Giedo,VAN DER GARDE,,,NLD,,1792,178,,,,Job,VAN UITERT,,,NLD,,8984,178,,,,,,,,,,,,,,,,,,,,,,
7,70,2,2:03.475,+2.728,+0.040,204.2,4,Realteam Racing,LMP2,P/A,,Oreca 07 - Gibson,G,49961,5917,3,5626,256,219,,,,,Esteban,GARCIA,,,CHE,,9374,219,,,,Loïc,DUVAL,,,FRA,,14,70,,,,Norman,NATO,,,FRA,,9032,70,,,,,,,,,,,,,,,,,,,,,,
8,25,5,2:03.485,+2.738,+0.010,204.2,5,G-Drive Racing,LMP2,P/A,,Aurus 01 - Gibson,G,49972,524,3,5957,4394,254,,,,,John,FALB,,,USA,,1536,66,,,,Rui,ANDRADE,,,PRT,,9873,184,,,,Roberto,MERHI,,,ESP,,1990,64,,,,,,,,,,,,,,,,,,,,,,
9,28,3,2:03.516,+2.769,+0.031,204.1,3,JOTA,LMP2,,,Oreca 07 - Gibson,G,49946,27,3,5626,256,188,,,,,Sean,GELAEL,,,IDN,,1968,113,,,,Stoffel,VANDOORNE,,,BEL,,9520,23,,,,Tom,BLOMQVIST,,,GBR,,8318,188,,,,,,,,,,,,,,,,,,,,,,
10,38,2,2:03.625,+2.878,+0.109,204.0,3,JOTA,LMP2,,,Oreca 07 - Gibson,G,49952,27,3,5626,256,188,,,,,Roberto,GONZALEZ,,,MEX,,8268,151,,,,Antonio Felix,DA COSTA,,,PRT,,9024,184,,,,Anthony,DAVIDSON,,,GBR,,137,188,,,,,,,,,,,,,,,,,,,,,,
