POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,141,3,2:15.126,-,-,154.3,3,Scuderia del Portello,H2 GR5 2000,,,GTAm,,,,,,,,,,,,Roberto,Arnaldi,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,63,3,2:16.897,+1.771,+1.771,152.3,10,Scuderia Clemente Biondetti,G2 TC 2000,,,GTAm,,,,,,,,,,,,Luigi,Mercatali,,,ITA,,,,,,,Niccolò,Mercatali,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,50,3,2:18.061,+2.935,+1.164,151.1,10,Scuderia del Portello,G2 TC 2000,,,GTAm,,,,,,,,,,,,Emilio,Petrone,,,ITA,,,,,,,Giacomo,Barri,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,85,3,2:18.369,+3.243,+0.308,150.7,8,OKP Alfa Delta Racing Team,G2 TC 2000,,,GTAm,,,,,,,,,,,,Peter,Bachofen,,,CHE,,,,,,,Roberto,Restelli,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,87,5,2:19.005,+3.879,+0.636,150.0,7,Scuderia AB Motorsport,G2 TC 2000,,,GTAm,,,,,,,,,,,,Davide,Bertinelli,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,96,3,2:19.319,+4.193,+0.314,149.7,3,AMG RS,G2 TC 2000,,,GTAm,,,,,,,,,,,,Stefano,Barbieri,,,ITA,,,,,,,Kevin,Giovesi,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,86,7,2:19.541,+4.415,+0.222,149.5,9,Jolly Car Squadra Corse,G2 TC 2000,,,GTAm,,,,,,,,,,,,Edoardo,Caponi,,,ITA,,,,,,,Fabrizio,Sabatini,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,43,3,2:20.119,+4.993,+0.578,148.8,4,Scuderia del Grifone,I TC 2500,,,Alfetta GT6 2500,,,,,,,,,,,,Francesco,Liberatore,,,ITA,,,,,,,Francesco,Zadotti,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,100,3,2:20.448,+5.322,+0.329,148.5,10,OKP Alfa Delta Racing Team,G2 TC 2000,,,GTAm,,,,,,,,,,,,Mathias,Körber,,,DEU,,,,,,,Bernd,Georgi,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,34,7,2:21.061,+5.935,+0.613,147.8,9,OKP Alfa Delta Racing Team,G2 TC 2000,,,GTAm,,,,,,,,,,,,Judd,Schreiber,,,ITA,,,,,,,Matteo,Kamata,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,36,9,2:21.681,+6.555,+0.620,147.2,10,OKP Alfa Delta Racing Team,I GR5 1600,,,Giulia Sprint GTA,,,,,,,,,,,,Christian,Ondrak,,,DEU,,,,,,,Massimo,Bortolami,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
