POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,9,Classified,12,28:23.982,-,-,4,1:43.117,171.4,Target Racing,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Oliver,SÖDERSTRÖM,S,,SWE,,,,,,,Largim,ALI,S,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,70,Classified,12,28:24.469,+0.487,+0.487,4,1:43.038,171.5,Leipert Motorsport,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Sebastian,BALTHASAR,S,,DEU,,,,,,,Jacob,RIEGEL,S,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,61,Classified,12,28:30.956,+6.974,+6.487,4,1:46.064,166.6,Oregon Team,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Leonardo,CAGLIONI,S,,ITA,,,,,,,Enzo,GERACI,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,Classified,12,28:38.243,+14.261,+7.287,5,1:45.161,168.1,Boutsen VDS,ProAm,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Roee,MEYUHAS,S,,USA,,,,,,,Renaud,KUPPENS,B,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Classified,12,28:39.114,+15.132,+0.871,5,1:42.479,172.4,VSR,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Mattia,MICHELOTTO,S,,ITA,,,,,,,Gilles,STADSBADER,S,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,Classified,12,28:39.752,+15.770,+0.638,4,1:42.277,172.8,BDR Competition by Grupo Prom,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Amaury,BONDUEL,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,71,Classified,12,28:40.259,+16.277,+0.507,4,1:43.432,170.9,Brutal Fish Racing Team,Pro,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Dougie,BOLGER,S,,JPN,,,,,,,Jacopo,GUIDETTI,S,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,54,Classified,12,29:19.096,+55.114,+38.837,5,1:47.667,164.1,Brutal Fish Racing Team,LC,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Jason,KEATS,B,,CAN,,,,,,,Charlie,MARTIN,B,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,40,Classified,12,29:19.679,+55.697,+0.583,4,1:47.066,165.1,ART-Line,Am,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Nigel,BAILLY,B,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,Classified,12,29:20.476,+56.494,+0.797,3,1:45.041,168.2,Micanek Motorsport  Powered by Buggyra,ProAm,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Bronek,FORMANEK,B,,CZE,,,,,,,Stefan,ROSINA,S,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
