POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,13,6,1:52.269,-,-,171.4,7,Inter Europol Competition,LMP3,,,Ligier JS P320 - Nissan,M,75164,402,6,5981,258,181,,,INTER EUROPOL,,Miguel,CRISTÓVÃO,B,,PRT,,9850,184,,01:45:00,None,Kai,ASKEY,S,,GBR,,10822,188,,None,None,Wyatt,BRICHACEK,S,,USA,,10856,66,,None,None,,,,,,,,,,,,,,,,,,,
2,31,4,1:52.590,+0.321,+0.321,170.9,8,Racing Spirit of Leman,LMP3,,,Ligier JS P320 - Nissan,M,75177,6194,6,5981,258,219,,,RSL,,Jacques,WOLFF,B,,FRA,,8848,70,,00:50:00,None,Jean-Ludovic,FOUBERT,B,,FRA,,9122,70,,00:50:00,None,Antoine,DOQUIN,S,,FRA,,9884,70,,None,None,,,,,,,,,,,,,,,,,,,
3,8,5,1:52.616,+0.347,+0.026,170.8,7,Team Virage,LMP3,,,Ligier JS P320 - Nissan,M,75160,5892,6,5981,258,181,,,VIRAGE,,Manuel,ESPIRITO SANTO,S,,PRT,,10888,184,,None,None,Nick,ADCOCK,B,,ZAF,,9627,2,,00:50:00,None,Michael,JENSEN,B,,ZAF,,9543,2,,00:50:00,None,,,,,,,,,,,,,,,,,,,
4,11,6,1:52.649,+0.380,+0.033,170.8,8,Eurointernational,LMP3,,,Ligier JS P320 - Nissan,M,75162,512,6,5981,258,119,,,EUROINTER,,Matthew Richard,BELL,B,,GBR,,10892,188,,01:45:00,None,Adam,ALI,S,,CAN,,10857,40,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,5,1:52.679,+0.410,+0.030,170.7,8,Eurointernational,LMP3,,,Ligier JS P320 - Nissan,M,75161,512,6,5981,258,119,,,EUROINTER,,Matthias,LUETHEN,B,,DEU,,10886,5,,01:45:00,None,Glenn,VAN BERLO,S,,NLD,,10421,178,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,4,1:52.773,+0.504,+0.094,170.6,7,COOL Racing,LMP3,,,Ligier JS P320 - Nissan,M,75167,5790,6,5981,258,219,,,COOL RACING,,Adrien,CHILA,B,,FRA,,8454,70,,01:45:00,None,Marcos,SIEBERT,S,,ARG,,10420,13,,None,None,Alejandro,GARCIA,S,,MEX,,10860,151,,None,None,,,,,,,,,,,,,,,,,,,
7,15,8,1:52.832,+0.563,+0.059,170.5,8,RLR M Sport,LMP3,,,Ligier JS P320 - Nissan,M,75165,530,6,5981,258,188,,,RLR M SPORT,,Horst,FELBERMAYR,B,,AUT,,620,17,,01:45:00,None,Gael,JULIEN,S,,FRA,,10970,70,,None,None,Mateusz,KAPRZYK,S,,POL,,10102,181,,None,None,,,,,,,,,,,,,,,,,,,
8,4,6,1:52.833,+0.564,+0.001,170.5,8,DKR Engineering,LMP3,,,Duqueine M30 - D08 - Nissan,M,75157,49,6,5979,4408,138,,,DKR ENGINEERING,,Alexander,BUKHANTSOV,B,,ARE,,10453,61,,01:45:00,None,James,WINSLOW,S,,GBR,,320,188,,None,None,Pedro,PERINO,S,,PRT,,10862,184,,None,None,,,,,,,,,,,,,,,,,,,
9,12,5,1:53.088,+0.819,+0.255,170.1,7,WTM by Rinaldi Racing,LMP3,,,Duqueine M30 - D08 - Nissan,M,75163,6287,6,5979,4408,5,,,WTM BY RINALDI,,Torsten,KRATZ,B,,DEU,,10077,5,,01:45:00,None,Leonard,WEISS,S,,DEU,,9872,5,,None,None,Oscar,TUNJO,S,,COL,,10655,46,,None,None,,,,,,,,,,,,,,,,,,,
10,35,7,1:53.340,+1.071,+0.252,169.7,8,Ultimate,LMP3,,,Ligier JS P320 - Nissan,M,75179,390,6,5981,258,70,,,ULTIMATE,,Eric,TROUILLET,B,,FRA,,1542,70,,01:45:00,None,Matthieu,LAHAYE,S,,FRA,,37,70,,None,None,Jean-Baptiste,LAHAYE,S,,FRA,,1628,70,,None,None,,,,,,,,,,,,,,,,,,,
11,7,4,1:53.503,+1.234,+0.163,169.5,8,Nielsen Racing,LMP3,,,Ligier JS P320 - Nissan,M,75159,5670,6,5981,258,188,,,NIELSEN RACING,,Anthony,WELLS,B,,GBR,,582,188,,01:45:00,None,Ryan,HARPER-ELLAM,S,,GBR,,9748,188,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,5,1:53.657,+1.388,+0.154,169.3,8,RLR M Sport,LMP3,,,Ligier JS P320 - Nissan,M,75158,530,6,5981,258,188,,,RLR M SPORT,,James,DAYSON,B,,CAN,,8852,40,,01:45:00,None,Valdemar,ERIKSEN,S,,DNK,,10855,57,,None,None,Jack,MANCHESTER,S,,GBR,,9366,188,,None,None,,,,,,,,,,,,,,,,,,,
