NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
1,2,1,2:18.834,0,,1:02.668,0,38.729,0,37.437,0,142.2,2:18.834,14:02:18.834,1:02.668,0:38.729,0:37.437,195.3,Sophia FLOERSCH,0:00:28.455,LMP2,,Richard Mille Racing Team,Oreca,
1,2,2,1:44.212,0,,33.666,0,34.756,0,35.790,0,200.1,4:03.046,14:04:03.046,0:33.666,0:34.756,0:35.790,272.7,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
1,2,3,1:41.745,0,,32.428,0,34.655,0,34.662,0,205.0,5:44.791,14:05:44.791,0:32.428,0:34.655,0:34.662,291.1,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
1,2,4,1:43.518,0,,32.341,0,36.407,0,34.770,0,201.5,7:28.309,14:07:28.309,0:32.341,0:36.407,0:34.770,298.3,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
1,2,5,1:42.863,0,,32.469,0,34.590,0,35.804,0,202.7,9:11.172,14:09:11.172,0:32.469,0:34.590,0:35.804,295.9,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
1,2,6,1:48.116,0,B,32.620,0,34.594,0,40.902,0,192.9,10:59.288,14:10:59.288,0:32.620,0:34.594,0:40.902,295.1,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
1,2,7,7:27.172,0,,6:14.618,0,37.139,0,35.415,0,46.6,18:26.460,14:18:26.460,6:14.618,0:37.139,0:35.415,218.2,Sophia FLOERSCH,0:05:45.242,LMP2,,Richard Mille Racing Team,Oreca,
1,2,8,1:42.716,0,,32.680,0,34.861,0,35.175,0,203.0,20:09.176,14:20:09.176,0:32.680,0:34.861,0:35.175,295.1,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
1,2,9,1:42.459,0,,33.038,0,34.912,0,34.509,0,203.5,21:51.635,14:21:51.635,0:33.038,0:34.912,0:34.509,282.0,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
1,2,10,1:49.540,0,B,32.758,0,35.636,0,41.146,0,190.4,23:41.175,14:23:41.175,0:32.758,0:35.636,0:41.146,276.2,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
1,2,11,3:09.707,0,,1:57.329,0,36.290,0,36.088,0,109.9,26:50.882,14:26:50.882,1:57.329,0:36.290,0:36.088,200.7,Sophia FLOERSCH,0:01:29.236,LMP2,,Richard Mille Racing Team,Oreca,
1,2,12,1:40.731,2,,32.352,0,34.193,2,34.186,2,207.0,28:31.613,14:28:31.613,0:32.352,0:34.193,0:34.186,296.7,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
1,2,13,3:38.582,0,B,52.685,0,1:20.825,0,1:25.072,0,95.4,32:10.195,14:32:10.195,0:52.685,1:20.825,1:25.072,292.7,Sophia FLOERSCH,,LMP2,,Richard Mille Racing Team,Oreca,
