POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
11,34,5,1:39.669,+3.532,+0.277,209.2,23,Inter Europol Competition,LMP2,,,Oreca 07 - Gibson,G,51744,402,3,5626,256,181,,,Inter Europol,,Jakub,SMIECHOWSKI,S,,POL,,1670,181,,,,Renger,VAN DER ZANDE,G,,NLD,,1920,178,,,,Alex,BRUNDLE,G,,GBR,,143,188,,,,,,,,,,,,,,,,,,,,,,
12,29,2,1:39.707,+3.570,+0.038,209.2,29,Racing Team Nederland,LMP2,P/A,,Oreca 07 - Gibson,G,51741,5528,3,5626,256,178,,,Team Nederland,,Frits,VAN EERD,B,,NLD,,8338,178,,,,Paul Loup,CHATIN,G,,FRA,,313,70,,,,Nyck,DE VRIES,P,,NLD,,9152,178,,,,,,,,,,,,,,,,,,,,,,
13,70,6,1:39.847,+3.710,+0.140,208.9,27,Realteam Racing,LMP2,P/A,,Oreca 07 - Gibson,G,51754,5917,3,5626,256,219,,,Realteam Racing,,Esteban,GARCIA,B,,CHE,,9374,219,,,,Loïc,DUVAL,P,,FRA,,14,70,,,,Norman,NATO,G,,FRA,,9032,70,,,,,,,,,,,,,,,,,,,,,,
14,31,4,1:39.857,+3.720,+0.010,208.8,28,Team WRT,LMP2,,,Oreca 07 - Gibson,G,51742,5518,3,5626,256,23,,,Team WRT,,Robin,FRIJNS,P,,NLD,,9871,178,,,,Ferdinand,HABSBURG,G,,AUT,,10000,17,,,,Charles,MILESI,S,,FRA,,9594,70,,,,,,,,,,,,,,,,,,,,,,
15,1,12,1:40.731,+4.594,+0.874,207.0,25,Richard Mille Racing Team,LMP2,,,Oreca 07 - Gibson,G,51734,5989,3,5626,256,70,,,Richard Mille,,Tatiana,CALDERON,S,,COL,,9665,46,,,,Sophia,FLOERSCH,S,,DEU,,9765,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,4,1:41.138,+5.001,+0.407,206.2,29,High Class Racing,LMP2,P/A,,Oreca 07 - Gibson,G,51737,5578,3,5626,256,57,,,High Class,,Jan,MAGNUSSEN,P,,DNK,,172,57,,,,Anders,FJORDBACH,S,,DNK,,8420,57,,,,Dennis,ANDERSEN,B,,DNK,,8406,57,,,,,,,,,,,,,,,,,,,,,,
17,44,9,1:45.042,+8.905,+3.904,198.5,23,ARC Bratislava,LMP2,P/A,,Ligier JSP217 - Gibson,G,51747,562,3,5628,258,213,,,ARC Bratislava,,Miroslav,KONOPKA,B,,SVK,,4265,213,,,,Oliver,WEBB,G,,GBR,,314,188,,,,Matej,KONOPKA,S,,SVK,,10220,213,,,,,,,,,,,,,,,,,,,,,,
18,91,4,1:46.253,+10.116,+1.211,196.3,27,Porsche GT Team,LMGTE Pro,,,Porsche 911 RSR - 19,M,51760,5556,2,5965,4368,5,,,Porsche GT Team,,Gianmaria,BRUNI,P,,ITA,,59,119,,,,Richard,LIETZ,P,,AUT,,66,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,51,10,1:46.589,+10.452,+0.336,195.7,26,AF Corse,LMGTE Pro,,,Ferrari 488 GTE Evo,M,51749,16,2,5910,3,119,,,AF Corse,,Alessandro,PIER GUIDI,P,,ITA,,340,119,,,,James,CALADO,P,,GBR,,300,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,52,12,1:46.663,+10.526,+0.074,195.5,28,AF Corse,LMGTE Pro,,,Ferrari 488 GTE Evo,M,51750,16,2,5910,3,119,,,AF Corse,,Daniel,SERRA,P,,BRA,,500,32,,,,Miguel,MOLINA,P,,ESP,,8526,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
