POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,7,21,1:48.473,-,-,199.8,71,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,69139,380,4169,6054,2,121,,,TOYOTA GR,,Mike,CONWAY,,,GBR,,215,188,,,,Kamui,KOBAYASHI,,,JPN,,210,121,,,,Jose Maria,LOPEZ,,,ARG,,8418,13,,,,,,,,,,,,,,,,,,,,,,
2,8,51,1:48.481,+0.008,+0.008,199.7,93,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,69140,380,4169,6054,2,121,,,TOYOTA GR,,Sébastien,BUEMI,,,CHE,,138,219,,,,Brendon,HARTLEY,,,NZL,,152,168,,,,Ryo,HIRAKAWA,,,JPN,,8166,121,,,,,,,,,,,,,,,,,,,,,,
3,5,42,1:48.957,+0.484,+0.476,198.9,45,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,69137,6283,4169,6176,4368,5,,,Porsche Penske,,Dane,CAMERON,,,USA,,10328,66,,,,Michael,CHRISTENSEN,,,DNK,,532,57,,,,Frédéric,MAKOWIECKI,,,FRA,,61,70,,,,,,,,,,,,,,,,,,,,,,
4,2,30,1:49.182,+0.709,+0.225,198.5,63,Cadillac Racing,HYPERCAR,H,,Cadillac V-Series.R,M,69135,6290,4169,6203,4097,66,,,Cadillac Racing,,Earl,BAMBER,,,NZL,,1290,168,,,,Alex,LYNN,,,GBR,,8316,188,,,,Richard,WESTBROOK,,,GBR,,182,188,,,,,,,,,,,,,,,,,,,,,,
5,6,45,1:49.285,+0.812,+0.103,198.3,65,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,69138,6283,4169,6176,4368,5,,,Porsche Penske,,Kévin,ESTRE,,,FRA,,1292,70,,,,André,LOTTERER,,,DEU,,7,5,,,,Laurens,VANTHOOR,,,BEL,,1124,23,,,,,,,,,,,,,,,,,,,,,,
6,94,12,1:49.302,+0.829,+0.017,198.2,58,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,69168,6151,4169,6112,4014,70,,,PEUGEOT TE,,Loïc,DUVAL,,,FRA,,14,70,,,,Gustavo,MENEZES,,,USA,,1386,66,,,,Nico,MÜLLER,,,CHE,,8876,219,,,,,,,,,,,,,,,,,,,,,,
7,50,71,1:49.558,+1.085,+0.256,197.8,80,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,69155,6293,4169,6192,3,119,,,FERRARI AFCORSE,,Antonio,FUOCO,,,ITA,,10091,119,,,,Miguel,MOLINA,,,ESP,,8526,64,,,,Nicklas,NIELSEN,,,DNK,,9432,57,,,,,,,,,,,,,,,,,,,,,,
8,93,11,1:49.568,+1.095,+0.010,197.8,64,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,69167,6151,4169,6112,4014,70,,,PEUGEOT TE,,Paul,DI RESTA,,,GBR,,9293,188,,,,Mikkel,JENSEN,,,DNK,,8276,57,,,,Jean-Éric,VERGNE,,,FRA,,8528,70,,,,,,,,,,,,,,,,,,,,,,
9,4,11,1:50.038,+1.565,+0.470,196.9,41,Floyd Vanwall Racing Team,HYPERCAR,,,Vanwall Vandervell 680,M,69136,6291,4169,6196,4441,17,,,Floyd VANWALL,,Tom,DILLMANN,,,FRA,,1352,70,,,,Esteban,GUERRIERI,,,ARG,,10869,13,,,,Jacques,VILLENEUVE,,,CAN,,755,40,,,,,,,,,,,,,,,,,,,,,,
10,22,11,1:50.577,+2.104,+0.539,196.0,82,United Autosports,LMP2,,,Oreca 07 - Gibson,G,69144,532,3,5626,256,188,,,United,,Frederick,LUBIN,,,GBR,,10843,188,,,,Philip,HANSON,,,GBR,,1946,188,,,,Filipe,ALBUQUERQUE,,,PRT,,306,184,,,,,,,,,,,,,,,,,,,,,,
11,63,18,1:50.860,+2.387,+0.283,195.5,79,Prema Racing,LMP2,,,Oreca 07 - Gibson,G,69161,6180,3,5626,256,119,,,Prema,,Doriane,PIN,,,FRA,,10112,70,,,,Mirko,BORTOLOTTI,,,ITA,,10543,119,,,,Daniil,KVYAT,,,_,,10452,254,,,,,,,,,,,,,,,,,,,,,,
12,48,6,1:51.000,+2.527,+0.140,195.2,83,Hertz Team JOTA,LMP2,,,Oreca 07 - Gibson,G,69173,6292,3,5626,256,188,,,Team JOTA,,David,BECKMANN,,,DEU,,9618,5,,,,Yifei,YE,,,CHN,,10068,43,,,,William,STEVENS,,,GBR,,1882,188,,,,,,,,,,,,,,,,,,,,,,
13,28,13,1:51.000,+2.527,+0.000,195.2,81,JOTA,LMP2,,,Oreca 07 - Gibson,G,69147,27,3,5626,256,188,,,JOTA,,David,HEINEMEIER-HANSSON,,,DNK,,1182,57,,,,Pietro,FITTIPALDI,,,BRA,,9171,32,,,,Oliver,RASMUSSEN,,,DNK,,10332,57,,,,,,,,,,,,,,,,,,,,,,
14,31,5,1:51.156,+2.683,+0.156,194.9,82,Team WRT,LMP2,,,Oreca 07 - Gibson,G,69148,5518,3,5626,256,23,,,Team WRT,,Sean,GELAEL,,,IDN,,1968,113,,,,Ferdinand,HABSBURG,,,AUT,,10000,17,,,,Robin,FRIJNS,,,NLD,,9871,178,,,,,,,,,,,,,,,,,,,,,,
15,708,21,1:51.173,+2.700,+0.017,194.9,51,Glickenhaus Racing,HYPERCAR,,,Glickenhaus 007,M,69171,6064,4169,6197,4418,66,,,GLICKENHAUS,,Romain,DUMAS,,,FRA,,1,70,,,,Ryan,BRISCOE,,,USA,,231,66,,,,Olivier,PLA,,,FRA,,38,70,,,,,,,,,,,,,,,,,,,,,,
16,36,49,1:51.286,+2.813,+0.113,194.7,81,Alpine Elf Team,LMP2,,,Oreca 07 - Gibson,G,69152,6150,3,5626,256,70,,,ALPINE ELF TEAM,,Matthieu,VAXIVIERE,,,FRA,,7798,70,,,,Julien,CANAL,,,FRA,,73,70,,,,Charles,MILESI,,,FRA,,9594,70,,,,,,,,,,,,,,,,,,,,,,
17,23,6,1:51.317,+2.844,+0.031,194.7,64,United Autosports,LMP2,,,Oreca 07 - Gibson,G,69145,532,3,5626,256,188,,,United,,Joshua,PIERSON,,,USA,,10331,66,,,,Tom,BLOMQVIST,,,GBR,,8318,188,,,,Oliver,JARVIS,,,GBR,,93,188,,,,,,,,,,,,,,,,,,,,,,
18,41,17,1:51.432,+2.959,+0.115,194.5,65,Team WRT,LMP2,,,Oreca 07 - Gibson,G,69154,5518,3,5626,256,23,,,Team WRT,,Rui,ANDRADE,,,AGO,,9873,7,,,,Robert,KUBICA,,,POL,,8438,181,,,,Louis,DELÉTRAZ,,,CHE,,9621,219,,,,,,,,,,,,,,,,,,,,,,
19,9,84,1:51.595,+3.122,+0.163,194.2,84,Prema Racing,LMP2,,,Oreca 07 - Gibson,G,69141,6180,3,5626,256,119,,,Prema,,Filip,UGRAN,,,ROU,,10820,187,,,,Bent,VISCAAL,,,NLD,,10541,178,,,,Andrea,CALDARELLI,,,ITA,,10387,119,,,,,,,,,,,,,,,,,,,,,,
