POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,37,COOL Racing,Lorenzo FLUXA,Malthe JAKOBSEN,Ritomo MIYATA,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:00'20.026,,,109,1'32.940,180.2,,
2,14,AO by TF,Jonny EDGAR,Louis DELÉTRAZ,Robert KUBICA,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:00'22.525,2.499,2.499,121,1'33.177,179.8,,
3,47,COOL Racing,Carl BENNETT,Ferdinand HABSBURG,Frederik VESTI,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:00'23.185,3.159,0.660,118,1'33.135,179.9,,
4,43,Inter Europol Competition,Sebastian ALVAREZ,Vladislav LOMKO,Tom DILLMANN,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:00'24.101,4.075,0.916,8,1'33.569,179.0,,
5,34,Inter Europol Competition,Oliver GRAY,Clément NOVALAK,Luca GHIOTTO,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:00'29.517,9.491,5.416,27,1'33.288,179.6,,
6,23,United Autosports,Bijoy GARG,Fabio SCHERER,Paul DI RESTA,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:00'32.033,12.007,2.516,121,1'33.503,179.1,,
7,30,Duqueine Team,Niels KOOLEN,Jean-Baptiste SIMMENAUER,James ALLEN,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:00'34.890,14.864,2.857,104,1'33.777,178.6,,
8,77,Proton Competition,Giorgio RODA,René BINDER,Bent VISCAAL,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,127,4:00'36.146,16.120,1.256,122,1'33.754,178.7,,
9,20,Algarve Pro Racing,Kriton LENTOUDIS,Richard BRADLEY,Alex QUINN,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,127,4:00'37.141,17.115,0.995,46,1'34.153,177.9,,
10,25,Algarve Pro Racing,Matthias KAISER,Olli CALDWELL,Alexander LYNN,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:00'37.611,17.585,0.470,120,1'32.451,181.2,,
11,24,Nielsen Racing,John FALB,Colin NOBLE,Nicholas YELLOLY,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,127,4:00'38.418,18.392,0.807,110,1'33.476,179.2,,
12,9,Iron Lynx - Proton,Jonas RIED,Maceo CAPIETTO,Matteo CAIROLI,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:00'39.394,19.368,0.976,112,1'33.393,179.4,,
13,83,AF Corse,François PERRODO,Matthieu VAXIVIERE,Alessio ROVERA,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,127,4:00'54.935,34.909,15.541,122,1'34.221,177.8,,
14,22,United Autosports,Filip UGRAN,Marino SATO,Benjamin HANLEY,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:01'05.992,45.966,11.057,118,1'33.329,179.5,,
15,27,Nielsen Racing,Benjamin PEDERSEN,William STEVENS,Gabriel AUBRY,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:01'09.880,49.854,3.888,9,1'33.821,178.5,,
16,65,Panis Racing,Manuel MALDONADO,Charles MILESI,Arthur LECLERC,,Oreca 07 - Gibson,G,LMP2,,,Classified,127,4:01'18.605,58.579,8.725,89,1'33.433,179.3,,
17,29,Richard Mille by TDS,Rodrigo SALES,Mathias BECHE,Grégoire SAUCY,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,127,4:01'29.387,1'09.361,10.782,47,1'33.400,179.3,,
18,19,Team Virage,Georgios KOLOVOS,Raphaël NARAC,Tristan VAUTIER,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,126,4:01'14.010,1 Laps,1 Laps,125,1'33.905,178.4,,
19,3,DKR Engineering,Andres LATORRE CANON,Cem BOLUKBASI,Laurents HÖRR,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,125,4:00'27.078,2 Laps,1 Laps,110,1'33.743,178.7,,
20,28,IDEC Sport,Nicolas PINO,Reshad DE GERUS,Job VAN UITERT,,Oreca 07 - Gibson,G,LMP2,,,Classified,125,4:00'56.042,2 Laps,28.964,122,1'32.868,180.4,,
21,17,COOL Racing,Miguel CRISTÓVÃO,Manuel ESPIRITO SANTO,,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,122,4:00'39.095,5 Laps,3 Laps,106,1'39.892,167.7,,
