POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,7,Toyota Gazoo Racing,Mike CONWAY,Kamui KOBAYASHI,Nyck DE VRIES,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,41,1:01'25.707,,,2,1'24.801,182.9,,
2,8,Toyota Gazoo Racing,Sébastien BUEMI,Brendon HARTLEY,Ryo HIRAKAWA,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,41,1:01'37.593,11.886,11.886,3,1'25.340,181.8,,
3,5,Porsche Penske Motorsport,Matt CAMPBELL,Michael CHRISTENSEN,Frédéric MAKOWIECKI,,Porsche 963,M,HYPERCAR,H,,Classified,41,1:01'47.277,21.570,9.684,3,1'25.651,181.1,,
4,51,Ferrari AF Corse,Alessandro PIER GUIDI,James CALADO,Antonio GIOVINAZZI,,Ferrari 499P,M,HYPERCAR,H,,Classified,41,1:01'56.908,31.201,9.631,3,1'26.282,179.8,,
5,12,Hertz Team JOTA,Will STEVENS,Callum ILOTT,Norman NATO,,Porsche 963,M,HYPERCAR,H,,Classified,41,1:02'01.118,35.411,4.210,3,1'26.410,179.5,,
6,2,Cadillac Racing,Earl BAMBER,Alex LYNN,,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,41,1:02'07.130,41.423,6.012,2,1'26.312,179.7,,
7,38,Hertz Team JOTA,Jenson BUTTON,Philip HANSON,Oliver RASMUSSEN,,Porsche 963,M,HYPERCAR,H,,Classified,41,1:02'08.347,42.640,1.217,3,1'26.647,179.0,,
8,50,Ferrari AF Corse,Antonio FUOCO,Miguel MOLINA,Nicklas NIELSEN,,Ferrari 499P,M,HYPERCAR,H,,Classified,41,1:02'10.111,44.404,1.764,3,1'26.496,179.3,,
9,83,AF Corse,Robert KUBICA,Robert SHWARTZMAN,Yifei YE,,Ferrari 499P,M,HYPERCAR,H,,Classified,41,1:02'14.662,48.955,4.551,3,1'26.800,178.7,,
10,36,Alpine Endurance Team,Nicolas LAPIERRE,Mick SCHUMACHER,Matthieu VAXIVIERE,,Alpine A424,M,HYPERCAR,H,,Classified,41,1:02'14.977,49.270,0.315,3,1'26.837,178.6,,
11,20,BMW M Team WRT,Sheldon VAN DER LINDE,Robin FRIJNS,René RAST,,BMW M HYBRID V8,M,HYPERCAR,H,,Classified,41,1:02'18.009,52.302,3.032,3,1'26.896,178.5,,
12,93,Peugeot TotalEnergies,Mikkel JENSEN,Nico MÜLLER,Jean-Eric VERGNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,41,1:02'21.978,56.271,3.969,4,1'27.087,178.1,,
13,94,Peugeot TotalEnergies,Paul DI RESTA,Loïc DUVAL,Stoffel VANDOORNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,41,1:02'24.709,59.002,2.731,3,1'26.973,178.4,,
14,15,BMW M Team WRT,Dries VANTHOOR,Raffaele MARCIELLO,Marco WITTMANN,,BMW M HYBRID V8,M,HYPERCAR,H,,Classified,41,1:02'27.941,1'02.234,3.232,5,1'27.165,178.0,,
15,99,Proton Competition,Neel JANI,Julien ANDLAUER,,,Porsche 963,M,HYPERCAR,H,,Classified,41,1:02'30.283,1'04.576,2.342,3,1'26.987,178.3,,
16,11,Isotta Fraschini,Antonio SERRAVALLE,Carl Wattana BENNETT,Jean-Karl VERNAY,,Isotta Fraschini Tipo6-C,M,HYPERCAR,H,,Classified,41,1:02'33.192,1'07.485,2.909,4,1'26.953,178.4,,
17,63,Lamborghini Iron Lynx,Mirko BORTOLOTTI,Edoardo MORTARA,Daniil KVYAT,,Lamborghini SC63,M,HYPERCAR,H,,Classified,41,1:02'33.669,1'07.962,0.477,4,1'27.097,178.1,,
18,35,Alpine Endurance Team,Paul-Loup CHATIN,Ferdinand HABSBURG,Charles MILESI,,Alpine A424,M,HYPERCAR,H,,Classified,41,1:02'33.960,1'08.253,0.291,5,1'26.500,179.3,,
19,6,Porsche Penske Motorsport,Kévin ESTRE,André LOTTERER,Laurens VANTHOOR,,Porsche 963,M,HYPERCAR,H,,Classified,40,1:02'16.904,1 Laps,1 Laps,2,1'26.429,179.5,,
