POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,22,Proton Competition,Giorgio RODA,Vladislav LOMKO,Tom DILLMANN,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:00'58.561,,,6,1'49.598,177.0,,
2,30,RD Limited,Fred POORDAD,Tristan VAUTIER,James ALLEN,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:01'15.669,17.108,17.108,42,1'49.728,176.8,,
3,11,Proton Competition,Alexander MATTSCHULL,Jonas RIED,Mathias BECHE,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:01'17.133,18.572,1.464,38,1'48.303,179.2,,
4,91,Pure Rxcing,Aliaksandr MALYKHIN,Harry KING,Julien ANDLAUER,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:01'54.672,56.111,37.539,38,1'47.843,179.9,,
5,25,Algarve Pro Racing,Michael JENSEN,Malthe JAKOBSEN,Valerio RINICELLA,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:02'01.753,1'03.192,7.081,38,1'47.815,180.0,,
6,3,DKR Engineering,Georgios KOLOVOS,Laurents HÖRR,Job VAN UITERT,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:02'11.247,1'12.686,9.494,41,1'49.721,176.8,,
7,20,Algarve Pro Racing,Kriton LENTOUDIS,Olli CALDWELL,Alex QUINN,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:02'19.193,1'20.632,7.946,41,1'49.018,178.0,,
8,83,AF Corse,François PERRODO,Matthieu VAXIVIERE,Alessio ROVERA,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:02'22.064,1'23.503,2.871,38,1'48.607,178.7,,
9,24,Nielsen Racing,Naveen RAO,Matthew BELL,Nicky CATSBURG,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:02'29.357,1'30.796,7.293,41,1'49.741,176.8,,
10,50,AF Corse,Jeremy CLARKE,Patrick BYRNE,Olivier PLA,,Oreca 07 - Gibson,M,LMP2,,,Classified,58,3:02'32.020,1'33.459,2.663,40,1'50.926,174.9,,
11,10,Manthey,Antares AU,Klaus BACHLER,Joel STURM,,Porsche 911 GT3 R,M,GT,,,Classified,56,3:02'31.897,2 Laps,2 Laps,35,1'59.615,162.2,,
12,74,Kessel Racing,Dustin Scott BLATTNER,Ben TUCK,Dennis MARSCHALL,,Ferrari 296 GT3,M,GT,,,Classified,56,3:02'33.373,2 Laps,1.476,37,1'59.424,162.5,,
13,87,Origine Motorsport,Bo YUAN,Hongli YE,Laurin HEINRICH,,Porsche 911 GT3 R,M,GT,,,Classified,56,3:02'44.787,2 Laps,11.414,37,2'00.125,161.5,,
14,96,2Seas Motorsport,Anthony MCINTOSH,Parker THOMPSON,Ben BARNICOAT,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,56,3:02'47.400,2 Laps,2.613,39,2'01.144,160.2,,
15,92,Manthey EMA,Ryan HARDWICK,Riccardo PERA,Richard LIETZ,,Porsche 911 GT3 R,M,GT,,,Classified,56,3:02'47.909,2 Laps,0.509,39,2'00.148,161.5,,
16,14,Climax Racing,Lu WEI,Ling KANG,Lucas AUER,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,56,3:02'54.122,2 Laps,6.213,37,2'00.840,160.6,,
17,60,Proton Competition,Claudio SCHIAVONI,Matteo CRESSONI,Alessio PICARIELLO,,Porsche 911 GT3 R,M,GT,,,Classified,56,3:02'54.624,2 Laps,0.502,38,2'01.075,160.3,,
18,51,AF Corse,Custodio TOLEDO,Cedric SBIRRAZZUOLI,Riccardo AGOSTINI,,Ferrari 296 GT3,M,GT,,,Classified,56,3:03'08.253,2 Laps,13.629,36,1'59.962,161.8,,
19,85,Iron Dames,Celia MARTIN,Sarah BOVY,Michelle GATTING,,Porsche 911 GT3 R,M,GT,,,Classified,55,3:01'09.116,3 Laps,1 Laps,37,2'00.730,160.7,,
20,28,AF Corse,Massimiliano WISER,Manuel FRANCO,Davide RIGON,,Ferrari 296 GT3,M,GT,,,Classified,55,3:01'11.151,3 Laps,2.035,40,2'00.847,160.6,,
21,27,Optimum Motorsport,Andrew GILBERT,Fran RUEDA,Benji GOETHE,,McLaren 720S GT3,M,GT,,,Classified,55,3:01'11.426,3 Laps,0.275,38,1'59.981,161.7,,
22,16,Winward Racing,Maro ENGEL,Viktor SHAYTAR,Sergey STOLYAROV,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,55,3:01'12.704,3 Laps,1.278,39,2'00.803,160.6,,
23,57,Car Guy,Takeshi KIMURA,Casper STEVENSON,Daniel SERRA,,Ferrari 296 GT3,M,GT,,,Classified,55,3:01'14.051,3 Laps,1.347,39,2'00.212,161.4,,
24,26,Bretton Racing,Jens Reno MOELLER,Griffin PEEBLES,Theodor JENSEN,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,55,3:01'15.130,3 Laps,1.079,40,1'56.181,167.0,,
25,35,Ultimate,Louis STERN,Matteo QUINTARELLI,Leonardo COLAVITA,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,55,3:01'25.970,3 Laps,10.840,40,1'56.990,165.9,,
26,12,Car Collection Motorsport,Bashar MARDINI,James KELL,Nico MENZEL,,Porsche 911 GT3 R,M,GT,,,Classified,55,3:01'35.505,3 Laps,9.535,37,2'00.668,160.8,,
27,19,Blackthorn,Reema JUFFALI,Jonathan ADAM,Charles BATEMAN,,Aston Martin Vantage AMR GT3,M,GT,,,Classified,55,3:01'44.154,3 Laps,8.649,3,2'01.870,159.2,,
28,34,Inter Europol Competition,Tim CRESWICK,Daniel ALI,Douwe DEDECKER,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,55,3:01'55.982,3 Laps,11.828,43,1'57.726,164.8,,
29,46,QMMF by Herberth,Ibrahim AL-ABDULGHANI,Abdulla AL-KHELAIFI,Ghanim AL ALI,,Porsche 911 GT3 R,M,GT,,,Classified,55,3:01'57.371,3 Laps,1.389,4,2'01.512,159.7,,
30,2,Climax Racing,Bihuang ZHOU,Elias SEPPANEN,Ralf ARON,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,55,3:02'30.918,3 Laps,33.547,36,2'00.083,161.6,,
31,99,Herberth Motorsport,Ralf BOHN,Alfred RENAUER,Robert RENAUER,,Porsche 911 GT3 R,M,GT,,,Classified,55,3:02'41.746,3 Laps,10.828,37,2'00.446,161.1,,
32,43,Inter Europol Competition,Steve BROOKS,Kevin RABIN,Mikkel KRISTENSEN,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,55,3:03'00.916,3 Laps,19.170,38,1'57.214,165.5,,
33,7,Graff Racing,Danial FROST,James WINSLOW,Alexander BUKHANTSOV,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,54,2:59'36.049,4 Laps,1 Laps,36,1'57.902,164.6,,
34,23,Absolute Racing,Carl Wattana BENNETT,Gregory BENNETT,Chris VAN DER DRIFT,,Ferrari 296 GT3,M,GT,,,Classified,54,3:01'22.094,4 Laps,1'46.045,36,2'01.326,159.9,,
35,88,Dragon Racing,Marco PULCINI,Nicola MARINANGELI,Giacomo ALTOE,,Ferrari 296 GT3,M,GT,,,Classified,54,3:01'41.639,4 Laps,19.545,36,2'00.700,160.8,,
36,79,Tsunami RT,Johannes ZELGER,Fabio BABINI,Daniel GAUNT,,Porsche 911 GT3 R,M,GT,,,Classified,54,3:01'48.863,4 Laps,7.224,36,2'01.011,160.3,,
37,42,Prime Speed Sport,Rene Heremana MALMEZAC,Nicholas FOSTER,Jono LESTER,,Lamborghini Huracan GT3 EVO2,M,GT,,,Classified,54,3:02'09.786,4 Laps,20.923,35,2'00.051,161.6,,
38,89,EBM,Gabriel RINDONE,Jamie DAY,Mattia DRUDI,,Aston Martin Vantage AMR GT3,M,GT,,,Classified,54,3:02'29.117,4 Laps,19.331,35,1'59.432,162.5,,
39,49,High Class Racing,Mark PATTERSON,Anders FJORDBACH,Thomas KIEFER,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,54,3:02'39.639,4 Laps,10.522,35,1'58.097,164.3,,
40,9,GetSpeed,Anthony BARTONE,Steve JANS,Fabian SCHILLER,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,37,3:01'22.715,21 Laps,17 Laps,5,2'01.120,160.2,,
41,15,RLR M Sport,Nick ADCOCK,Ian AGUILERA,Chris SHORT,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,28,1:04'44.272,30 Laps,9 Laps,3,1'58.623,163.6,,
42,81,Winward Racing,Luca STOLZ,Gabriele PIANA,Rinat SALIKHOV,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,27,2:19'43.581,31 Laps,1 Laps,5,2'00.847,160.6,,
43,8,Dragon Racing,Todd COLEMAN,Lorcan HANAFIN,Aaron TELLITZ,,Ferrari 296 GT3,M,GT,,,Classified,24,50'21.048,34 Laps,3 Laps,6,2'03.443,157.2,,
44,77,Optimum Motorsport,Morgan TILLBROOK,Tom IKIN,Marvin KIRCHHOFER,,McLaren 720S GT3,M,GT,,,Classified,14,2:57'31.465,44 Laps,10 Laps,12,2'00.895,160.5,,
