POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
11,44,38,1:57.082,+2.981,+1.205,170.4,39,ARC Bratislava,LMP2,,,Oreca 07 - Gibson,M,78246,562,3,6027,,213,,,ARC Bratislava,,Miro,Konopka,B,,SVK,,10901,213,,01:00:00,None,Mathias,Beche,G,,CHE,,151,219,,01:00:00,None,Jonas,Ried,S,,DEU,,10879,5,,01:00:00,None,,,,,,,,,,,,,,,,,,,
12,2,12,2:00.930,+6.829,+3.848,165.0,23,CD Sport,LMP3,,,Ligier JS P320 - Nissan,M,78251,5840,6,6102,,64,,,CD Sport,,Michael,Jensen,B,,DNK,,9543,57,,00:50:00,None,Nicholas,Adcock,B,,GBR,,9627,188,,00:50:00,None,Fabien,Lavergne,S,,FRA,,9318,70,,00:40:00,None,,,,,,,,,,,,,,,,,,,
13,65,3,2:01.253,+7.152,+0.323,164.6,35,Viper Niza Racing,LMP3,,,Ligier JS P320 - Nissan,M,78255,5967,6,6102,,142,,,Viper Niza,,Douglas,Khoo,B,,MYS,,9535,142,,01:45:00,None,Dominic,ANG,S,,MYS,,9536,142,,00:40:00,None,Joshua,Burdon,S,,AUS,,9299,16,,00:40:00,None,,,,,,,,,,,,,,,,,,,
14,26,8,2:01.629,+7.528,+0.376,164.1,28,Bretton Racing,LMP3,,,Ligier JS P320 - Nissan,M,78254,6354,6,6102,,193,,,Bretton Racing,,Daniel,Skocdopole,S,,CZE,,11054,193,,00:40:00,None,Julien,Gerbi,B,,ESP,,9862,64,,01:45:00,None,Mihnea,Stefan,S,,ROU,,10889,187,,00:40:00,None,,,,,,,,,,,,,,,,,,,
15,17,14,2:02.162,+8.061,+0.533,163.3,37,COOL Racing,LMP3,,,Ligier JS P320 - Nissan,M,78252,5790,6,6102,,219,,,COOL Racing,,James,Winslow,S,,GBR,,320,188,,00:40:00,None,Alexander,Bukhantsov,B,,KNA,,10453,61,,01:45:00,None,Danial,Frost,S,,SGP,,11237,212,,00:40:00,None,,,,,,,,,,,,,,,,,,,
16,20,8,2:02.955,+8.854,+0.793,162.3,36,High Class Racing,LMP3,,,Ligier JS P320 - Nissan,M,78253,5578,6,6102,,57,,,High Class,,Audunn,Gudmundsson,B,,ISL,,9866,117,,01:45:00,None,Anders,Fjordbach,S,,DNK,,8420,57,,00:40:00,None,Seth,Lucas,S,,USA,,11279,66,,00:40:00,None,,,,,,,,,,,,,,,,,,,
17,21,3,2:04.476,+10.375,+1.521,160.3,30,AF Corse,GT,,,Ferrari 296 GT3,M,78261,16,4083,6195,3,119,,,AF Corse,,Simon,Mann,S,,USA,,10161,66,,00:45:00,None,Francois,Heriau,B,,FRA,,10908,70,,01:30:00,None,Davide,Rigon,P,,ITA,,266,119,,00:40:00,01:15:00,,,,,,,,,,,,,,,,,,,
18,69,3,2:04.620,+10.519,+0.144,160.1,36,Optimum Motorsport,GT,,,McLaren 720S GT3,M,78269,5576,4083,6044,60,188,,,Optimum,,Samuel,de Haan,S,,GBR,,10521,188,,00:45:00,None,James,Cottingham,B,,GBR,,8246,188,,01:30:00,None,Thomas,Gamble,G,,GBR,,9549,188,,00:40:00,01:15:00,,,,,,,,,,,,,,,,,,,
19,42,3,2:04.656,+10.555,+0.036,160.1,21,Sainteloc Racing,GT,,,Audi R8 LMS GT3 EVO II,M,78265,6133,4083,6129,1,70,,,Sainteloc,,Christopher,Haase,P,,DEU,,790,5,,00:40:00,01:15:00,Gilles,Magnus,S,,BEL,,9804,23,,00:45:00,None,Alban,Varutti,B,,FRA,,10808,70,,01:30:00,None,,,,,,,,,,,,,,,,,,,
20,86,3,2:05.093,+10.992,+0.437,159.5,26,GR Racing,GT,,,Ferrari 296 GT3,M,78274,6065,4083,6195,3,188,,,GR Racing,,Michael,Wainwright,B,,GBR,,442,188,,01:30:00,None,Benjamin,Barker,G,,GBR,,594,188,,00:40:00,01:15:00,Riccardo,Pera,S,,ITA,,9187,119,,00:45:00,None,,,,,,,,,,,,,,,,,,,
