POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,55,9,1:31.670,-,-,214.9,10,Mazda Motorsports,DPi,,,Mazda DPi,M,858,4,27,48,110,3,,11067,,,Oliver,Jarvis,Platinum,,GBR,,1999,1,Platinum,,,Harry,Tincknell,Platinum,,GBR,,1288,2,Platinum,,,Jonathan,Bomarito,Gold,,USA,,309,3,Gold,,,,,,,,,,,,,,,,,,,,,
2,60,5,1:31.688,+0.018,+0.018,214.8,12,Meyer Shank Racing w/Curb-Agajanian,DPi,,,Acura DPi,M,947,3,27,65,7641,3,,11085,,,Dane,Cameron,Gold,,USA,,54,1,Gold,,,Olivier,Pla,Platinum,,FRA,,2409,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,11,1:32.517,+0.847,+0.829,212.9,12,Konica Minolta Acura ARX-05,DPi,,,Acura DPi,M,948,81,27,65,7641,3,,11086,,,Ricky,Taylor,Platinum,,USA,,608,1,Platinum,,,Filipe,Albuquerque,Platinum,,PRT,,1194,2,Platinum,,,Alexander,Rossi,Platinum,,USA,,599,3,Platinum,,,,,,,,,,,,,,,,,,,,,
4,5,10,1:32.553,+0.883,+0.036,212.8,11,Mustang Sampling / JDC-Miller MotorSports,DPi,,,Cadillac DPi,M,1043,367,27,49,7646,3,,11072,,,Tristan,Vautier,Gold,,FRA,,635,1,Gold,,,Loic,Duval,Platinum,,FRA,,1274,2,Platinum,,,Sebastien,Bourdais,Platinum,,FRA,,602,3,Platinum,,,,,,,,,,,,,,,,,,,,,
5,31,11,1:32.777,+1.107,+0.224,212.3,11,Whelen Engineering Racing,DPi,,,Cadillac DPi,M,741,159,27,49,7646,3,,11102,,,Felipe,Nasr,Platinum,,BRA,,1598,1,Platinum,,,Mike,Conway,Platinum,,GBR,,1254,2,Platinum,,,Pipo,Derani,Platinum,,BRA,,1083,3,Platinum,,,,,,,,,,,,,,,,,,,,,
6,48,4,1:32.905,+1.235,+0.128,212.0,11,Ally Cadillac Racing,DPi,,,Cadillac DPi,M,963,344,27,49,7646,3,,11145,,,Jimmie,Johnson,Platinum,,USA,,2244,1,Platinum,,,Kamui,Kobayashi,Platinum,,JPN,,1778,2,Platinum,,,Simon,Pagenaud,Platinum,,FRA,,3,3,Platinum,,,,,,,,,,,,,,,,,,,,,
7,01,6,1:34.576,+2.906,+1.671,208.3,8,Cadillac Chip Ganassi Racing,DPi,,,Cadillac DPi,M,943,339,27,49,7646,3,,11084,,,Renger,van der Zande,Gold,,NLD,,1998,1,Gold,,,Kevin,Magnussen,Platinum,,DNK,,2411,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,52,5,1:35.073,+3.403,+0.497,207.2,9,PR1 Mathiasen Motorsports,LMP2,,,ORECA LMP2 07,M,776,16,28,85,7637,3,,11099,,,Ben,Keating,Bronze,,USA,,378,1,Bronze,,,Mikkel,Jensen,Silver,,DNK,,2088,2,Silver,,,Scott,Huffaker,Silver,,USA,,1852,3,Silver,,,,,,,,,,,,,,,,,,,,,
9,11,5,1:36.179,+4.509,+1.106,204.8,7,WIN Autosport,LMP2,,,ORECA LMP2 07,M,942,183,28,85,7637,3,,11081,,,Steven,Thomas,Bronze,,USA,,1919,1,Bronze,,,Tristan,Nunez,Gold,,USA,,169,2,Gold,,,Thomas,Merrill,Bronze,,USA,,1458,3,Bronze,,,,,,,,,,,,,,,,,,,,,
10,8,4,1:36.514,+4.844,+0.335,204.1,10,Tower Motorsport,LMP2,,,ORECA LMP2 07,M,973,352,28,85,7637,3,,11114,,,James,French,Silver,,USA,,284,3,Silver,,,John,Farano,Bronze,,CAN,,441,1,Bronze,,,Gabriel,Aubry,Gold,,FRA,,1769,2,Gold,,,,,,,,,,,,,,,,,,,,,
