POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,36,14,1:49.769,-,-,177.5,47,Alpine ELF Team,HYPERCAR,,,Alpine A480 - Gibson,M,67498,6150,4169,6065,21,70,,,Alpine,,Matthieu,VAXIVIERE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,17,1:49.939,+0.170,+0.170,177.2,82,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,67496,380,4169,6054,2,121,,,Toyota GR,,Mike,CONWAY,P,,GBR,,215,188,,,,Jose Maria,LOPEZ,P,,ARG,,8418,13,,,,Sébastien,BUEMI,,,CHE,,138,219,,,,,,,,,,,,,,,,,,,,,,
3,93,43,1:50.107,+0.338,+0.168,176.9,69,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,66907,6151,4169,6112,4014,70,,,Peugeot TE,,Maximilian,GÜNTHER,,,DEU,,,,,,,Mikkel,JENSEN,,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,94,55,1:50.222,+0.453,+0.115,176.8,74,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,67495,6151,4169,6112,4014,70,,,Peugeot TE,,Nico,MÜLLER,P,,CHE,,8876,219,,,,Malthe,JAKOBSEN,,,DNK,,,,,,,Yann,EHRLACHER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,28,1:52.644,+2.875,+2.422,173.0,29,Prema Orlen Team,LMP2,,,Oreca 07 - Gibson,G,67462,6153,3,5626,256,119,,,Prema Orlen,,Juan Manuel,CORREA,S,,USA,,10423,66,,,,Bent,VISCAAL,S,,NLD,,10228,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,23,49,1:53.036,+3.267,+0.392,172.4,49,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,67466,6078,3,5626,256,66,,,United,,Yasser,SHAHIN,B,,AUS,,10844,16,,,,Garnet,PATTERSON,S,,AUS,,10209,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,48,1:53.080,+3.311,+0.044,172.3,49,Richard Mille Racing Team,LMP2,,,Oreca 07 - Gibson,G,67499,5989,3,5626,256,70,,,Richard Mille,,Marcus,ARMSTRONG,,,NZL,,10852,168,,,,Oliver,CALDWELL,,,GBR,,10295,188,,,,Paul Loup,CHATIN,,,FRA,,313,70,,,,,,,,,,,,,,,,,,,,,,
8,10,28,1:53.163,+3.394,+0.083,172.2,43,Vector Sport,LMP2,,,Oreca 07 - Gibson,G,67463,6154,3,5626,256,188,,,Vector Sport,,Ryan,CULLEN,S,,GBR,,492,188,,,,Frederick,LUBIN,,,GBR,,10843,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,38,22,1:53.213,+3.444,+0.050,172.1,26,JOTA,LMP2,,,Oreca 07 - Gibson,G,66886,27,3,5626,256,188,,,JOTA,,Doriane,PIN,,,FRA,,,,,,,Oliver,RASMUSSEN,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22,26,1:53.516,+3.747,+0.303,171.6,48,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,67465,6078,3,5626,256,66,,,United,,Daniel,SCHNEIDER,,,BRA,,9601,32,,,,Nelson,PIQUET,,,BRA,,1876,32,,,,Andrew,MEYRICK,,,GBR,,815,188,,,,,,,,,,,,,,,,,,,,,,
11,45,29,1:53.598,+3.829,+0.082,171.5,62,Algarve Pro Racing,LMP2,P/A,,Oreca 07 - Gibson,G,66905,92,3,5626,256,184,,,APR,,Filip,UGRAN,,,ROM,,,,,,,Kyffin,SIMPSON,,,USA,,,,,,,Fred,POORDAD,,,USA,,,,,,,Mahaveer,RAGHUNATHAN,,,IND,,,,,,,,,,,,,,,,,,,
12,83,14,1:54.195,+4.426,+0.597,170.6,28,AF Corse,LMP2,P/A,,Oreca 07 - Gibson,G,66898,16,3,5626,256,119,,,AF Corse,,Antonio,FUOCO,,,ITA,,,,,,,Timur,BOGUSLAVSKIY,,,RAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,64,3,1:59.405,+9.636,+5.210,163.2,72,Corvette Racing,LMGTE Pro,,,Chevrolet Corvette C8.R,M,66895,36,2,5984,4,66,,,Corvette Racing,,Ben,KEATING,,,USA,,,,,,,Nicolas,VARRONE,,,ARG,,,,,,,Axcil,JEFFERIES,,,ZWE,,,,,,,Nick,TANDY,,,GBR,,,,,,,,,,,,,,,,,,,
14,46,17,1:59.865,+10.096,+0.460,162.5,20,Team Project 1,LMGTE Am,,,Porsche 911 RSR - 19,M,66889,5786,4,5965,4368,5,,,Team Project 1,,Maxime,OOSTEN,,,NLD,,,,,,,Mikkel,PEDERSEN,,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21,34,2:01.458,+11.689,+1.593,160.4,36,AF Corse,LMGTE Am,,,Ferrari 488 GTE Evo,M,67736,16,4,5910,3,119,,,AF Corse,,Lilou,WADOUX,S,,FRA,,,,,,,François,HERIAU,B,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,98,3,2:02.369,+12.600,+0.911,159.2,59,Northwest AMR,LMGTE Am,,,Aston Martin Vantage AMR,M,10848,6159,4,5896,260,40,,,Northwest AMR,,Jonathan,HOGGARD,S,,GBR,,10850,178,,,,Patrick,GALLAGHER,S,,USA,,10849,66,,,,Indy,DONTJE,S,,NLD,,10850,178,,,,Lorcan,HANAFIN,,,GBR,,10851,188,,,,David,PITTARD,S,,GBR,,,,,,,,,,,,,
17,777,16,2:03.725,+13.956,+1.356,157.5,29,D'Station Racing,LMGTE Am,,,Aston Martin Vantage AMR,M,67469,6071,4,5896,260,121,,,DStation Racing,,Finn,GEHRSITZ,,,DEU,,,,,,,Ryan,HARDWICK,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8,0,,,,,0,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,67497,380,4169,6054,2,121,,,Toyota GR,,Sébastien,BUEMI,P,,CHE,,138,219,,,,Lilou,WADOUX,,,FRA,,10297,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,31,0,,,,,0,WRT,LMP2,,,Oreca 07 - Gibson,G,67468,6156,3,5626,256,23,,,WRT,,René,RAST,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,44,0,,,,,0,ARC Bratislava,LMP2,P/A,,Oreca 07 - Gibson,G,66888,562,3,5626,256,213,,,ARC Bratislava,,Miroslav,KONOPKA,,,SVK,,4265,213,,,,Matej,KONOPKA,,,SVK,,,,,,,Finn,GEHRSITZ,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,
21,51,0,,,,,0,AF Corse,LMGTE Pro,,,Ferrari 488 GTE Evo,M,66890,16,2,5910,3,119,,,AF Corse,,Alessandro,PIER GUIDI,P,,ITA,,340,119,,,,James,CALADO,P,,GBR,,300,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,52,0,,,,,0,AF Corse,LMGTE Pro,,,Ferrari 488 GTE Evo,M,64430,16,2,5910,3,119,,,AF Corse,,Lorenzo,COLOMBO,,,ITA,,,,,,,Antonio,FUOCO,P,,ITA,,10091,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,92,0,,,,,0,Porsche GT Team,LMGTE Pro,,,Porsche 911 RSR - 19,M,64441,5556,2,5965,4368,5,,,Porsche GT Team,,Michael,CHRISTENSEN,P,,DNK,,532,57,,,,Kevin,ESTRE,P,,FRA,,1292,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
