POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,7,2,1:48.812,-,-,179.1,38,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,67496,380,4169,6054,2,121,,,Toyota GR,,Mike,CONWAY,P,,GBR,,215,188,,,,Jose Maria,LOPEZ,P,,ARG,,8418,13,,,,Sébastien,BUEMI,,,CHE,,138,219,,,,,,,,,,,,,,,,,,,,,,
2,94,2,1:49.600,+0.788,+0.788,177.8,38,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,67495,6151,4169,6112,4014,70,,,Peugeot TE,,Nico,MÜLLER,P,,CHE,,8876,219,,,,Malthe,JAKOBSEN,,,DNK,,,,,,,Yann,EHRLACHER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,
3,93,3,1:49.827,+1.015,+0.227,177.4,41,Peugeot TotalEnergies,HYPERCAR,H,,Peugeot 9X8,M,66907,6151,4169,6112,4014,70,,,Peugeot TE,,Maximilian,GÜNTHER,,,DEU,,,,,,,Mikkel,JENSEN,,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,25,1:50.953,+2.141,+1.126,175.6,35,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,67497,380,4169,6054,2,121,,,Toyota GR,,Sébastien,BUEMI,P,,CHE,,138,219,,,,Lilou,WADOUX,,,FRA,,10297,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22,40,1:51.922,+3.110,+0.969,174.1,42,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,67465,6078,3,5626,256,66,,,United,,Daniel,SCHNEIDER,,,BRA,,9601,32,,,,Nelson,PIQUET,,,BRA,,1876,32,,,,Andrew,MEYRICK,,,GBR,,815,188,,,,,,,,,,,,,,,,,,,,,,
6,83,19,1:52.316,+3.504,+0.394,173.5,21,AF Corse,LMP2,P/A,,Oreca 07 - Gibson,G,66898,16,3,5626,256,119,,,AF Corse,,Antonio,FUOCO,,,ITA,,,,,,,Timur,BOGUSLAVSKIY,,,RAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,2,1:52.550,+3.738,+0.234,173.1,35,Richard Mille Racing Team,LMP2,,,Oreca 07 - Gibson,G,67499,5989,3,5626,256,70,,,Richard Mille,,Marcus,ARMSTRONG,,,NZL,,10852,168,,,,Oliver,CALDWELL,,,GBR,,10295,188,,,,Paul Loup,CHATIN,,,FRA,,313,70,,,,,,,,,,,,,,,,,,,,,,
8,36,14,1:52.641,+3.829,+0.091,173.0,17,Alpine ELF Team,HYPERCAR,,,Alpine A480 - Gibson,M,67498,6150,4169,6065,21,70,,,Alpine,,Matthieu,VAXIVIERE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,3,1:53.389,+4.577,+0.748,171.8,34,Prema Orlen Team,LMP2,,,Oreca 07 - Gibson,G,67462,6153,3,5626,256,119,,,Prema Orlen,,Juan Manuel,CORREA,S,,USA,,10423,66,,,,Bent,VISCAAL,S,,NLD,,10228,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,31,6,1:53.433,+4.621,+0.044,171.8,17,WRT,LMP2,,,Oreca 07 - Gibson,G,67468,6156,3,5626,256,23,,,WRT,,René,RAST,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,23,29,1:54.653,+5.841,+1.220,169.9,35,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,67466,6078,3,5626,256,66,,,United,,Yasser,SHAHIN,B,,AUS,,10844,16,,,,Garnet,PATTERSON,S,,AUS,,10209,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10,4,1:55.666,+6.854,+1.013,168.4,36,Vector Sport,LMP2,,,Oreca 07 - Gibson,G,67463,6154,3,5626,256,188,,,Vector Sport,,Ryan,CULLEN,S,,GBR,,492,188,,,,Frederick,LUBIN,,,GBR,,10843,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
