POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,7,10,3:47.536,-,-,215.6,10,,Proto B,,,BENTLEY Speed 8 2003,,,,,,,,,,,,Shaun,LYNN,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,8,3:48.282,+0.746,+0.746,214.9,10,,Proto B,,,DALLARA SP1 2001,,,,,,,,,,,,Florent,MOULIN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25,9,3:49.063,+1.527,+0.781,214.1,10,,Proto B,,,LOLA-MG EX257 2004,,,,,,,,,,,,Mike,NEWTON,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27,10,3:50.069,+2.533,+1.006,213.2,10,,INV,,,ASTON MARTIN DBR9 2005,,,,,,,,,,,,Nikolaus,DITTING,,,DEU,,,,,,,Sam,HANCOCK,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,7,3:52.859,+5.323,+2.790,210.7,9,,GT1B,,,ASTON MARTIN DBR9 2007,,,,,,,,,,,,Darren,TURNER,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,10,3:53.544,+6.008,+0.685,210.0,10,,GT1B,,,ASTON MARTIN DBR9 2006,,,,,,,,,,,,Roald,GOETHE,,,DEU,,,,,,,Stuart,HALL,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,45,8,3:56.752,+9.216,+3.208,207.2,9,,GT1B,,,ASTON MARTIN DBR9 2008,,,,,,,,,,,,Dario,FRANCHITTI,,,GBR,FRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14,8,3:58.540,+11.004,+1.788,205.6,10,,Proto B,,,RILEY & SCOTT MK III C 2003,,,,,,,,,,,,Xavier,MICHERON,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,37,8,4:00.927,+13.391,+2.387,203.6,8,,GT1B,,,DODGE Viper GTS-R 2000,,,,,,,,,,,,Eric,HELARY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,8,4:01.695,+14.159,+0.768,203.0,10,,Proto B,,,RILEY & SCOTT MK III C 2002,,,,,,,,,,,,Richard,COOK,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,66,10,4:02.017,+14.481,+0.322,202.7,10,,GT1B,,,FERRARI 550 Maranello Prodrive 2005,,,,,,,,,,,,Dominik,ROSCHMANN,,,DEU,ROD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,46,9,4:04.170,+16.634,+2.153,200.9,9,,GT1B,,,MASERATI MC12 GT1 2005,,,,,,,,,,,,Joe,MACARI,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,53,10,4:05.099,+17.563,+0.929,200.1,10,,GT1B,,,ASTON MARTIN DBR9 2006,,,,,,,,,,,,Richard,MEINS,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,65,8,4:06.420,+18.884,+1.321,199.1,9,,GT1B,,,FERRARI 550 Maranello Prodrive 2002,,,,,,,,,,,,Max,GIRARDO,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,44,7,4:07.967,+20.431,+1.547,197.8,9,,Proto A,,,RILEY & SCOTT MK III 1996,,,,,,,,,,,,Jean-Marie,MULLER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,60,10,4:08.439,+20.903,+0.472,197.4,10,,Proto A,,,KEILER K II 1998,,,,,,,,,,,,Marc,JULLY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,190,7,4:11.225,+23.689,+2.786,195.3,8,,GT2B,,,FERRARI F430 GTC 2010,,,,,,,,,,,,Pierre,EHRET,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,105,8,4:11.501,+23.965,+0.276,195.0,9,,GT1B,,,DODGE Viper GTS-R 2002,,,,,,,,,,,,Ludovic,CHOLLEY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,61,7,4:11.512,+23.976,+0.011,195.0,9,,GT2B,,,TOYOTA Supra GT2 2001,,,,,,,,,,,,Marc,LOUAIL,,,FRA,,,,,,,Soheil,AYARI,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,9,4:12.936,+25.400,+1.424,193.9,9,,GT2B,,,PORSCHE 997 GT3 RSR 2009,,,,,,,,,,,,Emmanuel,BRIGAND,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,52,7,4:13.219,+25.683,+0.283,193.7,9,,GT2A,,,PORSCHE 993 GT2 Evo 1999,,,,,,,,,,,,Benoit,ROMAC,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,76,9,4:17.453,+29.917,+4.234,190.5,9,,GT2B,,,PORSCHE 996 GT3-RSR 2005,,,,,,,,,,,,Jean-Lou,RIHON,,,BEL,,,,,,,Nick,PADMORE,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,121,3,4:18.274,+30.738,+0.821,189.9,9,,Proto B,,,NORMA M2000-02 2003,,,,,,,,,,,,Peter,SCHLEIFER,,,DEU,SCP,,,,,,Georg,HALLAU,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,176,8,4:18.911,+31.375,+0.637,189.5,9,,GT2B,,,PORSCHE 996 GT3-RS 2006,,,,,,,,,,,,Maurizio,FRATTI,,,ITA,FRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28,4,4:20.506,+32.970,+1.595,188.3,6,,GT1A,,,FORD Mustang Cobra TA 1998,,,,,,,,,,,,Alain,RÜEDE,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20,4,4:21.091,+33.555,+0.585,187.9,9,,Proto B,,,PILBEAM MP93 2005,,,,,,,,,,,,Pierre,BRUNEAU,,,FRA,,,,,,,Marc,ROSTAN,,,FRA,ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,39,9,4:22.417,+34.881,+1.326,186.9,9,,Proto B,,,LOLA B05/40 2005,,,,,,,,,,,,Pierre-Loup,BOCH,,,FRA,BOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,40,7,4:25.826,+38.290,+3.409,184.5,9,,GT2B,,,PORSCHE 997 GT3 RSR 2007,,,,,,,,,,,,Michael,ERLICH,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,130,9,4:27.536,+40.000,+1.710,183.4,9,,GT2B,,,FERRARI F430 GTC Evo 2007,,,,,,,,,,,,Colin,PATON,,,GBR,,,,,,,Fergus,PATON,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,92,7,4:27.665,+40.129,+0.129,183.3,8,,GT2B,,,ASTON MARTIN V8 Vantage GT2 2010,,,,,,,,,,,,Franz,WUNDERLICH,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,57,9,4:28.914,+41.378,+1.249,182.4,9,,GT2B,,,ASTON MARTIN DBRS9 2009,,,,,,,,,,,,Romain,BELLETESTE,,,FRA,,,,,,,Serge,KRIKNOFF,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,7,4:30.375,+42.839,+1.461,181.4,8,,Proto B,,,COURAGE C65 2005,,,,,,,,,,,,Lionel,BOCH,,,FRA,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,30,9,4:31.350,+43.814,+0.975,180.8,9,,GT2B,,,PORSCHE 996 GT3-R 2000,,,,,,,,,,,,Lee,MAXTED-PAGE,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,31,9,4:34.972,+47.436,+3.622,178.4,9,,GT2B,,,PORSCHE 996 GT3-RS 2003,,,,,,,,,,,,Andrew,LAWLEY,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,118,7,4:36.471,+48.935,+1.499,177.4,8,,INV,,,CHEVROLET Corvette Z06R 2010,,,,,,,,,,,,Alfred,MOSER,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,77,2,4:38.131,+50.595,+1.660,176.4,5,,GT2B,,,PORSCHE 996 GT3-RS 2001,,,,,,,,,,,,Mike,YOULES,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,86,7,4:38.331,+50.795,+0.200,176.2,9,,GT2B,,,PORSCHE 996 GT3-RS 2004,,,,,,,,,,,,Stefan,ROITMAYER,,,DEU,,,,,,,Michael,FÖVENY,,,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,160,3,4:38.416,+50.880,+0.085,176.2,5,,GT2B,,,PORSCHE 996 GT3 RS 2002,,,,,,,,,,,,Peter,FAIRBAIRN,,,GBR,,,,,,,Paul,MCLEAN,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,18,3,4:40.503,+52.967,+2.087,174.9,4,,GT2A,,,PORSCHE 993 GT2 1997,,,,,,,,,,,,Heiko,OSTMANN,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,123,7,4:40.652,+53.116,+0.149,174.8,8,,INV,,,CHEVROLET Corvette Z06R 2007,,,,,,,,,,,,Peter,JOOS,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,70,7,4:56.616,+1:09.080,+15.964,165.4,8,,GT2B,,,FERRARI 360 Modena N-GT 2000,,,,,,,,,,,,Pascal,DUHAMEL,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,69,5,5:08.619,+1:21.083,+12.003,158.9,6,,GT2B,,,PORSCHE 996 GT3-RS 2001,,,,,,,,,,,,Paul,PHILLIPS,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,273,1,6:59.210,+3:11.674,+1:50.591,115.8,1,,GT2A,,,MORGAN Plus 8 GTR 1996,,,,,,,,,,,,Adrian,VAN DER KROFT,,,NLD,KRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,15,0,,,,,0,,Proto B,,,DALLARA SP1 2002,,,,,,,,,,,,James,COTTINGHAM,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,26,0,,,,,0,,GT1A,,,PORSCHE 911 GT1 1997,,,,,,,,,,,,Emmanuel,COLLARD,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,49,0,,,,,0,,GT2B,,,PORSCHE 996 GT3-R 2001,,,,,,,,,,,,Lars,ROLNER,,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,51,0,,,,,0,,GT2B,,,PORSCHE 996 GT3-RS 2001,,,,,,,,,,,,Paul,HOWELLS,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
