POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,7,Toyota Gazoo Racing,Mike CONWAY,Kamui KOBAYASHI,Jose Maria LOPEZ,,Toyota GR010 HYBRID,M,HYPERCAR,H,,Classified,307,20:00'55.275,,,161,3'27.734,236.1,,
2,8,Toyota Gazoo Racing,Sébastien BUEMI,Kazuki NAKAJIMA,Brendon HARTLEY,,Toyota GR010 HYBRID,M,HYPERCAR,H,,Classified,307,20:03'36.223,2'40.948,2'40.948,60,3'27.607,236.3,,
3,36,Alpine Elf Matmut,André NEGRÃO,Nicolas LAPIERRE,Matthieu VAXIVIERE,,Alpine A480 - Gibson,M,HYPERCAR,,,Classified,302,20:01'20.329,5 Laps,5 Laps,262,3'29.478,234.2,,
4,708,Glickenhaus Racing,Luis Felipe DERANI,Franck MAILLEUX,Olivier PLA,,Glickenhaus 007 LMH,M,HYPERCAR,,,Classified,302,20:03'46.936,5 Laps,2'26.607,152,3'30.898,232.6,,
5,31,Team WRT,Robin FRIJNS,Ferdinand HABSBURG,Charles MILESI,,Oreca 07 - Gibson,G,LMP2,,,Classified,300,20:00'22.313,7 Laps,2 Laps,253,3'33.494,229.8,,
6,41,Team WRT,Robert KUBICA,Louis DELETRAZ,Yifei YE,,Oreca 07 - Gibson,G,LMP2,,,Classified,300,20:02'37.524,7 Laps,2'15.211,271,3'31.957,231.4,,
7,709,Glickenhaus Racing,Ryan BRISCOE,Richard WESTBROOK,Romain DUMAS,,Glickenhaus 007 LMH,M,HYPERCAR,,,Classified,300,20:03'25.253,7 Laps,47.729,275,3'29.427,234.2,,
8,28,JOTA,Sean GELAEL,Stoffel VANDOORNE,Tom BLOMQVIST,,Oreca 07 - Gibson,G,LMP2,,,Classified,300,20:04'25.342,7 Laps,1'00.089,297,3'32.322,231.0,,
9,65,Panis Racing,Julien CANAL,Will STEVENS,James ALLEN,,Oreca 07 - Gibson,G,LMP2,,,Classified,299,20:04'01.937,8 Laps,1 Laps,242,3'33.060,230.2,,
10,34,Inter Europol Competition,Jakub SMIECHOWSKI,Renger VAN DER ZANDE,Alex BRUNDLE,,Oreca 07 - Gibson,G,LMP2,,,Classified,297,20:02'54.235,10 Laps,2 Laps,227,3'33.109,230.2,,
11,23,United Autosports,Paul DI RESTA,Alexander LYNN,Wayne BOYD,,Oreca 07 - Gibson,G,LMP2,,,Classified,297,20:04'24.122,10 Laps,1'29.887,251,3'34.211,229.0,,
12,48,IDEC Sport,Paul LAFARGUE,Paul Loup CHATIN,Patrick PILET,,Oreca 07 - Gibson,G,LMP2,,,Classified,296,20:04'12.189,11 Laps,1 Laps,258,3'33.524,229.7,,
