POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,15,7,3:47.021,-,-,216.1,9,,Proto B,,,DALLARA SP1 2002,,,,,,,,,,,,James,COTTINGHAM,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,88,8,3:49.983,+2.962,+2.962,213.3,9,,Proto B,,,DALLARA SP1 2002,,,,,,,,,,,,Martin,SHORT,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,8,3:50.738,+3.717,+0.755,212.6,10,,Proto B,,,DALLARA SP1 2001,,,,,,,,,,,,Florent,MOULIN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,7,3:53.004,+5.983,+2.266,210.5,8,,GT1B,,,ASTON MARTIN DBR9 2007,,,,,,,,,,,,Darren,TURNER,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,9,3:55.254,+8.233,+2.250,208.5,10,,GT1A,,,PORSCHE 911 GT1 1997,,,,,,,,,,,,Emmanuel,COLLARD,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,45,9,3:59.639,+12.618,+4.385,204.7,10,,GT1B,,,ASTON MARTIN DBR9 2008,,,,,,,,,,,,Dario,FRANCHITTI,,,GBR,FRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,8,3:59.991,+12.970,+0.352,204.4,9,,Proto B,,,RILEY & SCOTT MK III C 2002,,,,,,,,,,,,Richard,COOK,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25,7,4:00.187,+13.166,+0.196,204.2,8,,Proto B,,,LOLA-MG EX257 2004,,,,,,,,,,,,Mike,NEWTON,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27,2,4:00.542,+13.521,+0.355,203.9,9,,INV,,,ASTON MARTIN DBR9 2005,,,,,,,,,,,,Nikolaus,DITTING,,,DEU,,,,,,,Sam,HANCOCK,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,66,9,4:03.107,+16.086,+2.565,201.8,10,,GT1B,,,FERRARI 550 Maranello Prodrive 2005,,,,,,,,,,,,Dominik,ROSCHMANN,,,DEU,ROD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,37,8,4:04.535,+17.514,+1.428,200.6,9,,GT1B,,,DODGE Viper GTS-R 2000,,,,,,,,,,,,Eric,HELARY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,53,9,4:05.373,+18.352,+0.838,199.9,10,,GT1B,,,ASTON MARTIN DBR9 2006,,,,,,,,,,,,Richard,MEINS,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8,2,4:06.863,+19.842,+1.490,198.7,10,,GT1B,,,ASTON MARTIN DBR9 2006,,,,,,,,,,,,Roald,GOETHE,,,DEU,,,,,,,Stuart,HALL,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,46,7,4:09.700,+22.679,+2.837,196.5,9,,GT1B,,,MASERATI MC12 GT1 2005,,,,,,,,,,,,Joe,MACARI,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,60,7,4:10.963,+23.942,+1.263,195.5,10,,Proto A,,,KEILER K II 1998,,,,,,,,,,,,Marc,JULLY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,190,9,4:11.980,+24.959,+1.017,194.7,10,,GT2B,,,FERRARI F430 GTC 2010,,,,,,,,,,,,Pierre,EHRET,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,44,5,4:12.752,+25.731,+0.772,194.1,8,,Proto A,,,RILEY & SCOTT MK III 1996,,,,,,,,,,,,Jean-Marie,MULLER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,61,8,4:15.154,+28.133,+2.402,192.3,9,,GT2B,,,TOYOTA Supra GT2 2001,,,,,,,,,,,,Marc,LOUAIL,,,FRA,,,,,,,Soheil,AYARI,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,65,6,4:15.312,+28.291,+0.158,192.1,8,,GT1B,,,FERRARI 550 Maranello Prodrive 2002,,,,,,,,,,,,Max,GIRARDO,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,52,9,4:16.168,+29.147,+0.856,191.5,10,,GT2A,,,PORSCHE 993 GT2 Evo 1999,,,,,,,,,,,,Benoit,ROMAC,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,7,4:16.403,+29.382,+0.235,191.3,8,,GT2B,,,PORSCHE 997 GT3 RSR 2009,,,,,,,,,,,,Emmanuel,BRIGAND,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,105,9,4:18.871,+31.850,+2.468,189.5,9,,GT1B,,,DODGE Viper GTS-R 2002,,,,,,,,,,,,Ludovic,CHOLLEY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,86,2,4:21.379,+34.358,+2.508,187.7,9,,GT2B,,,PORSCHE 996 GT3-RS 2004,,,,,,,,,,,,Stefan,ROITMAYER,,,DEU,,,,,,,Michael,FÖVENY,,,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,176,6,4:23.837,+36.816,+2.458,185.9,9,,GT2B,,,PORSCHE 996 GT3-RS 2006,,,,,,,,,,,,Maurizio,FRATTI,,,ITA,FRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,73,6,4:23.993,+36.972,+0.156,185.8,9,,GT2A,,,PORSCHE 993 GT2 1997,,,,,,,,,,,,Guenther,SCHINDLER,,,DEU,SCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20,6,4:24.671,+37.650,+0.678,185.3,7,,Proto B,,,PILBEAM MP93 2005,,,,,,,,,,,,Pierre,BRUNEAU,,,FRA,,,,,,,Marc,ROSTAN,,,FRA,ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,40,7,4:25.314,+38.293,+0.643,184.9,9,,GT2B,,,PORSCHE 997 GT3 RSR 2007,,,,,,,,,,,,Michael,ERLICH,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,6,4:29.156,+42.135,+3.842,182.2,6,,GT1A,,,FORD Mustang Cobra TA 1998,,,,,,,,,,,,Alain,RÜEDE,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,92,8,4:29.323,+42.302,+0.167,182.1,9,,GT2B,,,ASTON MARTIN V8 Vantage GT2 2010,,,,,,,,,,,,Franz,WUNDERLICH,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,121,7,4:30.580,+43.559,+1.257,181.3,8,,Proto B,,,NORMA M2000-02 2003,,,,,,,,,,,,Peter,SCHLEIFER,,,DEU,SCP,,,,,,Georg,HALLAU,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,30,8,4:35.444,+48.423,+4.864,178.1,9,,GT2B,,,PORSCHE 996 GT3-R 2000,,,,,,,,,,,,Lee,MAXTED-PAGE,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
