POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
27,86,Classified,10,48:00.359,1 Lap,+10.626,4,4:13.123,193.8,,GT2B,,,PORSCHE 996 GT3-RS 2004,,,,,,,,,,,,Stefan,ROITMAYER,,,DEU,,,,,,,Michael,FÖVENY,,,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,57,Classified,10,48:13.053,1 Lap,+12.694,4,4:24.651,185.4,,GT2B,,,ASTON MARTIN DBRS9 2009,,,,,,,,,,,,Romain,BELLETESTE,,,FRA,,,,,,,Serge,KRIKNOFF,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,130,Classified,10,48:28.829,1 Lap,+15.776,10,4:25.476,184.8,,GT2B,,,FERRARI F430 GTC Evo 2007,,,,,,,,,,,,Colin,PATON,,,GBR,,,,,,,Fergus,PATON,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,77,Classified,10,48:54.710,1 Lap,+25.881,9,4:22.469,186.9,,GT2B,,,PORSCHE 996 GT3-RS 2001,,,,,,,,,,,,Mike,YOULES,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,96,Classified,10,48:55.113,1 Lap,+0.403,9,4:12.748,194.1,,GT2B,,,FERRARI F430 GTC Evo 2009,,,,,,,,,,,,Michael,MCINERNEY,,,GBR,MCM,,,,,,Sean,MCINERNEY,,,GBR,MCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,123,Classified,10,49:03.120,1 Lap,+8.007,9,4:26.819,183.8,,INV,,,CHEVROLET Corvette Z06R 2007,,,,,,,,,,,,Peter,JOOS,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,121,Classified,10,49:04.794,1 Lap,+1.674,4,4:11.832,194.8,,Proto B,,,NORMA M2000-02 2003,,,,,,,,,,,,Peter,SCHLEIFER,,,DEU,SCP,,,,,,Georg,HALLAU,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,30,Classified,10,52:05.532,1 Lap,+3:00.738,7,4:30.795,181.1,,GT2B,,,PORSCHE 996 GT3-R 2000,,,,,,,,,,,,Lee,MAXTED-PAGE,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,31,Classified,10,55:27.295,1 Lap,+3:21.763,4,4:29.333,182.1,,GT2B,,,PORSCHE 996 GT3-RS 2003,,,,,,,,,,,,Andrew,LAWLEY,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,44,Classified,9,43:50.870,2 Laps,1 Lap,7,4:07.892,197.9,,Proto A,,,RILEY & SCOTT MK III 1996,,,,,,,,,,,,Jean-Marie,MULLER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
