POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,22,United Autosports,Griffin PEEBLES,Grégoire SAUCY,Benjamin HANLEY,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'19.382,,,6,1'50.468,189.7,,
2,29,Forestier Racing by Panis,Louis ROUSSET,Oliver GRAY,Esteban MASSON,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'20.170,0.788,0.788,42,1'50.784,189.2,,
3,37,CLX Motorsport,Adrien CLOSMENIL,Theodor JENSEN,Ian AGUILERA,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'20.555,1.173,0.385,46,1'51.397,188.1,,
4,18,IDEC Sport,Jamie CHADWICK,Valerio RINICELLA,Laurents HÖRR,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'22.882,3.500,2.327,46,1'51.610,187.8,,
5,34,Inter Europol Competition,Bijoy GARG,Reshad DE GÉRUS,,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'23.120,3.738,0.238,7,1'51.268,188.3,,
6,28,IDEC Sport,Paul LAFARGUE,Job VAN UITERT,Paul-Loup CHATIN,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'24.415,5.033,1.295,46,1'51.568,187.8,,
7,10,Vector Sport,Ryan CULLEN,Vladislav LOMKO,Pietro FITTIPALDI,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'25.873,6.491,1.458,37,1'51.828,187.4,,
8,14,TDS Racing,Steven THOMAS,Sami MEGUETOUNIF,Scott HUFFAKER II,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'28.779,9.397,2.906,56,1'51.463,188.0,,
9,83,AF Corse,François PERRODO,Matthieu VAXIVIERE,Antonio FUOCO,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'32.054,12.672,3.275,57,1'51.677,187.6,,
10,9,Proton Competition,Jonas RIED,Sebastian PRIAULX,Mike ROCKENFELLER,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'32.289,12.907,0.235,44,1'52.173,186.8,,
11,43,Inter Europol Competition,Jakub SMIECHOWSKI,Tom DILLMANN,Luca GHIOTTO,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'32.659,13.277,0.370,50,1'51.819,187.4,,
12,19,Rossa Racing by Virage,John FALB,Manuel ESPIRITO SANTO,Rik KOEN,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'33.366,13.984,0.707,58,1'51.513,187.9,,
13,99,AO by TF,PJ HYETT,Jonny EDGAR,Dane CAMERON,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'36.813,17.431,3.447,48,1'51.604,187.8,,
14,47,CLX Motorsport,Georgios KOLOVOS,Ferdinand HABSBURG,Charles MILESI,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'38.173,18.791,1.360,46,1'51.008,188.8,,
15,24,Nielsen Racing,Edward PEARSON,Roy NISSANY,Jack DOOHAN,,Oreca 07 - Gibson,G,LMP2,,,Classified,83,3:02'38.547,19.165,0.374,48,1'51.998,187.1,,
16,27,Nielsen Racing,Kriton LENTOUDIS,Alex QUINN,James ALLEN,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'38.971,19.589,0.424,58,1'51.745,187.5,,
17,30,Duqueine Team,Giorgio RODA,Richard VERSCHOOR,Doriane PIN,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'39.484,20.102,0.513,37,1'51.298,188.3,,
18,7,Vector Sport,Jens Reno MØLLER,Cem BÖLÜKBASI,Lorenzo FLUXA,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'39.996,20.614,0.512,60,1'51.909,187.3,,
19,3,DKR Engineering,Jean GLORIEUX,Marlon HERNANDEZ,Sebastian ALVAREZ,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'41.240,21.858,1.244,73,1'52.466,186.3,,
20,21,United Autosports,Daniel SCHNEIDER,Marino SATO,Oliver JARVIS,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,83,3:02'41.675,22.293,0.435,39,1'51.539,187.9,,
21,25,Algarve Pro Racing,Matthias KAISER,Tristan VAUTIER,Jake HUGHES,,Oreca 07 - Gibson,G,LMP2,,,Classified,82,3:02'19.888,1 Laps,1 Laps,62,1'51.658,187.7,,
22,20,Algarve Pro Racing,Michael JENSEN,Enzo TRULLI,Malthe JAKOBSEN,,Oreca 07 - Gibson,G,LMP2 Pro/Am,,,Classified,82,3:02'35.803,1 Laps,15.915,62,1'53.048,185.4,,
