POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,23,29,1:42.289,-,-,185.9,39,United Autosports,LMP2,,,Oreca 07 - Gibson,M,58447,532,3,5626,256,188,,,,,Joshua,Pierson,S,,USA,,10331,66,,,,Paul,di Resta,P,,GBR,,9293,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49,37,1:43.094,+0.805,+0.805,184.4,41,High Class Racing,LMP2,AM,LMP2-AM,Oreca 07-Gibson,M,58450,5578,3,5626,256,57,,,,,Dennis,Andersen,B,,DNK,,8406,57,,,Min 00:40:00,Anders,Fjordbach,S,,DNK,,8420,57,,,Max 01:30:00,Kevin,Weeda,B,,USA,,112,66,,,Min 00:40:00,,,,,,,,,,,,,,,,,,,
3,4,27,1:43.965,+1.676,+0.871,182.9,35,Nielsen Racing,LMP2,,,Oreca 07-Gibson,M,58446,5670,3,5626,256,188,,,,,Rodrigo,Sales,B,,USA,,9754,66,,,Min 00:40:00,Matthew,Bell,S,,GBR,,204,188,,,Min 00:40:00,Benjamin,Hanley,G,,GBR,,1972,188,,,Max 01:30:00,,,,,,,,,,,,,,,,,,,
4,39,36,1:46.482,+4.193,+2.517,178.5,36,Graff Racing,LMP2,AM,LMP2-AM,Oreca 07-Gibson,M,58448,4378,3,5626,256,189,,,,,David,Droux,S,,CHE,,1612,219,,,Max 01:30:00,Eric,Trouillet,B,,FRA,,1542,70,,,Min 00:40:00,Sebastien,Page,B,,CHE,,9545,219,,,Min 00:40:00,,,,,,,,,,,,,,,,,,,
5,44,40,1:46.618,+4.329,+0.136,178.3,40,ARC Bratislava,LMP2,AM,LMP2-AM,Ligier JSP217-Gibson,M,58449,562,3,5628,258,213,,,,,Miroslav,Konopka,B,,SVK,,786,213,,,Min 00:40:00,Neale,Muston,B,,AUS,,8864,16,,,Min 00:40:00,John,Corbett,B,,AUS,,8816,16,,,Min 00:40:00,,,,,,,,,,,,,,,,,,,
6,2,28,1:49.744,+7.455,+3.126,173.2,36,DKR Engineering,LMP3,,,Duqueine M30-D08-Nissan,M,58451,49,6,5979,4408,138,,,,,Laurents,Hoerr,S,,DEU,,9124,5,,,Min 00:50:00-Max 01:25:00,Sebastian,Alvarez,S,,MEX,,10425,64,,,Min 00:50:00-Max 01:25:00,Mathieu,de Barbuat,B,,FRA,,10155,70,,,Min 01:45:00-Max 02:20:00,,,,,,,,,,,,,,,,,,,
7,26,35,1:49.797,+7.508,+0.053,173.2,38,G-Drive Racing,LMP3,,,Ligier JS P320-Nissan,M,58457,524,6,6102,,189,,,,,Fabrice,Rossello,B,,FRA,,10431,70,,,Min 01:45:00-Max 02:20:00,Xavier,Lloveras,S,,ESP,,10438,64,,,Min 00:50:00-Max 01:25:00,Viacheslav,Gutak,S,,RUS,,10519,189,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
8,8,26,1:49.976,+7.687,+0.179,172.9,35,Nielsen Racing,LMP3,,,Ligier JS P320-Nissan,M,58453,5670,6,6102,,188,,,,,Anthony,Wells,B,,GBR,,582,188,,,Min 01:45:00-Max 03:10:00,Colin,Noble,S,,GBR,,8474,188,,,Min 00:50:00-Max 02:15:00,,,,,,,,,,,,,,,,,,,,,,,,,
9,13,18,1:50.356,+8.067,+0.380,172.3,34,Inter Europol Competition,LMP3,,,Ligier JS P320-Nissan,M,58454,402,6,6102,,181,,,,,James,Davison,B,,CAN,,8852,40,,,Min 01:45:00-Max 02:20:00,Nicolas,Pino,S,,CHL,,10281,42,,,Min 00:50:00-Max 01:25:00,Guilherme,Moura de Oliveira,S,,PRT,,10443,184,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
10,27,37,1:51.000,+8.711,+0.644,171.3,38,CD Sport,LMP3,,,Ligier JS P320-Nissan,M,58458,5840,6,6102,,64,,,,,Christophe,Cresp,B,,FRA,,9632,70,,,Min 00:50:00-Max 02:25:00,Antoine,Doquin,B,,FRA,,9884,70,,,Min 00:50:00-Max 02:25:00,Steven,Palette,S,,FRA,,7600,70,,,Min 00:50:00-Max 02:20:00,,,,,,,,,,,,,,,,,,,
11,3,11,1:51.684,+9.395,+0.684,170.2,38,CD Sport,LMP3,,,Ligier JS P320-Nissan,M,58452,5840,6,6102,,64,,,,,Michael,Jensen,B,,DNK,,9543,57,,,Min 00:50:00-Max 02:25:00,Nicholas,Adcock,B,,GBR,,9627,188,,,Min 00:50:00-Max 02:25:00,Edouard,Cauhaupe,S,,FRA,,9652,70,,,Min 00:50:00-Max 02:20:00,,,,,,,,,,,,,,,,,,,
