POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,2,3,1:46.452,-,-,178.6,5,DKR Engineering,LMP3,,,Duqueine M30-D08-Nissan,M,58451,49,6,5979,4408,138,,,,,Laurents,Hoerr,S,,DEU,,9124,5,,,Min 00:50:00-Max 01:25:00,Sebastian,Alvarez,S,,ESP,,10425,64,,,Min 00:50:00-Max 01:25:00,Mathieu,de Barbuat,B,,FRA,,10155,70,,,Min 01:45:00-Max 02:20:00,,,,,,,,,,,,,,,,,,,
2,26,3,1:47.609,+1.157,+1.157,176.7,5,G-Drive Racing,LMP3,,,Ligier JS P320-Nissan,M,58457,524,6,6102,,189,,,,,Fabrice,Rossello,B,,FRA,,10431,70,,,Min 00:50:00-Max 02:25:00,Xavier,Lloveras,S,,ESP,,10438,64,,,Min 00:50:00-Max 02:20:00,Viacheslav,Gutak,B,,RUS,,10519,189,,,Min 00:50:00-Max 02:25:00,,,,,,,,,,,,,,,,,,,
3,13,4,1:47.881,+1.429,+0.272,176.2,5,Inter Europol Competition,LMP3,,,Ligier JS P320-Nissan,M,58454,402,6,6102,,181,,,,,James,Davison,B,,CAN,,8852,40,,,Min 01:45:00-Max 02:20:00,Nicolas,Pino,S,,CHL,,10281,42,,,Min 00:50:00-Max 01:25:00,Guilherme,Moura de Oliveira,S,,PRT,,10443,184,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
4,72,6,1:47.998,+1.546,+0.117,176.0,6,Koiranen Kemppi Motorsport,LMP3,,,Duqueine M30-D08-Nissan,M,58459,6181,6,5979,4408,69,,,,,Tomi,Veijalainen,B,,FIN,,10432,69,,,Min 01:45:00-Max 02:20:00,Jesse,Salmenautio,S,,FIN,,10439,69,,,Min 00:50:00-Max 01:25:00,Nikita,Aleksandrov,S,,RUS,,10445,189,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
5,8,2,1:48.065,+1.613,+0.067,175.9,6,Nielsen Racing,LMP3,,,Ligier JS P320-Nissan,M,58453,5670,6,6102,,188,,,,,Anthony,Wells,B,,GBR,,582,188,,,Min 01:45:00-Max 03:10:00,Colin,Noble,S,,GBR,,8474,188,,,Min 00:50:00-Max 02:15:00,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,3,1:48.281,+1.829,+0.216,175.6,5,Rinaldi Racing,LMP3,,,Duqueine M30-D08-Nissan,M,58456,6020,6,5979,4408,5,,,,,Leonard,Weiss,S,,DEU,,9872,5,,,Min 00:50:00-Max 01:25:00,Torsten,Kratz,B,,DEU,,10315,5,,,Min 01:45:00-Max 02:20:00,Hendrik,Still,S,,DEU,,8998,5,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
7,3,2,1:48.294,+1.842,+0.013,175.6,5,CD Sport,LMP3,,,Ligier JS P320-Nissan,M,58452,5840,6,6102,,64,,,,,Michael,Jensen,B,,DNK,,9543,57,,,Min 00:50:00-Max 02:25:00,Nicholas,Adcock,B,,GBR,,9627,188,,,Min 00:50:00-Max 02:25:00,Edouard,Cauhaupe,S,,FRA,,9652,70,,,Min 00:50:00-Max 02:20:00,,,,,,,,,,,,,,,,,,,
8,27,5,1:48.407,+1.955,+0.113,175.4,5,CD Sport,LMP3,,,Ligier JS P320-Nissan,M,58458,5840,6,6102,,64,,,,,Christophe,Cresp,B,,FRA,,9632,70,,,Min 00:50:00-Max 02:25:00,Antoine,Doquin,B,,FRA,,9884,70,,,Min 00:50:00-Max 02:25:00,Steven,Palette,S,,FRA,,7600,70,,,Min 00:50:00-Max 02:20:00,,,,,,,,,,,,,,,,,,,
9,21,5,1:48.630,+2.178,+0.223,175.0,6,Konrad Motorsport,LMP3,,,Ginetta G61-LT-P315-EVO-Nissan,M,58455,212,6,6130,64,17,,,,,Gabriele,Rindone,B,,LUX,,10517,138,,,Min 01:45:00-Max 02:20:00,Jordan,Grogor,S,,ZAF,,1180,2,,,Min 00:50:00-Max 01:25:00,Shaun,Thong,S,,HKG,,10372,92,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
