POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
12,27,2,1:49.263,+8.509,+0.340,174.0,37,CD Sport,LMP3,,,Ligier JS P320-Nissan,M,58458,5840,6,6102,,64,,,,,Christophe,Cresp,B,,FRA,,9632,70,,,Min 00:50:00-Max 02:25:00,Antoine,Doquin,B,,FRA,,9884,70,,,Min 00:50:00-Max 02:25:00,Steven,Palette,S,,FRA,,7600,70,,,Min 00:50:00-Max 02:20:00,,,,,,,,,,,,,,,,,,,
13,26,7,1:49.749,+8.995,+0.486,173.2,35,G-Drive Racing,LMP3,,,Ligier JS P320-Nissan,M,58457,524,6,6102,,189,,,,,Fabrice,Rossello,B,,FRA,,10431,70,,,Min 01:45:00-Max 02:20:00,Xavier,Lloveras,S,,ESP,,10438,64,,,Min 00:50:00-Max 01:25:00,Viacheslav,Gutak,B,,RUS,,10519,189,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
14,21,29,1:50.587,+9.833,+0.838,171.9,32,Konrad Motorsport,LMP3,,,Ginetta G61-LT-P315-EVO-Nissan,M,58455,212,6,6130,64,17,,,,,Gabriele,Rindone,B,,LUX,,10517,138,,,Min 01:45:00-Max 02:20:00,Jordan,Grogor,S,,ZAF,,1180,2,,,Min 00:50:00-Max 01:25:00,Shaun,Thong,S,,HKG,,10372,92,,,Min 00:50:00-Max 01:25:00,,,,,,,,,,,,,,,,,,,
15,6,6,1:51.904,+11.150,+1.317,169.9,31,Haupt Racing Team,GT,,,Mercedes AMG GT3,M,58460,6182,4083,5592,4314,5,,,,,Hubert,Haupt,S,,DEU,,6986,5,,,Min 00:55:00,Rory,Penttinen,B,,FIN,,9628,69,,,Min 00:55:00,Arjun,Maini,G,,IND,,9355,112,,,None,,,,,,,,,,,,,,,,,,,
16,91,8,1:51.951,+11.197,+0.047,169.8,32,Herberth Motorsport,GT,,,Porsche 911 GT3 R,M,58479,6083,4083,4343,4368,5,,,,,Alfred,Renauer,S,,DEU,,10071,5,,,Min 00:55:00,Robert,Renauer,G,,DEU,,10207,5,,,None,Ralf,Bohn,B,,DEU,,10137,5,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
17,20,8,1:52.144,+11.390,+0.193,169.5,34,SPS Automotive Performance,GT,AM,GT-AM,Mercedes AMG GT3,M,58464,5929,4083,5592,4314,5,,,,,Valentin,Pierburg,B,,DEU,,9527,5,,,Min 00:55:00,John,Loggie,B,,GBR,,10227,188,,,Min 00:55:00,Mikael,Grenier,S,,CAN,,10448,40,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
18,34,2,1:52.160,+11.406,+0.016,169.5,34,Walkenhorst Motorsport,GT,,,BMW M4 GT3,M,58466,6177,4083,6128,4433,5,,,,,Chandler,Hull,B,,USA,,10403,66,,,Min 00:55:00,Jonathan,Miller,S,,USA,,10405,66,,,Min 00:55:00,Nicky,Catsburg,P,,NLD,,9020,178,,,None,,,,,,,,,,,,,,,,,,,
19,57,10,1:52.310,+11.556,+0.150,169.3,36,Kessel Racing,GT,AM,GT-AM,Ferrari 488 GT3,M,58472,120,4083,5578,3,219,,,,,Roman,Ziemian,B,,POL,,10435,181,,,Min 00:55:00,Francesco,Zollo,B,,ITA,,10226,119,,,Min 00:55:00,Axcil,Jefferies,S,,ZWE,,9876,188,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
20,7,8,1:52.653,+11.899,+0.343,168.8,32,Inception Racing,GT,,,McLaren 720S GT3,M,58461,6084,4083,6044,60,188,,,,,Brendan,Iribe,B,,USA,,9833,66,,,Min 00:55:00,Ollie,Millroy,S,,GBR,,1213,188,,,Min 00:55:00,Benjamin,Barnicoat,G,,GBR,,9429,188,,,None,,,,,,,,,,,,,,,,,,,
21,12,17,1:52.715,+11.961,+0.062,168.7,20,Dinamic Motorsport,GT,,,Porsche 911 GT3 R,M,58462,6183,4083,4343,4368,119,,,,,Giorgio,Roda,S,,ITA,,458,119,,,Min 00:55:00,Benjamin,Barker,G,,GBR,,594,188,,,None,Philipp,Sager,B,,AUT,,10446,17,,,Min 00:55:00,,,,,,,,,,,,,,,,,,,
