POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,8,Toyota Gazoo Racing,Sébastien BUEMI,Brendon HARTLEY,Ryo HIRAKAWA,,Toyota GR010 HYBRID,M,HYPERCAR,H,,Classified,200,15:00'57.778,,,10,3'29.670,234.0,,
2,51,Ferrari AF Corse,Alessandro PIER GUIDI,James CALADO,Antonio GIOVINAZZI,,Ferrari 499P,M,HYPERCAR,H,,Classified,200,15:01'09.583,11.805,11.805,12,3'29.074,234.6,,
3,2,Cadillac Racing,Earl BAMBER,Alex LYNN,Richard WESTBROOK,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,200,15:02'56.537,1'58.759,1'46.954,56,3'29.880,233.7,,
4,6,Porsche Penske Motorsport,Kévin ESTRE,André LOTTERER,Laurens VANTHOOR,,Porsche 963,M,HYPERCAR,H,,Classified,199,15:02'04.345,1 Laps,1 Laps,199,3'29.653,234.0,,
5,3,Cadillac Racing,Sébastien BOURDAIS,Renger VAN DER ZANDE,Scott DIXON,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,199,15:02'50.822,1 Laps,46.477,12,3'28.298,235.5,,
6,93,Peugeot TotalEnergies,Paul DI RESTA,Mikkel JENSEN,Jean-Éric VERGNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,198,15:03'31.638,2 Laps,1 Laps,10,3'30.086,233.5,,
7,709,Glickenhaus Racing,Franck MAILLEUX,Nathanaël BERTHON,Esteban GUTIERREZ,,Glickenhaus 007,M,HYPERCAR,,,Classified,197,15:03'52.312,3 Laps,1 Laps,11,3'30.551,233.0,,
8,708,Glickenhaus Racing,Romain DUMAS,Ryan BRISCOE,Olivier PLA,,Glickenhaus 007,M,HYPERCAR,,,Classified,197,15:04'00.261,3 Laps,7.949,29,3'30.087,233.5,,
9,5,Porsche Penske Motorsport,Dane CAMERON,Michael CHRISTENSEN,Frédéric MAKOWIECKI,,Porsche 963,M,HYPERCAR,H,,Classified,195,15:02'51.421,5 Laps,2 Laps,9,3'30.059,233.5,,
10,50,Ferrari AF Corse,Antonio FUOCO,Miguel MOLINA,Nicklas NIELSEN,,Ferrari 499P,M,HYPERCAR,H,,Classified,194,15:00'50.773,6 Laps,1 Laps,31,3'28.980,234.7,,
11,94,Peugeot TotalEnergies,Loïc DUVAL,Gustavo MENEZES,Nico MÜLLER,,Peugeot 9X8,M,HYPERCAR,H,,Classified,192,15:02'52.480,8 Laps,2 Laps,10,3'29.659,234.0,,
12,34,Inter Europol Competition,Jakub SMIECHOWSKI,Albert COSTA,Fabio SCHERER,,Oreca 07 - Gibson,G,LMP2,,,Classified,192,15:03'30.409,8 Laps,37.929,66,3'38.578,224.4,,
13,41,Team WRT,Rui ANDRADE,Louis DELÉTRAZ,Robert KUBICA,,Oreca 07 - Gibson,G,LMP2,,,Classified,192,15:03'34.488,8 Laps,4.079,11,3'36.419,226.7,,
14,48,IDEC Sport,Paul LAFARGUE,Paul Loup CHATIN,Laurents HÖRR,,Oreca 07 - Gibson,G,LMP2,,,Classified,191,15:01'29.675,9 Laps,1 Laps,11,3'37.116,225.9,,
15,30,Duqueine Team,Neel JANI,René BINDER,Nicolas PINO,,Oreca 07 - Gibson,G,LMP2,,,Classified,191,15:01'33.384,9 Laps,3.709,11,3'39.043,223.9,,
16,65,Panis Racing,Manuel MALDONADO,Tijmen VAN DER HELM,Job VAN UITERT,,Oreca 07 - Gibson,G,LMP2,,,Classified,191,15:01'46.172,9 Laps,12.788,10,3'38.064,225.0,,
17,36,Alpine Elf Team,Matthieu VAXIVIERE,Charles MILESI,Julien CANAL,,Oreca 07 - Gibson,G,LMP2,,,Classified,191,15:03'22.719,9 Laps,1'36.547,10,3'37.406,225.6,,
18,31,Team WRT,Sean GELAEL,Ferdinand HABSBURG,Robin FRIJNS,,Oreca 07 - Gibson,G,LMP2,,,Classified,190,15:01'10.118,10 Laps,1 Laps,53,3'39.346,223.6,,
19,28,JOTA,David HEINEMEIER-HANSSON,Oliver RASMUSSEN,Pietro FITTIPALDI,,Oreca 07 - Gibson,G,LMP2,,,Classified,190,15:01'33.441,10 Laps,23.323,11,3'37.346,225.7,,
20,10,Vector Sport,Ryan CULLEN,Gabriel AUBRY,Matthias KAISER,,Oreca 07 - Gibson,G,LMP2,,,Classified,190,15:02'02.151,10 Laps,28.710,11,3'37.719,225.3,,
21,45,Algarve Pro Racing,George KURTZ,James ALLEN,Colin BRAUN,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,188,15:01'50.241,12 Laps,2 Laps,9,3'38.010,225.0,,
22,35,Alpine Elf Team,André NEGRÃO,Olli CALDWELL,Memo ROJAS,,Oreca 07 - Gibson,G,LMP2,,,Classified,188,15:02'31.075,12 Laps,40.834,10,3'38.063,225.0,,
23,23,United Autosports,Joshua PIERSON,Tom BLOMQVIST,Oliver JARVIS,,Oreca 07 - Gibson,G,LMP2,,,Classified,187,15:01'45.130,13 Laps,1 Laps,10,3'37.726,225.3,,
24,22,United Autosports,Philip HANSON,Filipe ALBUQUERQUE,Frederick LUBIN,,Oreca 07 - Gibson,G,LMP2,,,Classified,187,15:02'11.065,13 Laps,25.935,11,3'37.828,225.2,,
25,38,Hertz Team JOTA,Antonio Felix DA COSTA,William STEVENS,Yifei YE,,Porsche 963,M,HYPERCAR,H,,Classified,186,15:03'47.180,14 Laps,1 Laps,56,3'28.979,234.7,,
26,57,Kessel Racing,Takeshi KIMURA,Scott HUFFAKER,Daniel SERRA,,Ferrari 488 GTE Evo,M,LMGTE Am,,,Classified,184,15:01'22.067,16 Laps,2 Laps,8,3'52.468,211.0,,
27,24,Hendrick Motorsports,Jimmie JOHNSON,Mike ROCKENFELLER,Jenson BUTTON,,Chevrolet Camaro ZL1,G,INNOVATIVE CAR,,,Classified,184,15:03'08.936,16 Laps,1'46.869,120,3'50.907,212.4,,
28,54,AF Corse,Thomas FLOHR,Francesco CASTELLACCI,Davide RIGON,,Ferrari 488 GTE Evo,M,LMGTE Am,,,Classified,184,15:03'09.780,16 Laps,0.844,8,3'52.124,211.3,,
29,86,GR Racing,Michael WAINWRIGHT,Benjamin BARKER,Riccardo PERA,,Porsche 911 RSR - 19,M,LMGTE Am,,,Classified,184,15:03'10.833,16 Laps,1.053,184,3'51.659,211.7,,
30,25,ORT by TF,Ahmad AL HARTHY,Michael DINAN,Charlie EASTWOOD,,Aston Martin Vantage AMR,M,LMGTE Am,,,Classified,184,15:03'26.701,16 Laps,15.868,29,3'52.769,210.7,,
31,56,Project 1 - AO,PJ HYETT,Gunnar JEANNETTE,Matteo CAIROLI,,Porsche 911 RSR - 19,M,LMGTE Am,,,Classified,184,15:03'39.467,16 Laps,12.766,11,3'51.446,211.9,,
32,37,COOL Racing,Nicolas LAPIERRE,Alexandre COIGNY,Malthe JAKOBSEN,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,184,15:03'59.106,16 Laps,19.639,54,3'38.982,224.0,,
33,85,Iron Dames,Sarah BOVY,Michelle GATTING,Rahel FREY,,Porsche 911 RSR - 19,M,LMGTE Am,,,Classified,184,15:04'04.953,16 Laps,5.847,10,3'54.852,208.9,,
34,80,AF Corse,François PERRODO,Ben BARNICOAT,Norman NATO,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,183,14:31'45.292,17 Laps,1 Laps,149,3'39.807,223.2,,
35,33,Corvette Racing,Nicky CATSBURG,Ben KEATING,Nicolas VARRONE,,Chevrolet Corvette C8.R,M,LMGTE Am,,,Classified,183,15:00'44.043,17 Laps,28'58.751,8,3'51.283,212.1,,
36,911,Proton Competition,Michael FASSBENDER,Martin RUMP,Richard LIETZ,,Porsche 911 RSR - 19,M,LMGTE Am,,,Classified,183,15:02'46.127,17 Laps,2'02.084,16,3'53.056,210.5,,
37,9,Prema Racing,Bent VISCAAL,Juan Manuel CORREA,Filip UGRAN,,Oreca 07 - Gibson,G,LMP2,,,Classified,183,15:03'16.065,17 Laps,29.938,10,3'37.815,225.2,,
38,311,Action Express Racing,Luis Felipe DERANI,Alexander SIMS,Jack AITKEN,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,183,15:03'46.447,17 Laps,30.382,54,3'30.588,232.9,,
39,98,Northwest AMR,Ian JAMES,Daniel MANCINELLI,Alex RIBERAS,,Aston Martin Vantage AMR,M,LMGTE Am,,,Classified,183,15:04'22.320,17 Laps,35.873,138,3'54.522,209.2,,
40,100,Walkenhorst Motorsport,Chandler HULL,Andrew HARYANTO,Jeffrey SEGAL,,Ferrari 488 GTE Evo,M,LMGTE Am,,,Classified,181,15:01'19.603,19 Laps,2 Laps,11,3'54.723,209.0,,
41,74,Kessel Racing,Kei COZZOLINO,Yorikatsu TSUJIKO,Naoki YOKOMIZO,,Ferrari 488 GTE Evo,M,LMGTE Am,,,Classified,180,15:04'25.148,20 Laps,1 Laps,180,3'54.481,209.2,,
42,43,DKR Engineering,Tom VAN ROMPUY,Ugo DE WILDE,Maxime MARTIN,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,178,15:02'53.552,22 Laps,2 Laps,13,3'38.439,224.6,,
43,39,Graff Racing,Roberto LACORTE,Giedo VAN DER GARDE,Patrick PILET,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,175,15:03'17.941,25 Laps,3 Laps,151,3'38.622,224.4,,
44,88,Proton Competition,Harry TINCKNELL,Donald YOUNT,Jonas RIED,,Porsche 911 RSR - 19,M,LMGTE Am,,,Classified,170,13:57'04.547,30 Laps,5 Laps,147,3'51.811,211.6,,
45,777,D'Station Racing,Satoshi HOSHINO,Casper STEVENSON,Tomonobu FUJII,,Aston Martin Vantage AMR,M,LMGTE Am,,,Classified,163,13:41'58.671,37 Laps,7 Laps,149,3'54.651,209.0,,
46,4,Floyd Vanwall Racing Team,Tom DILLMANN,Esteban GUERRIERI,Tristan VAUTIER,,Vanwall Vandervell 680,M,HYPERCAR,,,Classified,163,15:02'44.396,37 Laps,1:20'45.725,125,3'32.636,230.7,,
47,47,COOL Racing,Reshad DE GÉRUS,Vladislav LOMKO,Simon PAGENAUD,,Oreca 07 - Gibson,G,LMP2,,,Classified,158,12:41'03.838,42 Laps,5 Laps,10,3'37.338,225.7,,
48,32,Inter Europol Competition,Mark KVAMME,Jan MAGNUSSEN,Anders FJORDBACH,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,117,11:07'55.755,83 Laps,41 Laps,57,3'39.388,223.6,,
49,77,Dempsey - Proton Racing,Christian RIED,Mikkel PEDERSEN,Julien ANDLAUER,,Porsche 911 RSR - 19,M,LMGTE Am,,,Retired,118,10:31'03.703,82 Laps,-1 Laps,89,3'55.060,208.7,,
50,63,Prema Racing,Doriane PIN,Daniil KVYAT,Mirko BORTOLOTTI,,Oreca 07 - Gibson,G,LMP2,,,Retired,113,9:35'28.976,87 Laps,5 Laps,65,3'39.270,223.7,,
51,7,Toyota Gazoo Racing,Mike CONWAY,Kamui KOBAYASHI,Jose Maria LOPEZ,,Toyota GR010 HYBRID,M,HYPERCAR,H,,Retired,103,7:58'44.496,97 Laps,10 Laps,12,3'29.993,233.6,,
