POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,22,9,2:04.968,-,-,201.8,15,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,49819,532,3,5626,256,188,,,,,Phil,HANSON,,,GBR,,8272,188,,,,Fabio,SCHERER,,,CHE,,9870,219,,,,Filipe,ALBUQUERQUE,,,PRT,,306,184,,,,,,,,,,,,,,,,,,,,,,
2,29,7,2:05.496,+0.528,+0.528,200.9,26,Racing Team Nederland,LMP2,P/A,,Oreca 07 - Gibson,G,49821,5528,3,5626,256,178,,,,,Frits,VAN EERD,,,NLD,,8338,178,,,,Giedo,VAN DER GARDE,,,NLD,,1792,178,,,,Job,VAN UITERT,,,NLD,,8984,178,,,,,,,,,,,,,,,,,,,,,,
3,70,6,2:05.979,+1.011,+0.483,200.1,25,Realteam Racing,LMP2,P/A,,Oreca 07 - Gibson,G,49835,5917,3,5626,256,219,,,,,Esteban,GARCIA,,,CHE,,9374,219,,,,Loïc,DUVAL,,,FRA,,14,70,,,,Norman,NATO,,,FRA,,9032,70,,,,,,,,,,,,,,,,,,,,,,
4,21,14,2:06.017,+1.049,+0.038,200.1,15,Dragonspeed USA,LMP2,P/A,,Oreca 07 - Gibson,G,49818,420,3,5626,256,66,,,,,Henrik,HEDMAN,,,SWE,,1728,221,,,,Juan Pablo,MONTOYA,,,COL,,9177,46,,,,Ben,HANLEY,,,GBR,,1972,188,,,,,,,,,,,,,,,,,,,,,,
5,38,6,2:06.190,+1.222,+0.173,199.8,19,Jota,LMP2,,,Oreca 07 - Gibson,G,49826,27,3,5626,256,188,,,,,Roberto,GONZALEZ,,,MEX,,8268,151,,,,Antonio Felix,DA COSTA,,,PRT,,9024,184,,,,Anthony,DAVIDSON,,,GBR,,137,188,,,,,,,,,,,,,,,,,,,,,,
6,31,11,2:06.262,+1.294,+0.072,199.7,18,Team WRT,LMP2,,,Oreca 07 - Gibson,G,49822,5518,3,5626,256,23,,,,,Robin,FRIJNS,,,NLD,,9871,178,,,,Ferdinand,HABSBURG,,,AUT,,10000,17,,,,Charles,MILESI,,,FRA,,9594,70,,,,,,,,,,,,,,,,,,,,,,
7,28,9,2:06.475,+1.507,+0.213,199.4,15,Jota,LMP2,,,Oreca 07 - Gibson,G,49820,27,3,5626,256,188,,,,,Sean,GELAEL,,,IDN,,1968,113,,,,Stoffel,VANDOORNE,,,BEL,,9520,23,,,,Tom,BLOMQVIST,,,GBR,,8318,188,,,,,,,,,,,,,,,,,,,,,,
8,8,14,2:06.896,+1.928,+0.421,198.7,15,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,49816,380,4169,6054,2,121,,,,,Sébastien,BUEMI,,,CHE,,138,219,,,,Kazuki,NAKAJIMA,,,JPN,,97,121,,,,Brendon,HARTLEY,,,NZL,,152,168,,,,,,,,,,,,,,,,,,,,,,
9,26,16,2:07.388,+2.420,+0.492,197.9,23,G-Drive Racing,LMP2,,,Aurus 01 - Gibson,G,49858,524,3,5957,4394,254,,,,,Roman,RUSINOV,,,RAF,,107,254,,,,Franco,COLAPINTO,,,ARG,,10066,13,,,,Nyck,DE VRIES,,,NLD,,9152,178,,,,,,,,,,,,,,,,,,,,,,
10,25,9,2:07.419,+2.451,+0.031,197.9,23,G-Drive Racing,LMP2,P/A,,Aurus 01 - Gibson,G,49857,524,3,5957,4394,254,,,,,John,FALB,,,USA,,1536,66,,,,Rui,ANDRADE,,,PRT,,9873,184,,,,Roberto,MERHI,,,ESP,,1990,64,,,,Diego,MENCHACA,,,MEX,,9882,151,,,,,,,,,,,,,,,,
