POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,26,3,2:04.168,-,-,203.1,48,G-Drive Racing,LMP2,,,Aurus 01 - Gibson,G,49858,524,3,5957,4394,254,,,,,Roman,RUSINOV,,,RAF,,107,254,,,,Franco,COLAPINTO,,,ARG,,10066,13,,,,Nick,DE VRIES,,,NLD,,9152,178,,,,,,,,,,,,,,,,,,,,,,
2,22,13,2:04.284,+0.116,+0.116,202.9,37,United Autosports USA,LMP2,,,Oreca 07 - Gibson,G,49819,532,3,5626,256,188,,,,,Phillip,HANSON,,,GBR,,8272,188,,,,Fabio,SCHERER,,,CHE,,9870,219,,,,Filipe,ALBUQUERQUE,,,PRT,,306,184,,,,,,,,,,,,,,,,,,,,,,
3,38,11,2:04.582,+0.414,+0.298,202.4,49,Jota,LMP2,,,Oreca 07 - Gibson,G,49826,27,3,5626,256,188,,,,,Roberto,GONZALEZ,,,MEX,,8268,151,,,,Antonio Felix,DA COSTA,,,PRT,,9024,184,,,,Anthony,DAVIDSON,,,GBR,,137,188,,,,,,,,,,,,,,,,,,,,,,
4,7,33,2:04.708,+0.540,+0.126,202.2,39,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,49815,380,4169,6054,2,121,,,,,Mike,CONWAY,,,GBR,,215,188,,,,Kamui,KOBAYASHI,,,JPN,,210,121,,,,Jose Maria,LOPEZ,,,ARG,,8418,13,,,,,,,,,,,,,,,,,,,,,,
5,29,14,2:04.775,+0.607,+0.067,202.1,35,Racing Team Nederland,LMP2,P/A,,Oreca 07 - Gibson,G,49821,5528,3,5626,256,178,,,,,Frits,VAN EERD,,,NLD,,8338,178,,,,Giedo,VAN DER GARDE,,,NLD,,1792,178,,,,Job,VAN UITERT,,,NLD,,8984,178,,,,,,,,,,,,,,,,,,,,,,
6,8,9,2:04.798,+0.630,+0.023,202.0,52,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 HYBRID,M,49816,380,4169,6054,2,121,,,,,Sébastien,BUEMI,,,CHE,,138,219,,,,Kazuki,NAKAJIMA,,,JPN,,97,121,,,,Brendon,HARTLEY,,,NZL,,152,168,,,,,,,,,,,,,,,,,,,,,,
7,25,16,2:05.080,+0.912,+0.282,201.6,40,G-Drive Racing,LMP2,P/A,,Aurus 01 - Gibson,G,49857,524,3,5957,4394,254,,,,,John,FALB,,,USA,,1536,66,,,,Rui,ANDRADE,,,PRT,,9873,184,,,,Roberto,MERHI,,,ESP,,1990,64,,,,Diego,MENCHACA,,,MEX,,9882,151,,,,,,,,,,,,,,,,
8,21,12,2:05.340,+1.172,+0.260,201.2,26,Dragonspeed USA,LMP2,P/A,,Oreca 07 - Gibson,G,49818,420,3,5626,256,66,,,,,Henrik,HEDMAN,,,SWE,,1728,221,,,,Juan Pablo,MONTOYA,,,COL,,9177,46,,,,Ben,HANLEY,,,GBR,,1972,188,,,,,,,,,,,,,,,,,,,,,,
9,70,7,2:05.379,+1.211,+0.039,201.1,55,Realteam Racing,LMP2,P/A,,Oreca 07 - Gibson,G,49835,5917,3,5626,256,219,,,,,Esteban,GARCIA,,,CHE,,9374,219,,,,Loïc,DUVAL,,,FRA,,14,70,,,,Norman,NATO,,,FRA,,9032,70,,,,,,,,,,,,,,,,,,,,,,
10,31,31,2:05.389,+1.221,+0.010,201.1,46,Team WRT,LMP2,,,Oreca 07 - Gibson,G,49822,5518,3,5626,256,23,,,,,Robin,FRIJNS,,,NLD,,9871,178,,,,Ferdinand,HABSBURG,,,AUT,,10000,17,,,,Charles,MILESI,,,FRA,,9594,70,,,,,,,,,,,,,,,,,,,,,,
11,36,39,2:05.772,+1.604,+0.383,200.5,45,Alpine Elf Matmut,HYPERCAR,,,Alpine A480 - Gibson,M,49825,6063,4169,6065,21,70,,,,,André,NEGRÃO,,,BRA,,8480,32,,,,Nicolas,LAPIERRE,,,FRA,,96,70,,,,Matthieu,VAXIVIERE,,,FRA,,7798,70,,,,,,,,,,,,,,,,,,,,,,
12,20,24,2:06.707,+2.539,+0.935,199.0,46,High Class Racing,LMP2,P/A,,Oreca 07 - Gibson,G,49817,5578,3,5626,256,57,,,,,Jan,MAGNUSSEN,,,DNK,,172,57,,,,Anders,FJORDBACH,,,DNK,,8420,57,,,,Dennis,ANDERSEN,,,DNK,,8406,57,,,,,,,,,,,,,,,,,,,,,,
13,34,23,2:06.824,+2.656,+0.117,198.8,45,Inter Europol Competition,LMP2,,,Oreca 07 - Gibson,G,49824,402,3,5626,256,181,,,,,Jakub,SMIECHOWSKI,,,POL,,1670,181,,,,Renger,VAN DER ZANDE,,,NLD,,1920,178,,,,Alex,BRUNDLE,,,GBR,,143,188,,,,,,,,,,,,,,,,,,,,,,
14,24,32,2:07.034,+2.866,+0.210,198.5,37,PR1 Motorsports,LMP2,P/A,,Oreca 07 - Gibson,G,49856,6086,3,6056,,66,,,,,Patrick,KELLY,,,USA,,10065,66,,,,Gabriel,AUBRY,,,FRA,,9173,70,,,,Simon,TRUMMER,,,CHE,,337,219,,,,,,,,,,,,,,,,,,,,,,
15,1,9,2:07.540,+3.372,+0.506,197.7,44,Richard Mille Racing Team,LMP2,,,Oreca 07 - Gibson,G,49814,5989,3,5626,256,70,,,,,Tatiana,CALDERON,,,COL,,9665,46,,,,Sophia,FLOERSCH,,,DEU,,9765,5,,,,Beitske,VISSER,,,NLD,,9764,178,,,,,,,,,,,,,,,,,,,,,,
16,28,12,2:08.220,+4.052,+0.680,196.6,12,Jota,LMP2,,,Oreca 07 - Gibson,G,49820,27,3,5626,256,188,,,,,Sean,GELAEL,,,IDN,,1968,113,,,,Stoffel,VANDOORNE,,,BEL,,9520,23,,,,Tom,BLOMQVIST,,,GBR,,8318,188,,,,,,,,,,,,,,,,,,,,,,
17,44,5,2:10.331,+6.163,+2.111,193.5,19,ARC Bratislava,LMP2,P/A,,Ligier JSP217 - Gibson,G,49827,562,3,5628,258,213,,,,,Miroslav,KONOPKA,,,SVK,,4265,213,,,,Thomas,JACKSON,,,GBR,,1982,188,,,,Oliver,WEBB,,,GBR,,314,188,,,,,,,,,,,,,,,,,,,,,,
18,92,45,2:12.916,+8.748,+2.585,189.7,46,Porsche GT Team,LMGTE Pro,,,Porsche 911 RSR - 19,M,49842,5556,2,5965,4368,5,,,,,Kevin,ESTRE,,,FRA,,1292,70,,,,Neel,JANI,,,CHE,,16,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,91,42,2:14.214,+10.046,+1.298,187.9,44,Porsche GT Team,LMGTE Pro,,,Porsche 911 RSR - 19,M,49841,5556,2,5965,4368,5,,,,,Gianmaria,BRUNI,,,ITA,,59,119,,,,Richard,LIETZ,,,AUT,,66,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,51,24,2:14.414,+10.246,+0.200,187.6,43,AF Corse,LMGTE Pro,,,Ferrari 488 GTE Evo,M,49830,16,2,5910,3,119,,,,,Alessandro,PIER GUIDI,,,ITA,,340,119,,,,James,CALADO,,,GBR,,300,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,63,11,2:14.703,+10.535,+0.289,187.2,43,Corvette Racing,LMGTE Pro,,,Chevrolet Corvette C8.R,M,49859,36,2,5984,4,66,,,,,Antonio,GARCIA,,,ESP,,164,64,,,,Oliver,GAVIN,,,GBR,,165,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,56,37,2:14.736,+10.568,+0.033,187.1,41,Team Project 1,LMGTE Am,,,Porsche 911 RSR - 19,M,49833,5786,4,5965,4368,5,,,,,Egidio,PERFETTI,,,NOR,,8186,166,,,,Matteo,CAIROLI,,,ITA,,8252,119,,,,Riccardo,PERA,,,ITA,,9187,119,,,,,,,,,,,,,,,,,,,,,,
23,77,20,2:14.872,+10.704,+0.136,186.9,41,Dempsey - Proton Racing,LMGTE Am,,,Porsche 911 RSR - 19,M,49836,52,4,5965,4368,5,,,,,Christian,RIED,,,DEU,,90,5,,,,Jaxon,EVANS,,,NZL,,9863,168,,,,Matt,CAMPBELL,,,AUS,,8944,16,,,,,,,,,,,,,,,,,,,,,,
24,33,5,2:14.997,+10.829,+0.125,186.8,41,TF Sport,LMGTE Am,,,Aston Martin VANTAGE AMR,M,49823,364,4,5896,260,188,,,,,Ben,KEATING,,,USA,,1312,66,,,,Dylan,PEREIRA,,,LUX,,9864,138,,,,Felipe,FRAGA,,,BRA,,9540,32,,,,,,,,,,,,,,,,,,,,,,
25,52,18,2:14.998,+10.830,+0.001,186.8,21,AF Corse,LMGTE Pro,,,Ferrari 488 GTE Evo,M,49831,16,2,5910,3,119,,,,,Miguel,MOLINA,,,ESP,,8526,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,86,5,2:15.025,+10.857,+0.027,186.7,41,GR Racing,LMGTE Am,,,Porsche 911 RSR - 19,M,49839,6065,4,5965,4368,188,,,,,Michael,WAINWRIGHT,,,GBR,,442,188,,,,Benjamin,BARKER,,,GBR,,594,188,,,,Tom,GAMBLE,,,GBR,,9549,188,,,,,,,,,,,,,,,,,,,,,,
27,54,35,2:15.086,+10.918,+0.061,186.7,39,AF Corse,LMGTE Am,,,Ferrari 488 GTE Evo,M,49832,16,4,5910,3,119,,,,,Thomas,FLOHR,,,CHE,,454,219,,,,Francesco,CASTELLACCI,,,ITA,,456,119,,,,Giancarlo,FISICHELLA,,,ITA,,58,119,,,,,,,,,,,,,,,,,,,,,,
28,98,10,2:15.302,+11.134,+0.216,186.4,43,Aston Martin Racing,LMGTE Am,,,Aston Martin VANTAGE AMR,M,49843,19,4,5896,260,188,,,,,Paul,DALLA LANA,,,CAN,,216,40,,,,Augusto,FARFUS,,,BRA,,9022,32,,,,Marcos,GOMES,,,BRA,,9670,32,,,,,,,,,,,,,,,,,,,,,,
29,88,15,2:15.398,+11.230,+0.096,186.2,39,Dempsey - Proton Racing,LMGTE Am,,,Porsche 911 RSR - 19,M,49840,52,4,5965,4368,5,,,,,Andrew,HARYANTO,,,IDN,,10069,113,,,,Marco,SEEFRIED,,,DEU,,536,5,,,,Alessio,PICARIELLO,,,BEL,,9740,23,,,,,,,,,,,,,,,,,,,,,,
30,60,15,2:15.403,+11.235,+0.005,186.2,51,Iron Lynx,LMGTE Am,,,Ferrari 488 GTE Evo,M,49834,5979,4,5910,3,119,,,,,Claudio,SCHIAVONI,,,ITA,,8812,119,,,,Andrea,PICCINI,,,ITA,,612,119,,,,Matteo,CRESSONI,,,ITA,,338,119,,,,,,,,,,,,,,,,,,,,,,
31,47,27,2:15.458,+11.290,+0.055,186.1,42,Cetilar Racing,LMGTE Am,,,Ferrari 488 GTE Evo,M,49829,5972,4,5910,3,119,,,,,Roberto,LACORTE,,,ITA,,404,119,,,,Giorgio,SERNAGIOTTO,,,ITA,,402,119,,,,Antonio,FUOCO,,,ITA,,10091,119,,,,,,,,,,,,,,,,,,,,,,
32,83,36,2:15.951,+11.783,+0.493,185.5,38,AF Corse,LMGTE Am,,,Ferrari 488 GTE Evo,M,49837,16,4,5910,3,119,,,,,François,PERRODO,,,FRA,,260,70,,,,Nicklas,NIELSEN,,,DNK,,9432,57,,,,Alessio,ROVERA,,,ITA,,9837,119,,,,,,,,,,,,,,,,,,,,,,
33,85,9,2:16.559,+12.391,+0.608,184.6,25,Iron Lynx,LMGTE Am,,,Ferrari 488 GTE Evo,M,49838,5979,4,5910,3,119,,,,,Rahel,FREY,,,CHE,,1143,219,,,,Katherine,LEGGE,,,GBR,,9609,188,,,,Manuela,GOSTNER,,,ITA,,9334,119,,,,,,,,,,,,,,,,,,,,,,
34,777,7,2:17.191,+13.023,+0.632,183.8,21,D'Station Racing,LMGTE Am,,,Aston Martin VANTAGE AMR,M,49846,6071,4,5896,260,121,,,,,Satoshi,HOSHINO,,,JPN,,1310,121,,,,Tomonobu,FUJII,,,JPN,,1308,121,,,,Andrew,WATSON,,,GBR,,9573,188,,,,,,,,,,,,,,,,,,,,,,
35,46,0,,,,,0,Team Project 1,LMGTE Am,,,Porsche 911 RSR - 19,M,49828,5786,4,5965,4368,5,,,,,Dennis,OLSEN,,,NOR,,9186,166,,,,Anders,BUCHARDT,,,NOR,,10124,166,,,,Axcil,JEFFERIES,,,GBR,,9876,188,,,,,,,,,,,,,,,,,,,,,,
