POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,6,Classified,10,45:13.109,-,-,4,3:56.530,207.4,VSR,PRO,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Mattia,Michelotto,S,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,Classified,10,45:21.241,+8.132,+8.132,3,3:57.039,206.9,Target Racing,PRO,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Oliver,Söderström,S,,SWE,,,,,,,Largim,Ali,S,,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,83,Classified,10,45:25.336,+12.227,+4.095,3,3:57.998,206.1,Schumacher CLRT,PRO,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Simon,Gachet,G,,FRA,,,,,,,Simon,Tirman ,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,43,Classified,10,45:28.437,+15.328,+3.101,10,3:58.578,205.6,Iron Lynx,PRO,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Edgar,Maloigne,S,,FRA,,,,,,,Georgi,Dimitrov,S,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34,Classified,10,45:32.982,+19.873,+4.545,4,3:58.964,205.3,Oregon Team,PRO,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Paul,Levet,S,,FRA,,,,,,,Laszlo,Toth,S,,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,74,Classified,10,45:38.468,+25.359,+5.486,3,3:58.922,205.3,Pegasus Racing,PRO AM,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Anthony,Nahra,S,,FRA,,,,,,,Dimitri,Enjalbert,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,61,Classified,10,45:39.661,+26.552,+1.193,6,3:59.504,204.8,Oregon Team,PRO,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Leonardo,Caglioni,S,,ITA,,,,,,,Enzo,Geraci,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,Classified,10,45:45.312,+32.203,+5.651,4,3:58.484,205.7,VSR,PRO AM,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Andrea,Frassineti,S,,ITA,,,,,,,Ignazio,Zanon,S,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25,Classified,10,45:46.265,+33.156,+0.953,3,4:00.082,204.3,UNIQ Racing,PRO,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Jerzy,Spinkiewicz,S,,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22,Classified,10,45:47.542,+34.433,+1.277,5,4:00.656,203.8,Micanek Motorsport Powered by BUGGYRA,PRO,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Jachym,Galas,S,,CZE,,,,,,,Matej,Pavlicek,S,,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,30,Classified,10,45:48.314,+35.205,+0.772,10,4:00.396,204.1,CMR,PRO,,,Lamborghini Huracan Super Trofeo EVO2,,,,,,,,,,,,Loris,Cabirou,S,,FRA,,,,,,,Quentin,Antonel,S,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
