POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,60,8,1:46.674,-,-,165.7,8,Team Malucelli,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Matteo,MALUCELLI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27,7,1:50.203,+3.529,+3.529,160.4,8,GDL,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Pierluigi,VERONESI,,,ITA,,,,,,,Gian Piero,CRISTONI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,8,1:50.663,+3.989,+0.460,159.7,9,ZRS Motorsport,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Pierluigi,MOSCONE,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,9,1:51.216,+4.542,+0.553,158.9,9,ZRS Motorsport,Supersport GT,,991 Cup,Porsche 911 Cup 991 Gen2,,,,,,,,,,,,Riccardo,DE BELLIS,,,ITA,,,,,,,Francesco,GUIDI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21,5,1:52.046,+5.372,+0.830,157.7,8,DL Racing,Supersport GT,,ST,Lamborghini Super Trofeo EVO2,,,,,,,,,,,,Alessio Calogero,SALVAGGIO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,7,1:52.516,+5.842,+0.470,157.1,9,Team Malucelli,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Francesco,TURZO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,5,1:53.770,+7.096,+1.254,155.3,10,DL Racing,Supersport GT,,ST,Lamborghini Super Trofeo EVO2,,,,,,,,,,,,Niccolò,LOIA,,,ITA,,,,,,,Alessio,SCAUZILLO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,62,6,1:53.856,+7.182,+0.086,155.2,9,Promodrive,XGT4,,GT4,BMW M4 GT4,,,,,,,,,,,,Benjamin,SYLVESTERSSON,,,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,76,7,1:54.070,+7.396,+0.214,154.9,8,Autorlando Sport,XGT4,,GT4,Porsche Cayman GT4 718 RS Clubsport,,,,,,,,,,,,Tomas Machado,GUEDES,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,5,1:54.507,+7.833,+0.437,154.3,9,ZRS Motorsport,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Nicola,FRANZOSO,,,ITA,,,,,,,Walter,PUGLIESE,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7,9,1:54.621,+7.947,+0.114,154.2,9,C.Z. Bassano Racing Team,XGT4,,GT4,Mercedes AMG GT4,,,,,,,,,,,,Manuel,LASAGNI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,48,8,1:55.008,+8.334,+0.387,153.7,10,DL Racing,Supersport GT,,ST,Lamborghini Super Trofeo EVO2,,,,,,,,,,,,Cristian,BORTOLATO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,44,7,1:55.496,+8.822,+0.488,153.0,9,PS Performance,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Filippo,RADDINO,,,ITA,,,,,,,Alfredo,FRANCESCHI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,50,7,1:56.824,+10.150,+1.328,151.3,10,DL Racing,Supersport GT,,ST,Lamborghini Super Trofeo EVO2,,,,,,,,,,,,Marco,SANTANOCITA,,,ITA,,,,,,,Matteo,MARULLA,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19,7,1:57.762,+11.088,+0.938,150.1,8,Lema Racing,XGT4,,GT4,Mercedes AMG GT4,,,,,,,,,,,,Mark,KASTELIC,,,SLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,7,1:57.974,+11.300,+0.212,149.8,9,V-Action Racing Team,XGTM,,M2,BMW M2 Cup,,,,,,,,,,,,Andrea,FRIZZA,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,72,3,1:59.801,+13.127,+1.827,147.5,9,PRO.Motorsport,XGTM,,M2,BMW M2 Cup,,,,,,,,,,,,Sashko,ATANASOVSKI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,77,5,2:00.182,+13.508,+0.381,147.0,6,Lema Racing,XGT4,,GT4,Audi R8 LMS GT4,,,,,,,,,,,,Valentino,MINI,,,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,75,6,2:00.772,+14.098,+0.590,146.3,9,Centri Porsche Ticino,XGT4,,GT4,Porsche Cayman GT4 718 Clubsport MR,,,,,,,,,,,,Danilo,ARFINI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,5,2:01.137,+14.463,+0.365,145.9,8,Lema Racing,XGT4,,GT4,Mercedes AMG GT4,,,,,,,,,,,,Dawid,ZYDLEWSKI,,,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,4,2:06.655,+19.981,+5.518,139.5,7,V-Action Racing Team,XGTM,,M2,BMW M2 Cup,,,,,,,,,,,,Eugenio,MANNARINO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
