POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,11,11,1:49.334,-,-,161.6,12,ZRS Motorsport,Supersport GT,,991 Cup,Porsche 911 Cup 991 Gen2,,,,,,,,,,,,Riccardo,DE BELLIS,,,ITA,,,,,,,Francesco,GUIDI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,7,1:49.720,+0.386,+0.386,161.1,9,DL Racing,Supersport GT,,ST,Lamborghini Super Trofeo EVO2,,,,,,,,,,,,Alessio Calogero,SALVAGGIO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,7,1:49.991,+0.657,+0.271,160.7,11,ZRS Motorsport,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Pierluigi,MOSCONE,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,27,5,1:50.829,+1.495,+0.838,159.5,12,GDL,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Pierluigi,VERONESI,,,ITA,,,,,,,Gian Piero,CRISTONI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,9,1:51.109,+1.775,+0.280,159.1,12,Team Malucelli,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Francesco,TURZO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,11,1:51.786,+2.452,+0.677,158.1,11,DL Racing,Supersport GT,,ST,Lamborghini Super Trofeo EVO2,,,,,,,,,,,,Niccolò,LOIA,,,ITA,,,,,,,Alessio,SCAUZILLO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,44,11,1:51.944,+2.610,+0.158,157.9,12,PS Performance,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Filippo,RADDINO,,,ITA,,,,,,,Alfredo,FRANCESCHI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,7,1:53.149,+3.815,+1.205,156.2,12,ZRS Motorsport,Supersport GT,,992 Cup,Porsche 911 Cup 992,,,,,,,,,,,,Nicola,FRANZOSO,,,ITA,,,,,,,Walter,PUGLIESE,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,48,7,1:53.692,+4.358,+0.543,155.4,11,DL Racing,Supersport GT,,ST,Lamborghini Super Trofeo EVO2,,,,,,,,,,,,Cristian,BORTOLATO,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19,11,1:53.746,+4.412,+0.054,155.4,11,Lema Racing,XGT4,,GT4,Mercedes AMG GT4,,,,,,,,,,,,Mark,KASTELIC,,,SLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,50,9,1:53.860,+4.526,+0.114,155.2,10,DL Racing,Supersport GT,,ST,Lamborghini Super Trofeo EVO2,,,,,,,,,,,,Marco,SANTANOCITA,,,ITA,,,,,,,Matteo,MARULLA,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7,6,1:53.980,+4.646,+0.120,155.0,7,C.Z. Bassano Racing Team,XGT4,,GT4,Mercedes AMG GT4,,,,,,,,,,,,Manuel,LASAGNI,,,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,76,7,1:54.343,+5.009,+0.363,154.6,10,Autorlando Sport,XGT4,,GT4,Porsche Cayman GT4 718 RS Clubsport,,,,,,,,,,,,Tomas Machado,GUEDES,,,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20,4,1:56.523,+7.189,+2.180,151.7,11,Lema Racing,XGT4,,GT4,Mercedes AMG GT4,,,,,,,,,,,,Dawid,ZYDLEWSKI,,,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
