POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
12,47,Classified,14,34:34.268,+44.106,+0.574,2,2:26.029,172.7,EST1 Racing,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Alexander,Reimann,,,EST,REI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,Classified,14,34:34.566,+44.404,+0.298,7,2:26.234,172.4,Team GP Elite,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Domas,Raudonis,,,LTU,RAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,39,Classified,14,34:41.978,+51.816,+7.412,7,2:26.445,172.2,39 Racing,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Jani,Käkelä,,,FIN,KÄK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,77,Classified,14,34:47.283,+57.121,+5.305,3,2:27.135,171.4,Team RaceArt,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Jules,Grouwels,,,NLD,GRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,Classified,14,34:47.936,+57.774,+0.653,8,2:26.702,171.9,JW Raceservice,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Jurriaan,de Back,,,NLD,BAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,Classified,14,34:55.175,+1:05.013,+7.239,4,2:27.357,171.1,Team GP Elite,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Maik,Rosenberg,,,DEU,ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,Classified,14,34:59.601,+1:09.439,+4.426,7,2:28.446,169.9,PG Motorsport,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Ziad,Geris,,,NLD,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,36,Classified,14,35:00.287,+1:10.125,+0.686,2,2:27.028,171.5,Hans Weijs Motorsport,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Ralph,Poppelaars,,,NLD,POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,48,Classified,14,35:15.106,+1:24.944,+14.819,2,2:26.367,172.3,Porsche Estonia,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Thomas,Kangro,,,EST,KAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Not classified,12,29:56.903,,,7,2:28.348,170.0,Speedlover,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Maxime,Bertho,,,BEL,BER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
