POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,92,3,2:23.565,-,-,175.6,11,D'IETEREN LUXURY PERFORMANCE,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Benjamin,Paque,,,BEL,PAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,4,2:24.137,+0.572,+0.572,174.9,14,D'IETEREN LUXURY PERFORMANCE,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Kobe,Pauwels,,,BEL,PAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,32,6,2:24.285,+0.720,+0.148,174.8,13,NGT Racing,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Robin,Knutsson,,,SWE,KNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,7,2:24.316,+0.751,+0.031,174.7,13,Hans Weijs Motorsport,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Paul,Meijer,,,NLD,MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21,5,2:24.675,+1.110,+0.359,174.3,5,JW Raceservice,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Sacha,Norden,,,NLD,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,8,2:24.774,+1.209,+0.099,174.2,13,Q1 Trackracing,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Niels,Langeveld,,,NLD,LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,34,10,2:24.878,+1.313,+0.104,174.0,11,Q1 Trackracing,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Dirk,Schouten,,,NLD,SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,55,11,2:25.144,+1.579,+0.266,173.7,15,CarTech Motorsport,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Colin Jamie,Bönighausen,,,DEU,BOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,6,2:25.548,+1.983,+0.404,173.2,13,Team GP Elite,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Domas,Raudonis,,,LTU,RAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,65,9,2:25.832,+2.267,+0.284,172.9,13,Team RaceArt,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Sam,Jongejan,,,NLD,JON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,98,3,2:25.884,+2.319,+0.052,172.8,13,PG Motorsport,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Nick,Ho,,,NLD,HO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,7,2:25.917,+2.352,+0.033,172.8,13,JW Raceservice,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Jurriaan,de Back,,,NLD,BAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,17,6,2:26.273,+2.708,+0.356,172.4,9,RedAnt Racing,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Dréke,Janssen,,,NLD,JAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,77,3,2:26.575,+3.010,+0.302,172.0,14,Team RaceArt,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Jules,Grouwels,,,NLD,GRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,4,2:26.858,+3.293,+0.283,171.7,14,Team GP Elite,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Maik,Rosenberg,,,DEU,ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,7,2:26.926,+3.361,+0.068,171.6,8,PG Motorsport,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Ziad,Geris,,,NLD,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,47,5,2:27.006,+3.441,+0.080,171.5,13,EST1 Racing,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Alexander,Reimann,,,EST,REI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,39,10,2:27.968,+4.403,+0.962,170.4,14,39 Racing,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Jani,Käkelä,,,FIN,KÄK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,48,3,2:28.164,+4.599,+0.196,170.2,15,Porsche Estonia,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Thomas,Kangro,,,EST,KAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,36,9,2:28.388,+4.823,+0.224,169.9,14,Hans Weijs Motorsport,PRO-AM,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Ralph,Poppelaars,,,NLD,POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,121,0,,,,,0,Q1 Trackracing,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Valters,Zviedris,,,LVA,ZVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
