POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,34,Classified,12,34:01.925,-,-,8,2:23.626,175.6,Q1 Trackracing,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Dirk,Schouten,,,NLD,SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,Classified,12,34:03.442,+1.517,+1.517,3,2:24.759,174.2,Hans Weijs Motorsport,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Paul,Meijer,,,NLD,MEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,32,Classified,12,34:06.678,+4.753,+3.236,3,2:25.056,173.8,NGT Racing,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Robin,Knutsson,,,SWE,KNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21,Classified,12,34:06.943,+5.018,+0.265,4,2:24.831,174.1,JW Raceservice,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Sacha,Norden,,,NLD,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,Classified,12,34:07.711,+5.786,+0.768,9,2:24.969,173.9,Q1 Trackracing,PRO,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Niels,Langeveld,,,NLD,LAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,Classified,12,34:09.521,+7.596,+1.810,9,2:25.375,173.4,D'IETEREN LUXURY PERFORMANCE,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Kobe,Pauwels,,,BEL,PAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,55,Classified,12,34:10.767,+8.842,+1.246,9,2:25.594,173.2,CarTech Motorsport,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Colin Jamie,Bönighausen,,,DEU,BOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,Classified,12,34:12.944,+11.019,+2.177,4,2:25.587,173.2,JW Raceservice,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Jurriaan,de Back,,,NLD,BAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,47,Classified,12,34:14.105,+12.180,+1.161,9,2:25.803,172.9,EST1 Racing,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Alexander,Reimann,,,EST,REI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,Classified,12,34:14.913,+12.988,+0.808,11,2:25.819,172.9,Team GP Elite,ROOKIE,,,Porsche 911 GT3 Cup (992),,,,,,,,,,,,Domas,Raudonis,,,LTU,RAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
