POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,24,Classified,219,6:00:54.050,-,-,178,1:16.630,184.4,BMW M Team RLL,GTP,,,BMW M Hybrid V8,M,,,,,,,,,,,Philipp,Eng,Platinum,"Sankt Lorenz, Austria",AUT,,,,,,,Jesse,Krohn,Gold,"Helsinki, Finland",FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,Classified,219,6:00:55.697,+1.647,+1.647,180,1:16.872,183.8,BMW M Team RLL,GTP,,,BMW M Hybrid V8,M,,,,,,,,,,,Nick,Yelloly,Platinum,"Solihull, United Kingdom",GBR,,,,,,,Connor,De Phillippi,Gold,"Cornelius, NC",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Classified,219,6:00:56.997,+2.947,+1.300,181,1:16.662,184.3,Porsche Penske Motorsport,GTP,,,Porsche 963,M,,,,,,,,,,,Mathieu,Jaminet,Platinum,"Differdange, Luxembourg",LUX,,,,,,,Nick,Tandy,Platinum,"Bedford, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,85,Classified,219,6:01:13.226,+19.176,+16.229,179,1:16.701,184.2,JDC-Miller MotorSports,GTP,,,Porsche 963,M,,,,,,,,,,,Phil,Hanson,Gold,"London, United Kingdom",GBR,,,,,,,Richard,Westbrook,Platinum,"Bath, United Kingdom",GBR,,,,,,,Tijmen,van der Helm,Gold,"Den Hoorn, Netherlands",NLD,,,,,,,,,,,,,,,,,,,,,,,,,
5,40,Classified,219,6:01:36.484,+42.434,+23.258,132,1:16.923,183.7,Wayne Taylor Racing with Andretti,GTP,,,Acura ARX-06,M,,,,,,,,,,,Louis,Deletraz,Gold,"Geneva, Switzerland",CHE,,,,,,,Jordan,Taylor,Platinum,"Orlando, FL",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,Classified,219,6:01:46.575,+52.525,+10.091,132,1:16.464,184.8,Wayne Taylor Racing with Andretti,GTP,,,Acura ARX-06,M,,,,,,,,,,,Filipe,Albuquerque,Platinum,"Coimbra, Portugal",PRT,,,,,,,Ricky,Taylor,Platinum,"Lake Mary, FL",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,Classified,218,6:01:12.454,1 Lap,1 Lap,179,1:16.229,185.4,Proton Competition Mustang Sampling,GTP,,,Porsche 963,M,,,,,,,,,,,Alessio,Picariello,Gold,"Charleroi, Belgium",BEL,,,,,,,Bent,Viscaal,Gold,"Albergen, Netherlands.",NLD,,,,,,,Gianmaria,Bruni,Platinum,"Rome, Italy",ITA,,,,,,,,,,,,,,,,,,,,,,,,,
8,01,Classified,216,6:00:56.382,3 Laps,2 Laps,133,1:16.885,183.8,Cadillac Racing,GTP,,,Cadillac V-Series.R,M,,,,,,,,,,,Sebastien,Bourdais,Platinum,"Le Mans, France",FRA,,,,,,,Renger,van der Zande,Platinum,"Amsterdam, Netherlands",NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,Classified,215,6:01:05.940,4 Laps,1 Lap,131,1:17.498,182.3,TDS Racing,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Hunter,McElrea,Silver,"Gold Coast, Australia",AUS,,,,,,,Mikkel,Jensen,Platinum,"Aarhus, Denmark",DNK,,,,,,,Steven,Thomas,Bronze,"Carl Junction, MO",USA,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,Classified,215,6:01:31.989,4 Laps,+26.049,116,1:18.243,180.6,Inter Europol by PR1 Mathiasen Motorsports,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Jakub,Smiechowski,Silver,"Warsaw, Poland",POL,,,,,,,Tom,Dillmann,Gold,"Mulhouse, France",FRA,,,,,,,Nick,Boulle,Bronze,"Dallas, TX",USA,,,,,,,,,,,,,,,,,,,,,,,,,
11,18,Classified,215,6:01:54.356,4 Laps,+22.367,181,1:18.259,180.6,Era Motorsport,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Connor,Zilisch,Silver,"Mooresville, NC",USA,,,,,,,Ryan,Dalziel,Gold,"Glasgow, Scotland",GBR,,,,,,,Dwight,Merriman,Bronze,"Middletown, OH",USA,,,,,,,,,,,,,,,,,,,,,,,,,
12,99,Classified,215,6:02:07.343,4 Laps,+12.987,132,1:18.276,180.5,AO Racing,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Matt,Brabham,Silver,"Indianapolis, IN",USA,,,,,,,Paul-Loup,Chatin,Gold,"Chartres, France",FRA,,,,,,,PJ,Hyett,Bronze,"West Chicago, IL",USA,,,,,,,,,,,,,,,,,,,,,,,,,
13,74,Classified,214,6:01:36.548,5 Laps,1 Lap,129,1:17.797,181.6,Riley,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Josh,Burdon,Silver,"Hobart, Australia",AUS,,,,,,,Felipe,Fraga,Gold,"Palmas, Brazil",BRA,,,,,,,Gar,Robinson,Bronze,"Austin, TX",USA,,,,,,,,,,,,,,,,,,,,,,,,,
