POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,40,28,2:07.647,-,-,183.7,29,Cadillac Wayne Taylor Racing,GTP,,,Cadillac V-Series.R,M,,,,,,,,,,,Jordan,Taylor,Platinum,"Orlando, FL",USA,,,,,,,Louis,Deletraz,Gold,"Geneva, Switzerland",CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24,20,2:07.812,+0.165,+0.165,183.5,21,BMW M Team WRT,GTP,,,BMW M Hybrid V8,M,,,,,,,,,,,Dries,Vanthoor,Platinum,"Zolder, Belgium",BEL,,,,,,,Sheldon,van der Linde,Platinum,"Johannesburg, South Africa",ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,93,15,2:07.863,+0.216,+0.051,183.4,15,Acura Meyer Shank Racing w/Curb Agajanian,GTP,,,Acura ARX-06,M,,,,,,,,,,,Renger,van der Zande,Platinum,"Amsterdam, Netherlands",NLD,,,,,,,Nicholas,Yelloly,Platinum,"Solihull, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,60,10,2:07.875,+0.228,+0.012,183.4,12,Acura Meyer Shank Racing w/Curb Agajanian,GTP,,,Acura ARX-06,M,,,,,,,,,,,Thomas,Blomqvist,Platinum,"Cambridge, UK",GBR,,,,,,,Colin,Braun,Gold,"Ovalo, TX",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,24,2:08.079,+0.432,+0.204,183.1,25,Porsche Penske Motorsport,GTP,,,Porsche 963,M,,,,,,,,,,,Felipe,Nasr,Platinum,Brasilia,BRA,,,,,,,Julien,Andlauer,Gold,"Lyon, France",FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,23,13,2:08.206,+0.559,+0.127,182.9,17,ASTON MARTIN THOR Team,GTP,,,Aston Martin Valkyrie,M,,,,,,,,,,,Ross,Gunn,Platinum,"Great Missenden, United Kingdom",GBR,,,,,,,Roman,de Angelis,Gold,"Windsor , ON",CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,27,2:08.516,+0.869,+0.310,182.5,27,Porsche Penske Motorsport,GTP,,,Porsche 963,M,,,,,,,,,,,Laurens,Vanthoor,Platinum,"Heusden-Zolder, Belgium",BEL,,,,,,,Kevin,Estre,Platinum,"Lyon, France",FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25,10,2:09.815,+2.168,+1.299,180.7,10,BMW M Team WRT,GTP,,,BMW M Hybrid V8,M,,,,,,,,,,,Philipp,Eng,Platinum,"Sankt Lorenz, Austria",AUT,,,,,,,Marco,Wittmann,Platinum,"Fuerth, Germany",DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,25,2:11.846,+4.199,+2.031,177.9,36,TDS Racing,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Tobi,Lutke,Bronze,"Toronto, Canada",CAN,,,,,,,Mathias,Beche,Gold,"Veigy, France",CHE,,,,,,,David,Heinemeier Hansson,Silver,"Malibu, CA",DNK,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,21,2:12.121,+4.474,+0.275,177.5,31,Bryan Herta Autosport with PR1/Mathiasen,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Misha,Goikhberg,Bronze,"Woodbridge, ON",CAN,,,,,,,Parker,Thompson,Silver,"Red Deer, AB",CAN,,,,,,,Harry,Tincknell,Platinum,"London, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,
11,99,21,2:12.857,+5.210,+0.736,176.5,32,AO Racing,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,PJ,Hyett,Bronze,"St Charles, IL",USA,,,,,,,Dane,Cameron,Platinum,"Glen Ellen, CA",USA,,,,,,,Jonny,Edgar,Silver,"Asby, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,19,2:13.116,+5.469,+0.259,176.2,22,Era Motorsport,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Naveen,Rao,Bronze,"San Diego, CA",USA,,,,,,,Ferdinand,Habsburg,Gold,"Vienna, Austria",AUT,,,,,,,Jacob,Abel,Silver,"Louisville, KY",USA,,,,,,,,,,,,,,,,,,,,,,,,,
13,8,6,2:13.914,+6.267,+0.798,175.1,17,Tower Motorsports,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,John,Farano,Bronze,"Toronto, ON",CAN,,,,,,,Sebastian,Alvarez,Silver,"Mexico City, Mexico",MEX,,,,,,,Tristan,Vautier,Gold,"Grenoble, France",FRA,,,,,,,,,,,,,,,,,,,,,,,,,
14,04,15,2:14.805,+7.158,+0.891,174.0,34,Crowdstrike Racing by APR,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,George,Kurtz,Bronze,"Scottsdale, AZ",USA,,,,,,,Alexander,Quinn,Gold,"Cornwall, UK",GBR,,,,,,,Toby,Sowery,Silver,"Cambridge, United Kingdom",USA,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,7,2:15.735,+8.088,+0.930,172.8,8,United Autosports USA,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Philip,Fayer,Bronze,"Montreal, QC",CAN,,,,,,,Hunter,McElrea,Silver,"Gold Coast, Australia",NZL,,,,,,,Mikkel,Jensen,Platinum,"Aarhus, Denmark",DNK,,,,,,,,,,,,,,,,,,,,,,,,,
16,79,5,2:17.519,+9.872,+1.784,170.5,5,JDC-Miller MotorSports,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Gerry,Kraut,Bronze,"North Oaks, MN",USA,,,,,,,Joshua,Burdon,Silver,"Hobart, Australia",AUS,,,,,,,Sennan,Fielding,Silver,Chesterfield,GBR,,,,,,,,,,,,,,,,,,,,,,,,,
17,81,25,2:21.468,+13.821,+3.949,165.8,27,DragonSpeed,GTD,,,Chevrolet Corvette Z06 GT3.R,M,,,,,,,,,,,Giacomo,Altoe,Gold,"Adria, Italy",ITA,,,,,,,Casper,Stevenson,Silver,London,GBR,,,,,,,Alec,Udell,Silver,"Austin, TX",USA,,,,,,,,,,,,,,,,,,,,,,,,,
18,65,25,2:21.494,+13.847,+0.026,165.7,27,Ford Racing,GTDPRO,,,Ford Mustang GT3,M,,,,,,,,,,,Christopher,Mies,Platinum,"Erkrath, Germany",DEU,,,,,,,Frederic,Vervisch,Gold,"Middelkerke, Belgium",BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,73,5,2:21.512,+13.865,+0.018,165.7,7,Pratt Miller Motorsports,LMP2,,,ORECA LMP2 07,M,,,,,,,,,,,Pietro,Fittipaldi,Platinum,"Miami, FL",BRA,,,,,,,Manuel,Espirito Santo,Silver,Cascais,PRT,,,,,,,Christopher,Cumming,Bronze,"Vancouver, Canada",CAN,,,,,,,,,,,,,,,,,,,,,,,,,
20,64,24,2:21.532,+13.885,+0.020,165.7,24,Ford Racing,GTDPRO,,,Ford Mustang GT3,M,,,,,,,,,,,Benjamin,Barker,Gold,"Cambridge, United Kingdom",GBR,,,,,,,Dennis,Olsen,Platinum,"Valer, Norway",NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,911,18,2:21.558,+13.911,+0.026,165.7,31,Manthey,GTDPRO,,,Porsche 911 GT3 R (992),M,,,,,,,,,,,Klaus,Bachler,Platinum,"Unzmarkt, Austria",AUT,,,,,,,Thomas,Preining,Platinum,"Linz, Austria",AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,59,22,2:21.617,+13.970,+0.059,165.6,24,RLL Team McLaren,GTDPRO,,,McLaren 720S GT3 EVO,M,,,,,,,,,,,Maximilian,Esterson,Silver,"New York City, NY",USA,,,,,,,Nikita,Johnson,Silver,St. Pete  FL,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,912,33,2:21.729,+14.082,+0.112,165.5,34,Manthey 1St Phorm,GTD,B,,Porsche 911 GT3 R (992),M,,,,,,,,,,,Ryan,Hardwick,Bronze,"Atlanta, GA",USA,,,,,,,Riccardo,Pera,Silver,Lucca,ITA,,,,,,,Morris,Schuring,Gold,Den Dolder,NLD,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,24,2:21.777,+14.130,+0.048,165.4,28,Paul Miller Racing,GTDPRO,,,BMW M4 GT3 EVO,M,,,,,,,,,,,Neil,Verhagen,Gold,"Mooresville, NC",USA,,,,,,,Connor,de Phillippi,Gold,"Cornelius, NC",USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9,26,2:21.783,+14.136,+0.006,165.4,26,Pfaff Motorsports,GTDPRO,,,Lamborghini Temerario GT3,M,,,,,,,,,,,Andrea,Caldarelli,Platinum,"Pescara, Italy",ITA,,,,,,,Sandy,Mitchell,Platinum,"Forfar, Scotland",GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,19,2:21.796,+14.149,+0.013,165.4,29,Corvette Racing by Pratt Miller Motorsports,GTDPRO,,,Chevrolet Corvette Z06 GT3.R,M,,,,,,,,,,,Antonio,Garcia,Platinum,"Madrid, Spain",ESP,,,,,,,Alexander,Sims,Platinum,"Kidderminster, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,62,27,2:21.903,+14.256,+0.107,165.3,27,Risi Competizione,GTDPRO,,,Ferrari 296 GT3 EVO,M,,,,,,,,,,,Daniel,Serra,Platinum,"Sao Paulo, Brazil",BRA,,,,,,,Davide,Rigon,Platinum,"Cervia, Italy",ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,77,17,2:22.017,+14.370,+0.114,165.1,27,AO Racing,GTDPRO,,,Porsche 911 GT3 R (992),M,,,,,,,,,,,Nicholas,Tandy,Platinum,"Bedford, United Kingdom",GBR,,,,,,,Harry,King,Gold,Windsor,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21,27,2:22.098,+14.451,+0.081,165.0,29,Af Corse Usa,GTD,,,Ferrari 296 GT3 EVO,M,,,,,,,,,,,Simon,Mann,Silver,"Lausanne, Switzerland",USA,,,,,,,Lilou,Wadoux Ducellier,Silver,"Amiens, France",FRA,,,,,,,Antonio,Fuoco,Platinum,Monaco,ITA,,,,,,,,,,,,,,,,,,,,,,,,,
30,57,25,2:22.104,+14.457,+0.006,165.0,25,WINWARD RACING,GTD,,,Mercedes-AMG GT3,M,,,,,,,,,,,Russell,Ward,Silver,"Seabrook, TX",USA,,,,,,,Philip,Ellis,Gold,"Munich, Germany",GBR,,,,,,,Indy,Dontje,Silver,"Bergen, Netherlands",NLD,,,,,,,,,,,,,,,,,,,,,,,,,
31,4,25,2:22.235,+14.588,+0.131,164.9,29,Corvette Racing by Pratt Miller Motorsports,GTDPRO,,,Chevrolet Corvette Z06 GT3.R,M,,,,,,,,,,,Tommy,Milner,Platinum,"Middleburg, VA",USA,,,,,,,Nicky,Catsburg,Platinum,"Amersfoort, Netherlands",NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,033,11,2:22.467,+14.820,+0.232,164.6,30,Triarsi Competizione,GTDPRO,,,Ferrari 296 GT3 EVO,M,,,,,,,,,,,James,Calado,Platinum,"Cardiff, United Kingdom",GBR,,,,,,,Riccardo,Agostini,Gold,"Padova, Italy",ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,36,29,2:22.665,+15.018,+0.198,164.4,29,DXDT Racing,GTD,,,Chevrolet Corvette Z06 GT3.R,M,,,,,,,,,,,Mason,Filippi,Silver,"Nashville, TN",USA,,,,,,,Robert,Wickens,Silver,"Guelph, ON",CAN,,,,,,,Charles,Eastwood,Gold,Belfast,IRL,,,,,,,,,,,,,,,,,,,,,,,,,
34,14,9,2:22.799,+15.152,+0.134,164.2,10,Vasser Sullivan Racing,GTDPRO,,,Lexus RC F GT3,M,,,,,,,,,,,Jack,Hawksworth,Gold,"Bradford, United Kingdom",GBR,,,,,,,Benjamin,Barnicoat,Platinum,"Chesterfield, United Kingdom",GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,34,17,2:22.895,+15.248,+0.096,164.1,23,Conquest Racing,GTD,,,Ferrari 296 GT3 EVO,M,,,,,,,,,,,Albert,Costa,Platinum,Andorra,ESP,,,,,,,Lorenzo,Patrese,Silver,"Padua, Italy",ITA,,,,,,,Fran,Rueda,Silver,Malaga,ESP,,,,,,,,,,,,,,,,,,,,,,,,,
36,70,20,2:23.038,+15.391,+0.143,164.0,25,Inception Racing,GTD,B,,Ferrari 296 GT3 EVO,M,,,,,,,,,,,Brendan,Iribe,Bronze,"Los Angeles, CA",USA,,,,,,,Frederik,Schandorff,Gold,"Aarhus, Denmark",DNK,,,,,,,Ollie,Millroy,Silver,"Dubai, UAE",GBR,,,,,,,,,,,,,,,,,,,,,,,,,
