NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,PITREF_time,PITREF_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
51,1,4,3:33.585,0,B,32.435,0,1:19.061,0,1:42.089,0,229.7,15:02.755,21:21:02.755,0:32.435,1:19.061,1:42.089,334.9,Alessandro PIER GUIDI,,HYPERCAR,H,Ferrari AF Corse,Ferrari,GF,32.435,79.061,102.089,8.080,8.080,9.802,17.882,14.553,32.435,32.532,1:04.967,4.723,1:09.690,25.224,1:34.914,16.582,1:51.496,6.599,1:58.095,36.295,2:34.390,16.859,2:51.249,15.813,3:07.062,7.891,3:14.953,2.467,3:17.420,,,,3:33.585,
51,1,5,4:37.598,0,,1:33.075,0,1:24.033,0,1:40.490,0,176.7,19:40.353,21:25:40.353,1:33.075,1:24.033,1:40.490,322.0,Alessandro PIER GUIDI,0:01:01.832,HYPERCAR,H,Ferrari AF Corse,Ferrari,GF,93.075,84.033,100.490,59.606,59.606,14.277,1:13.883,19.192,1:33.075,35.277,2:08.352,4.896,2:13.248,26.660,2:39.908,17.200,2:57.108,6.927,3:04.035,36.926,3:40.961,16.890,3:57.851,16.285,4:14.136,8.592,4:22.728,4.164,4:26.892,7.220,4:34.112,3.486,4:37.598,
51,1,6,3:24.143,2,,31.933,2,1:18.758,0,1:33.452,2,240.3,23:04.496,21:29:04.496,0:31.933,1:18.758,1:33.452,334.9,Alessandro PIER GUIDI,,HYPERCAR,H,Ferrari AF Corse,Ferrari,FF,31.933,78.758,93.452,8.051,8.051,9.605,17.656,14.277,31.933,32.467,1:04.400,4.703,1:09.103,25.032,1:34.135,16.556,1:50.691,6.479,1:57.170,35.815,2:32.985,16.635,2:49.620,14.820,3:04.440,7.638,3:12.078,2.494,3:14.572,6.030,3:20.602,3.541,3:24.143,
8,2,1,4:01.351,0,,55.332,0,1:26.221,0,1:39.798,0,201.1,4:01.351,21:10:01.351,0:55.332,1:26.221,1:39.798,242.6,Brendon HARTLEY,0:00:13.220,HYPERCAR,H,Toyota Gazoo Racing,Toyota,GF,55.332,86.221,99.798,20.565,20.565,15.383,35.948,19.384,55.332,36.557,1:31.889,4.956,1:36.845,27.304,2:04.149,17.404,2:21.553,7.212,2:28.765,37.911,3:06.676,17.801,3:24.477,16.294,3:40.771,8.001,3:48.772,2.610,3:51.382,6.589,3:57.971,3.380,4:01.351,
8,2,2,3:25.209,0,,32.013,0,1:19.127,0,1:34.069,0,239.0,7:26.560,21:13:26.560,0:32.013,1:19.127,1:34.069,333.9,Brendon HARTLEY,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,GF,32.013,79.127,94.069,8.026,8.026,9.692,17.718,14.295,32.013,32.635,1:04.648,4.759,1:09.407,25.132,1:34.539,16.601,1:51.140,6.449,1:57.589,36.083,2:33.672,16.650,2:50.322,15.135,3:05.457,7.877,3:13.334,,,,3:21.801,3.408,3:25.209,
8,2,3,3:45.378,0,B,34.063,0,1:26.684,0,1:44.631,0,217.7,11:11.938,21:17:11.938,0:34.063,1:26.684,1:44.631,196.0,Brendon HARTLEY,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,GF,34.063,86.684,104.631,8.086,8.086,10.452,18.538,15.525,34.063,39.509,1:13.572,4.742,1:18.314,25.645,1:43.959,16.788,2:00.747,6.622,2:07.369,37.163,2:44.532,16.894,3:01.426,16.187,3:17.613,8.024,3:25.637,2.841,3:28.478,,,,3:45.378,
8,2,4,5:06.268,0,,1:58.777,0,1:24.410,0,1:43.081,0,160.2,16:18.206,21:22:18.206,1:58.777,1:24.410,1:43.081,327.8,Brendon HARTLEY,0:01:29.108,HYPERCAR,H,Toyota Gazoo Racing,Toyota,GF,118.777,84.410,103.081,1:26.418,1:26.418,14.237,1:40.655,18.122,1:58.777,35.070,2:33.847,4.935,2:38.782,27.018,3:05.800,17.387,3:23.187,8.736,3:31.923,39.566,4:11.489,18.194,4:29.683,15.927,4:45.610,7.862,4:53.472,2.691,4:56.163,6.739,5:02.902,3.366,5:06.268,
8,2,5,3:23.546,2,,31.868,2,1:18.395,2,1:33.283,2,241.0,19:41.752,21:25:41.752,0:31.868,1:18.395,1:33.283,331.8,Brendon HARTLEY,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,GF,31.868,78.395,93.283,7.991,7.991,9.638,17.629,14.239,31.868,32.108,1:03.976,4.688,1:08.664,25.031,1:33.695,16.568,1:50.263,6.424,1:56.687,35.744,2:32.431,16.511,2:48.942,14.994,3:03.936,7.772,3:11.708,2.418,3:14.126,6.007,3:20.133,3.413,3:23.546,
8,2,6,4:10.350,0,B,33.674,0,1:26.619,0,2:10.057,0,195.9,23:52.102,21:29:52.102,0:33.674,1:26.619,2:10.057,229.7,Brendon HARTLEY,,HYPERCAR,H,Toyota Gazoo Racing,Toyota,FF,33.674,86.619,130.057,8.035,8.035,10.418,18.453,15.221,33.674,39.357,1:13.031,4.692,1:17.723,25.611,1:43.334,16.959,2:00.293,6.504,2:06.797,49.473,2:56.270,21.749,3:18.019,20.610,3:38.629,10.199,3:48.828,3.580,3:52.408,,,,4:10.350,
83,2,1,4:16.496,0,,1:03.673,0,1:29.845,0,1:42.978,0,189.2,4:16.496,21:10:16.496,1:03.673,1:29.845,1:42.978,255.1,Yifei YE,0:00:19.763,HYPERCAR,H,AF Corse,Ferrari,GF,63.673,89.845,102.978,26.087,26.087,15.436,41.523,22.150,1:03.673,39.392,1:43.065,5.351,1:48.416,27.433,2:15.849,17.669,2:33.518,7.703,2:41.221,38.077,3:19.298,17.236,3:36.534,16.445,3:52.979,8.305,4:01.284,3.548,4:04.832,8.217,4:13.049,3.447,4:16.496,
83,2,2,3:25.639,0,,32.592,0,1:19.064,0,1:33.983,0,238.5,7:42.135,21:13:42.135,0:32.592,1:19.064,1:33.983,334.9,Yifei YE,,HYPERCAR,H,AF Corse,Ferrari,GF,32.592,79.064,93.983,8.063,8.063,10.070,18.133,14.459,32.592,32.569,1:05.161,4.734,1:09.895,25.176,1:35.071,16.585,1:51.656,6.535,1:58.191,35.979,2:34.170,16.655,2:50.825,14.997,3:05.822,7.753,3:13.575,2.526,3:16.101,6.121,3:22.222,3.417,3:25.639,
83,2,3,3:31.970,0,B,32.259,0,1:18.601,0,1:41.110,0,231.4,11:14.105,21:17:14.105,0:32.259,1:18.601,1:41.110,338.1,Yifei YE,,HYPERCAR,H,AF Corse,Ferrari,GF,32.259,78.601,101.110,8.044,8.044,9.912,17.956,14.303,32.259,32.330,1:04.589,4.702,1:09.291,25.042,1:34.333,16.527,1:50.860,6.535,1:57.395,35.892,2:33.287,16.684,2:49.971,15.088,3:05.059,7.683,3:12.742,2.791,3:15.533,,,,3:31.970,
83,2,4,4:24.280,0,,1:18.388,0,1:24.329,0,1:41.563,0,185.6,15:38.385,21:21:38.385,1:18.388,1:24.329,1:41.563,314.5,Yifei YE,0:00:49.603,HYPERCAR,H,AF Corse,Ferrari,GF,78.388,84.329,101.563,46.613,46.613,13.860,1:00.473,17.915,1:18.388,36.001,1:54.389,4.857,1:59.246,26.329,2:25.575,17.142,2:42.717,7.071,2:49.788,37.561,3:27.349,17.547,3:44.896,17.857,4:02.753,7.913,4:10.666,2.711,4:13.377,7.415,4:20.792,3.488,4:24.280,
83,2,5,3:28.712,0,,32.642,0,1:19.047,0,1:37.023,0,235.0,19:07.097,21:25:07.097,0:32.642,1:19.047,1:37.023,331.8,Yifei YE,,HYPERCAR,H,AF Corse,Ferrari,GF,32.642,79.047,97.023,8.077,8.077,9.934,18.011,14.631,32.642,32.633,1:05.275,4.692,1:09.967,25.177,1:35.144,16.545,1:51.689,6.598,1:58.287,36.082,2:34.369,16.724,2:51.093,17.337,3:08.430,7.901,3:16.331,2.736,3:19.067,6.235,3:25.302,3.410,3:28.712,
83,2,6,3:24.327,2,,32.162,2,1:18.399,2,1:33.766,2,240.1,22:31.424,21:28:31.424,0:32.162,1:18.399,1:33.766,334.9,Yifei YE,,HYPERCAR,H,AF Corse,Ferrari,FF,32.162,78.399,93.766,8.013,8.013,9.931,17.944,14.218,32.162,32.217,1:04.379,4.679,1:09.058,24.947,1:34.005,16.556,1:50.561,6.574,1:57.135,35.881,2:33.016,16.673,2:49.689,14.889,3:04.578,7.701,3:12.279,2.603,3:14.882,6.005,3:20.887,3.440,3:24.327,
