POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,8,2,3:26.246,-,-,237.8,32,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 - Hybrid,M,97847,380,4167,6206,2,121,,,TOYOTA GAZOO,,Sébastien,BUEMI,P,,SUI,,138,219,,0:45:00,None,Brendon,HARTLEY,P,,NZL,,152,168,,0:45:00,None,Ryo,HIRAKAWA,P,,JPN,,8166,121,,0:45:00,None,Mike,CONWAY,P,,GBR,,215,188,,,,José Maria,LOPEZ,P,,ARG,,8418,13,,,,,,,,,,
2,51,2,3:26.777,+0.531,+0.531,237.2,30,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,97862,6293,4167,6192,3,119,,,FERRARI AF,,Alessandro,PIER GUIDI,P,,ITA,,340,119,,0:45:00,None,James,CALADO,P,,GBR,,300,188,,0:45:00,None,Antonio,GIOVINAZZI,P,,ITA,,1976,119,,0:45:00,None,,,,,,,,,,,,,,,,,,,
3,83,18,3:26.902,+0.656,+0.125,237.1,36,AF Corse,HYPERCAR,H,,Ferrari 499P,M,97870,16,4167,6192,3,119,,HWC,AF CORSE,HWC,Robert,KUBICA,P,,POL,,8438,181,,0:45:00,None,Yifei,YE,G,,CHN,,10068,43,,0:45:00,None,Philip,HANSON,G,,GBR,,1946,188,,0:45:00,None,,,,,,,,,,,,,,,,,,,
4,36,29,3:27.313,+1.067,+0.411,236.6,33,Alpine Endurance Team,HYPERCAR,H,,Alpine A424,M,97858,6360,4167,6237,21,70,,,ALPINE,,Mick,SCHUMACHER,P,,GER,,11362,5,,0:45:00,None,Frédéric,MAKOWIECKI,P,,FRA,,61,70,,0:45:00,None,Jules,GOUNON,P,,FRA,,9500,70,,0:45:00,None,,,,,,,,,,,,,,,,,,,
5,6,25,3:27.356,+1.110,+0.043,236.6,32,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,97845,6283,4167,6176,4368,5,,,PORSCHE PENSKE,,Kévin,ESTRE,P,,FRA,,1292,70,,0:45:00,None,Laurens,VANTHOOR,P,,BEL,,1124,23,,0:45:00,None,Matt,CAMPBELL,P,,AUS,,8944,16,,0:45:00,None,Nico,MÜLLER,P,,SUI,,11039,219,,,,,,,,,,,,,,,,
6,4,23,3:27.489,+1.243,+0.133,236.4,32,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,97879,6283,4167,6176,4368,5,,,PORSCHE PENSKE,,Felipe,NASR,P,,BRA,,9287,32,,,,Nick,TANDY,P,,GBR,,1206,188,,,,Pascal,WEHRLEIN,P,,GER,,12072,5,,,,Nico,MÜLLER,P,,SUI,,11039,219,,,,,,,,,,,,,,,,
7,50,21,3:27.516,+1.270,+0.027,236.4,30,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,97861,6293,4167,6192,3,119,,,FERRARI AF,,Antonio,FUOCO,P,,ITA,,10091,119,,0:45:00,None,Nicklas,NIELSEN,P,,DEN,,9432,57,,0:45:00,None,Miguel,MOLINA,P,,ESP,,8526,64,,0:45:00,None,,,,,,,,,,,,,,,,,,,
8,20,9,3:27.554,+1.308,+0.038,236.3,19,BMW M Team WRT,HYPERCAR,H,,BMW M Hybrid V8,M,97852,6359,4167,6276,4447,5,,,BMW M TEAM WRT,,René,RAST,P,,GER,,307,5,,0:45:00,None,Robin,FRIJNS,P,,NED,,9871,178,,0:45:00,None,Sheldon,VAN DER LINDE,P,,RSA,,11274,2,,,,Philipp,ENG,P,,AUT,,8194,17,,,,,,,,,,,,,,,,
9,12,3,3:27.620,+1.374,+0.066,236.3,31,Cadillac Hertz Team JOTA,HYPERCAR,H,,Cadillac V-Series.R,M,97850,6429,4167,6203,4097,66,,,CADILLAC HTJ,,Will,STEVENS,P,,GBR,,11044,188,,0:45:00,None,Norman,NATO,G,,FRA,,9032,70,,0:45:00,None,Alex,LYNN,P,,GBR,,11043,188,,0:45:00,None,Earl,BAMBER,P,,NZL,,1290,168,,,,Sébastien,BOURDAIS,P,,FRA,,98,70,,,,,,,,,,
10,35,23,3:27.754,+1.508,+0.134,236.1,33,Alpine Endurance Team,HYPERCAR,H,,Alpine A424,M,97857,6360,4167,6237,21,70,,,ALPINE,,Paul-Loup,CHATIN,G,,FRA,,313,70,,0:45:00,None,Ferdinand,HABSBURG,G,,AUT,,10000,17,,0:45:00,None,Charles,MILESI,G,,FRA,,9594,70,,0:45:00,None,,,,,,,,,,,,,,,,,,,
11,5,10,3:27.783,+1.537,+0.029,236.1,28,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,97844,6283,4167,6176,4368,5,,,PORSCHE PENSKE,,Julien,ANDLAUER,G,,FRA,,9192,70,,0:45:00,None,Michael,CHRISTENSEN,P,,DEN,,532,57,,0:45:00,None,Mathieu,JAMINET,P,,FRA,,9415,70,,0:45:00,None,Nico,MÜLLER,P,,SUI,,11039,219,,,,,,,,,,,,,,,,
12,15,3,3:27.959,+1.713,+0.176,235.9,35,BMW M Team WRT,HYPERCAR,H,,BMW M Hybrid V8,M,97851,6359,4167,6276,4447,5,,,BMW M TEAM WRT,,Dries,VANTHOOR,P,,BEL,,8292,23,,,,Raffaele,MARCIELLO,P,,SUI,,10402,219,,0:45:00,None,Kevin,MAGNUSSEN,P,,DEN,,10211,57,,0:45:00,None,Philipp,ENG,P,,AUT,,8194,17,,,,,,,,,,,,,,,,
13,311,8,3:28.097,+1.851,+0.138,235.7,33,Cadillac Whelen,HYPERCAR,H,,Cadillac V-Series.R,M,97902,6445,4167,6203,4097,66,,,CADILLAC WHELEN,,Jack,AITKEN,P,,GBR,,10508,188,,,,Felipe,DRUGOVICH,P,,BRA,,11470,32,,,,Frederik,VESTI,P,,DEN,,11447,57,,,,Earl,BAMBER,P,,NZL,,1290,168,,,,,,,,,,,,,,,,
14,7,31,3:28.385,+2.139,+0.288,235.4,32,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 - Hybrid,M,97846,380,4167,6206,2,121,,,TOYOTA GAZOO,,Mike,CONWAY,P,,GBR,,215,188,,0:45:00,None,Kamui,KOBAYASHI,P,,JPN,,210,121,,0:45:00,None,Nyck,DE VRIES,P,,NED,,9152,178,,0:45:00,None,Sébastien,BUEMI,P,,SUI,,138,219,,,,José Maria,LOPEZ,P,,ARG,,8418,13,,,,,,,,,,
15,99,11,3:28.675,+2.429,+0.290,235.1,32,Proton Competition,HYPERCAR,H,,Porsche 963,M,97878,45,4167,6176,4368,5,,HWC,PROTON,HWC,Neel,JANI,P,,SUI,,16,219,,0:45:00,None,Nicolas,PINO,S,,CHI,,10281,42,,0:45:00,None,Nicolas,VARRONE,G,,ARG,,9853,13,,0:45:00,None,,,,,,,,,,,,,,,,,,,
16,101,25,3:28.909,+2.663,+0.234,234.8,32,Cadillac WTR,HYPERCAR,H,,Cadillac V-Series.R,M,97901,6444,4167,6203,4097,66,,,CADILLAC WTR,,Ricky,TAYLOR,P,,USA,,253,66,,,,Jordan,TAYLOR,P,,USA,,181,66,,,,Filipe,ALBUQUERQUE,P,,POR,,306,184,,,,,,,,,,,,,,,,,,,,,,
