POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
33,16,RLR M Sport,Michael JENSEN,Ryan CULLEN,Patrick PILET,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,224,15:00'27.679,16 Laps,2 Laps,138,3'38.003,225.0,,
34,23,United Autosports,Daniel SCHNEIDER,Oliver JARVIS,Benjamin HANLEY,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,224,15:01'50.700,16 Laps,1'23.021,224,3'37.737,225.3,,
35,37,CLX - Pure Rxcing,Aliaksandr MALYKHIN,Tom BLOMQVIST,Tristan VAUTIER,,Oreca 07 - Gibson,G,LMP2,,,Classified,220,15:03'40.751,20 Laps,4 Laps,3,3'38.424,224.6,,
36,92,Manthey 1ST Phorm,Ryan HARDWICK,Riccardo PERA,Richard LIETZ,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,212,15:01'15.570,28 Laps,8 Laps,63,3'56.179,207.7,,
37,21,Vista AF Corse,François HERIAU,Simon MANN,Alessio ROVERA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,212,15:01'37.748,28 Laps,22.178,205,3'56.324,207.6,,
38,81,TF Sport,Tom VAN ROMPUY,Rui ANDRADE,Charlie EASTWOOD,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,212,15:02'25.526,28 Laps,47.778,182,3'56.888,207.1,,
39,78,Akkodis ASP Team,Arnold ROBIN,Jack HAWKSWORTH,Finn GEHRSITZ,,Lexus RC F LMGT3,G,LMGT3,,,Classified,211,15:00'27.653,29 Laps,1 Laps,2,3'56.606,207.3,,
40,87,Akkodis ASP Team,Petru UMBRARESCU,Jose Maria LOPEZ,Clemens SCHMID,,Lexus RC F LMGT3,G,LMGT3,,,Classified,211,15:00'31.718,29 Laps,4.065,157,3'56.169,207.7,,
41,90,Manthey,Antares AU,Loek HARTOG,Klaus BACHLER,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,211,15:00'48.305,29 Laps,16.587,65,3'57.321,206.7,,
42,27,Heart of Racing Team,Ian JAMES,Mattia DRUDI,Zacharie ROBICHON,,Aston Martin Vantage AMR LMGT3,G,LMGT3,,,Classified,211,15:00'58.704,29 Laps,10.399,198,3'56.627,207.3,,
43,59,United Autosports,James COTTINGHAM,Grégoire SAUCY,Sébastien BAUD,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,211,15:02'28.324,29 Laps,1'29.620,171,3'57.452,206.6,,
44,150,Richard Mille AF Corse,Custodio TOLEDO,Lilou WADOUX,Riccardo AGOSTINI,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,211,15:03'23.452,29 Laps,55.128,4,3'57.148,206.8,,
45,77,Proton Competition,Bernardo SOUSA,Ben TUCK,Benjamin BARKER,,Ford Mustang LMGT3,G,LMGT3,,,Classified,210,15:00'36.250,30 Laps,1 Laps,5,3'57.015,207.0,,
46,13,AWA Racing,Orey FIDANI,Lars KERN,Matthew BELL,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,210,15:01'09.835,30 Laps,33.585,139,3'58.164,206.0,,
47,33,TF Sport,Ben KEATING,Jonny EDGAR,Daniel JUNCADELLA,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,210,15:01'38.063,30 Laps,28.228,188,3'56.993,207.0,,
48,57,Kessel Racing,Takeshi KIMURA,Daniel SERRA,Casper STEVENSON,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,210,15:02'00.700,30 Laps,22.637,5,3'56.878,207.1,,
