NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,PITREF_time,PITREF_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
16,3,1,4:16.326,0,,57.861,0,1:30.557,0,1:47.908,0,189.3,4:16.326,20:04:16.326,0:57.861,1:30.557,1:47.908,298.0,Patrick PILET,0:00:20.290,LMP2,P/A,RLR M Sport,Oreca,GF,57.861,90.557,107.908,25.992,25.992,13.665,39.657,18.204,57.861,38.471,1:36.332,5.271,1:41.603,28.221,2:09.824,18.594,2:28.418,7.121,2:35.539,39.386,3:14.925,18.426,3:33.351,18.554,3:51.905,8.757,4:00.662,3.740,4:04.402,8.284,4:12.686,3.640,4:16.326,
16,3,2,3:38.365,0,,34.329,0,1:24.904,0,1:39.132,0,224.6,7:54.691,20:07:54.691,0:34.329,1:24.904,1:39.132,310.0,Patrick PILET,,LMP2,P/A,RLR M Sport,Oreca,GF,34.329,84.904,99.132,8.884,8.884,10.209,19.093,15.236,34.329,34.508,1:08.837,5.183,1:14.020,26.999,1:41.019,18.214,1:59.233,6.669,2:05.902,38.431,2:44.333,18.246,3:02.579,15.293,3:17.872,8.139,3:26.011,2.609,3:28.620,6.095,3:34.715,3.650,3:38.365,
16,3,3,6:41.490,0,B,34.668,0,3:59.009,0,2:07.813,0,122.2,14:36.181,20:14:36.181,0:34.668,3:59.009,2:07.813,80.0,Patrick PILET,,LMP2,P/A,RLR M Sport,Oreca,RF,34.668,239.009,127.813,8.874,8.874,10.342,19.216,15.452,34.668,1:25.928,2:00.596,13.787,2:14.383,1:20.273,3:34.656,59.021,4:33.677,8.691,4:42.368,45.653,5:28.021,21.992,5:50.013,21.808,6:11.821,9.231,6:21.052,3.386,6:24.438,,,,6:41.490,
16,3,4,5:42.301,0,,2:27.193,0,1:29.663,0,1:45.445,0,143.3,20:18.482,20:20:18.482,2:27.193,1:29.663,1:45.445,307.3,Patrick PILET,0:01:58.744,LMP2,P/A,RLR M Sport,Oreca,GF,147.193,89.663,105.445,1:56.260,1:56.260,13.506,2:09.766,17.427,2:27.193,37.095,3:04.288,5.254,3:09.542,28.486,3:38.028,18.828,3:56.856,7.223,4:04.079,39.789,4:43.868,18.446,5:02.314,16.183,5:18.497,9.747,5:28.244,3.623,5:31.867,6.848,5:38.715,3.586,5:42.301,
16,3,5,3:37.931,0,,34.346,0,1:24.648,0,1:38.937,0,225.1,23:56.413,20:23:56.413,0:34.346,1:24.648,1:38.937,310.9,Patrick PILET,,LMP2,P/A,RLR M Sport,Oreca,GF,34.346,84.648,98.937,8.832,8.832,10.260,19.092,15.254,34.346,34.260,1:08.606,5.191,1:13.797,26.988,1:40.785,18.209,1:58.994,6.720,2:05.714,38.459,2:44.173,18.161,3:02.334,15.161,3:17.495,8.084,3:25.579,2.559,3:28.138,6.156,3:34.294,3.637,3:37.931,
16,3,6,3:36.468,2,,33.834,2,1:23.899,2,1:38.735,2,226.6,27:32.881,20:27:32.881,0:33.834,1:23.899,1:38.735,311.8,Patrick PILET,,LMP2,P/A,RLR M Sport,Oreca,FF,33.834,83.899,98.735,8.848,8.848,10.035,18.883,14.951,33.834,33.979,1:07.813,5.149,1:12.962,26.737,1:39.699,18.034,1:57.733,6.630,2:04.363,38.184,2:42.547,18.142,3:00.689,15.359,3:16.048,8.097,3:24.145,2.594,3:26.739,6.011,3:32.750,3.718,3:36.468,
183,3,1,4:03.341,0,,47.847,0,1:31.730,0,1:43.764,0,199.5,4:03.341,20:04:03.341,0:47.847,1:31.730,1:43.764,270.4,Antonio FELIX DA COSTA,0:00:09.276,LMP2,P/A,AF Corse,Oreca,GF,47.847,91.730,103.764,15.418,15.418,14.283,29.701,18.146,47.847,38.512,1:26.359,5.341,1:31.700,29.095,2:00.795,18.782,2:19.577,7.092,2:26.669,39.561,3:06.230,18.413,3:24.643,16.333,3:40.976,8.672,3:49.648,3.223,3:52.871,6.808,3:59.679,3.662,4:03.341,
183,3,2,3:38.433,0,,34.578,0,1:24.406,0,1:39.449,0,224.6,7:41.774,20:07:41.774,0:34.578,1:24.406,1:39.449,312.7,Antonio FELIX DA COSTA,,LMP2,P/A,AF Corse,Oreca,GF,34.578,84.406,99.449,8.859,8.859,10.344,19.203,15.375,34.578,34.310,1:08.888,5.165,1:14.053,26.831,1:40.884,18.100,1:58.984,6.779,2:05.763,38.477,2:44.240,18.172,3:02.412,15.409,3:17.821,8.187,3:26.008,2.613,3:28.621,6.058,3:34.679,3.754,3:38.433,
183,3,3,6:37.601,0,B,34.280,0,3:24.561,0,2:38.760,0,123.4,14:19.375,20:14:19.375,0:34.280,3:24.561,2:38.760,79.4,Antonio FELIX DA COSTA,,LMP2,P/A,AF Corse,Oreca,RF,34.280,204.561,158.760,8.881,8.881,10.255,19.136,15.144,34.280,50.940,1:25.220,13.824,1:39.044,1:20.616,2:59.660,59.181,3:58.841,10.578,4:09.419,1:15.907,5:25.326,19.101,5:44.427,19.876,6:04.303,11.396,6:15.699,5.132,6:20.831,,,,6:37.601,
183,3,4,5:51.197,0,,2:38.773,0,1:29.711,0,1:42.713,0,139.7,20:10.572,20:20:10.572,2:38.773,1:29.711,1:42.713,294.0,Antonio FELIX DA COSTA,0:02:09.897,LMP2,P/A,AF Corse,Oreca,GF,158.773,89.711,102.713,2:07.125,2:07.125,13.800,2:20.925,17.848,2:38.773,36.941,3:15.714,5.277,3:20.991,28.276,3:49.267,19.217,4:08.484,7.179,4:15.663,39.512,4:55.175,18.286,5:13.461,16.177,5:29.638,8.331,5:37.969,3.001,5:40.970,6.597,5:47.567,3.630,5:51.197,
