POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,74,Classified,10,45:27.867,-,-,10,4:01.774,202.9,ABM,992,,,Porsche 992 Cup,,,,,,,,,,,,Victor,BLUGEON,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45,Classified,10,45:34.204,+6.337,+6.337,3,4:02.658,202.2,2B Autosport,992,,,Porsche 992 Cup,,,,,,,,,,,,Karl,VANDEWOESTINE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,97,Classified,10,45:35.149,+7.282,+0.945,4,4:02.788,202.0,Martinet by ALmeras,992,,,Porsche 992 Cup,,,,,,,,,,,,Enzo,JOULIE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,Classified,10,45:36.321,+8.454,+1.172,4,4:02.391,202.4,Racing Technology,992,,,Porsche 992 Cup,,,,,,,,,,,,Sylvain,NOEL,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,64,Classified,10,45:36.670,+8.803,+0.349,3,4:02.515,202.3,Blackthorn,R,,,Porsche 991 GT3 R,,,,,,,,,,,,Charlie,BATEMAN,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31,Classified,10,45:40.633,+12.766,+3.963,6,4:03.964,201.1,LM31 by Racetivity,992,,,Porsche 992 Cup,,,,,,,,,,,,Louis,MERIC,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,24,Classified,10,45:41.511,+13.644,+0.878,4,4:02.906,201.9,Huber Racing,992,,,Porsche 992 Cup,,,,,,,,,,,,Riley,GIACOMAZZI,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,93,Classified,10,46:02.581,+34.714,+21.070,5,4:05.638,199.7,Martinet by ALmeras,992,,,Porsche 992 Cup,,,,,,,,,,,,Rodney,JANE,,,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,Classified,10,46:04.351,+36.484,+1.770,6,4:04.527,200.6,ABM,992,,,Porsche992 Cup,,,,,,,,,,,,Jean Philippe,GAMBARO,,,FRA,,,,,,,Yann,DIDRY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21,Classified,10,46:17.062,+49.195,+12.711,6,4:05.330,199.9,GP Elite,992,,,Porsche 992 Cup,,,,,,,,,,,,Samer,SHAHIN,,,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,48,Classified,10,46:17.168,+49.301,+0.106,10,4:04.975,200.2,HRT Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,Steve,GAMBRELL,,,GBR,,,,,,,Kim André,HAUSCHILD,,,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,46,Classified,10,46:18.220,+50.353,+1.052,9,4:04.862,200.3,2B Autosport,992,,,Porsche 992 Cup,,,,,,,,,,,,César,VANDEWOESTINE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,47,Classified,10,46:19.759,+51.892,+1.539,9,4:05.741,199.6,HRT Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,David,TAN,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,32,Classified,10,46:21.621,+53.754,+1.862,9,4:06.840,198.7,NGT Racing BV,992,,,Porsche 992 Cup,,,,,,,,,,,,Graham,KING,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20,Classified,10,46:22.894,+55.027,+1.273,9,4:06.666,198.9,GP Elite,992,,,Porsche 992 Cup,,,,,,,,,,,,Ziad,GERIS,,,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,52,Classified,10,46:26.608,+58.741,+3.714,6,4:05.897,199.5,Porsche Track Experience operated by Manthey,992,,,Porsche 992 Cup,,,,,,,,,,,,Joel,MONEGRO,,,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,49,Classified,10,46:26.614,+58.747,+0.006,9,4:06.322,199.1,Speed Lover,992,,,Porsche 992 Cup,,,,,,,,,,,,John,de WILDE,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,22,Classified,10,46:26.696,+58.829,+0.082,9,4:06.793,198.8,ABM,992,,,Porsche 992 Cup,,,,,,,,,,,,Gilles,COLOMBANI,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,288,Classified,10,46:26.935,+59.068,+0.239,6,4:05.043,200.2,Laptime Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,Kayden,KELLY,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,Classified,10,46:28.424,+1:00.557,+1.489,5,4:07.367,198.3,Mougins Autosport Racing,992,,,Porsche 992 Cup,,,,,,,,,,,,Anthony,VINCE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,56,Classified,10,46:31.654,+1:03.787,+3.230,9,4:06.884,198.7,Ancel Motorsport,992,,,Porsche 992 Cup,,,,,,,,,,,,Hervé,TREMBLAYE,,,FRA,,,,,,,Frédéric,ANCEL,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8,Classified,10,46:35.143,+1:07.276,+3.489,5,4:06.049,199.4,Driv'n Motorsport Events,992,,,Porsche 992 Cup,,,,,,,,,,,,Guillaume,RAYNAUD,,,FRA,,,,,,,Xavier,DAYRAUT,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,39,Classified,10,46:37.179,+1:09.312,+2.036,9,4:08.140,197.7,HRT Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,Axel,SARTINGEN,,,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15,Classified,10,46:39.654,+1:11.787,+2.475,6,4:04.872,200.3,GDL Racing,992,,,Porsche 992 Cup,,,,,,,,,,,,Bashar,MARDINI,,,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
