NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,PITREF_time,PITREF_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
007,1,1,5:04.028,0,,1:35.082,0,1:31.427,0,1:57.519,0,159.6,5:04.028,19:35:04.028,1:35.082,1:31.427,1:57.519,231.6,Harry TINCKNELL,0:00:50.877,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,95.082,91.427,117.519,58.271,58.271,16.148,1:14.419,20.663,1:35.082,39.034,2:14.116,5.062,2:19.178,28.986,2:48.164,18.345,3:06.509,7.691,3:14.200,39.299,3:53.499,17.948,4:11.447,18.893,4:30.340,10.860,4:41.200,5.931,4:47.131,13.354,5:00.485,3.543,5:04.028,
007,1,2,3:27.043,0,,32.747,0,1:19.345,0,1:34.951,0,236.9,8:31.071,19:38:31.071,0:32.747,1:19.345,1:34.951,332.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.747,79.345,94.951,8.099,8.099,10.058,18.157,14.590,32.747,32.701,1:05.448,4.736,1:10.184,25.251,1:35.435,16.657,1:52.092,6.522,1:58.614,36.218,2:34.832,16.660,2:51.492,15.424,3:06.916,7.818,3:14.734,2.583,3:17.317,6.207,3:23.524,3.519,3:27.043,
007,1,3,3:46.233,0,,33.719,0,1:26.206,0,1:46.308,0,216.8,12:17.304,19:42:17.304,0:33.719,1:26.206,1:46.308,282.5,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.719,86.206,106.308,8.198,8.198,10.498,18.696,15.023,33.719,36.483,1:10.202,4.743,1:14.945,27.408,1:42.353,17.572,1:59.925,6.971,2:06.896,40.741,2:47.637,17.647,3:05.284,17.892,3:23.176,9.047,3:32.223,3.815,3:36.038,6.773,3:42.811,3.422,3:46.233,
007,1,4,3:26.639,0,,32.483,0,1:19.311,0,1:34.845,0,237.4,15:43.943,19:45:43.943,0:32.483,1:19.311,1:34.845,334.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.483,79.311,94.845,8.039,8.039,9.732,17.771,14.712,32.483,32.767,1:05.250,4.780,1:10.030,25.193,1:35.223,16.571,1:51.794,6.670,1:58.464,36.117,2:34.581,16.682,2:51.263,15.405,3:06.668,7.774,3:14.442,2.543,3:16.985,6.145,3:23.130,3.509,3:26.639,
007,1,5,3:35.593,0,B,33.788,0,1:19.695,0,1:42.110,0,227.5,19:19.536,19:49:19.536,0:33.788,1:19.695,1:42.110,332.9,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.788,79.695,102.110,8.158,8.158,10.533,18.691,15.097,33.788,32.734,1:06.522,4.731,1:11.253,25.417,1:36.670,16.813,1:53.483,6.638,2:00.121,36.436,2:36.557,16.895,2:53.452,15.746,3:09.198,7.775,3:16.973,2.674,3:19.647,,,,3:35.593,
007,1,6,4:40.754,0,,1:31.914,0,1:25.574,0,1:43.266,0,174.7,24:00.290,19:54:00.290,1:31.914,1:25.574,1:43.266,305.6,Harry TINCKNELL,0:00:59.453,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,91.914,85.574,103.266,58.133,58.133,14.765,1:12.898,19.016,1:31.914,36.430,2:08.344,4.951,2:13.295,26.902,2:40.197,17.291,2:57.488,6.966,3:04.454,41.666,3:46.120,17.495,4:03.615,16.551,4:20.166,7.913,4:28.079,2.709,4:30.788,6.586,4:37.374,3.380,4:40.754,
007,1,7,3:26.349,2,,32.169,2,1:19.442,0,1:34.738,2,237.7,27:26.639,19:57:26.639,0:32.169,1:19.442,1:34.738,329.8,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.169,79.442,94.738,8.022,8.022,9.729,17.751,14.418,32.169,32.563,1:04.732,4.744,1:09.476,25.299,1:34.775,16.836,1:51.611,6.557,1:58.168,35.898,2:34.066,16.638,2:50.704,15.453,3:06.157,7.685,3:13.842,2.465,3:16.307,6.356,3:22.663,3.686,3:26.349,
007,1,8,3:26.547,0,,32.400,0,1:19.218,2,1:34.929,0,237.5,30:53.186,20:00:53.186,0:32.400,1:19.218,1:34.929,330.8,Harry TINCKNELL,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FF,32.400,79.218,94.929,8.132,8.132,9.776,17.908,14.492,32.400,32.529,1:04.929,4.742,1:09.671,25.280,1:34.951,16.667,1:51.618,6.645,1:58.263,36.152,2:34.415,16.644,2:51.059,15.547,3:06.606,7.712,3:14.318,2.533,3:16.851,6.146,3:22.997,3.550,3:26.547,
009,2,1,5:07.765,0,,1:37.133,0,1:31.123,0,1:59.509,0,157.7,5:07.765,19:35:07.765,1:37.133,1:31.123,1:59.509,220.3,Marco SORENSEN,0:00:52.913,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,97.133,91.123,119.509,1:00.146,1:00.146,16.382,1:16.528,20.605,1:37.133,39.215,2:16.348,5.209,2:21.557,28.805,2:50.362,17.894,3:08.256,8.072,3:16.328,39.453,3:55.781,19.019,4:14.800,17.413,4:32.213,10.778,4:42.991,7.689,4:50.680,13.627,5:04.307,3.458,5:07.765,
009,2,2,3:25.308,0,,32.308,0,1:18.803,0,1:34.197,0,238.9,8:33.073,19:38:33.073,0:32.308,1:18.803,1:34.197,333.9,Marco SORENSEN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.308,78.803,94.197,8.024,8.024,9.965,17.989,14.319,32.308,32.417,1:04.725,4.671,1:09.396,25.117,1:34.513,16.598,1:51.111,6.548,1:57.659,35.839,2:33.498,16.624,2:50.122,15.207,3:05.329,7.683,3:13.012,2.498,3:15.510,6.353,3:21.863,3.445,3:25.308,
