NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,PITREF_time,PITREF_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
10,2,1,7:16.533,0,,48.009,0,2:08.484,0,4:20.040,0,111.2,7:16.533,09:41:10.148,0:48.009,2:08.484,4:20.040,265.8,Romano RICCI,,992,,Schumacher IMSA,,GF,48.009,128.484,260.040,13.689,13.689,13.787,27.476,20.533,48.009,40.818,1:28.827,7.398,1:36.225,45.973,2:22.198,34.295,2:56.493,8.574,3:05.067,1:41.713,4:46.780,1:00.453,5:47.233,49.825,6:37.058,22.881,6:59.939,4.342,7:04.281,8.145,7:12.426,4.107,7:16.533,
10,2,2,4:16.442,0,,42.173,0,1:36.443,0,1:57.826,0,191.3,11:32.975,09:45:26.590,0:42.173,1:36.443,1:57.826,289.3,Romano RICCI,,992,,Schumacher IMSA,,GF,42.173,96.443,117.826,9.850,9.850,13.136,22.986,19.187,42.173,39.900,1:22.073,5.864,1:27.937,30.741,1:58.678,19.938,2:18.616,7.663,2:26.279,43.401,3:09.680,20.114,3:29.794,21.375,3:51.169,9.733,4:00.902,3.463,4:04.365,7.956,4:12.321,4.121,4:16.442,
10,2,3,4:12.177,0,,40.709,0,1:34.894,0,1:56.574,0,194.5,15:45.152,09:49:38.767,0:40.709,1:34.894,1:56.574,297.2,Romano RICCI,,992,,Schumacher IMSA,,GF,40.709,94.894,116.574,9.726,9.726,12.529,22.255,18.454,40.709,39.104,1:19.813,5.721,1:25.534,30.208,1:55.742,19.861,2:15.603,8.170,2:23.773,42.991,3:06.764,20.079,3:26.843,20.977,3:47.820,9.588,3:57.408,3.278,4:00.686,7.491,4:08.177,4.000,4:12.177,
10,2,4,4:10.716,0,,39.867,0,1:34.170,0,1:56.679,0,195.7,19:55.868,09:53:49.483,0:39.867,1:34.170,1:56.679,294.0,Romano RICCI,,992,,Schumacher IMSA,,GF,39.867,94.170,116.679,9.675,9.675,12.053,21.728,18.139,39.867,38.935,1:18.802,5.592,1:24.394,29.904,1:54.298,19.739,2:14.037,7.683,2:21.720,43.123,3:04.843,20.088,3:24.931,21.422,3:46.353,9.596,3:55.949,3.368,3:59.317,7.412,4:06.729,3.987,4:10.716,
10,2,5,4:09.647,0,,39.824,0,1:33.621,0,1:56.202,0,196.5,24:05.515,09:57:59.130,0:39.824,1:33.621,1:56.202,298.0,Romano RICCI,,992,,Schumacher IMSA,,GF,39.824,93.621,116.202,9.658,9.658,12.049,21.707,18.117,39.824,38.627,1:18.451,5.608,1:24.059,29.766,1:53.825,19.620,2:13.445,7.380,2:20.825,42.764,3:03.589,20.049,3:23.638,20.672,3:44.310,9.599,3:53.909,3.475,3:57.384,8.131,4:05.515,4.132,4:09.647,
10,2,6,4:10.582,2,,40.452,0,1:33.920,2,1:56.210,0,195.8,28:16.097,10:02:09.712,0:40.452,1:33.920,1:56.210,291.6,Romano RICCI,,992,,Schumacher IMSA,,GF,40.452,93.920,116.210,9.783,9.783,12.280,22.063,18.389,40.452,38.678,1:19.130,5.582,1:24.712,29.816,1:54.528,19.844,2:14.372,7.346,2:21.718,43.337,3:05.055,19.875,3:24.930,21.312,3:46.242,9.568,3:55.810,3.264,3:59.074,7.521,4:06.595,3.987,4:10.582,
10,2,7,5:16.045,0,,42.479,0,2:38.446,0,1:55.120,0,155.2,33:32.142,10:07:25.757,0:42.479,2:38.446,1:55.120,80.8,Romano RICCI,,992,,Schumacher IMSA,,GF,42.479,158.446,115.120,9.706,9.706,11.945,21.651,20.828,42.479,1:42.608,2:25.087,6.026,2:31.113,30.086,3:01.199,19.726,3:20.925,7.392,3:28.317,42.351,4:10.668,19.931,4:30.599,20.862,4:51.461,9.715,5:01.176,3.369,5:04.545,7.412,5:11.957,4.088,5:16.045,
10,2,8,4:54.165,0,,39.794,0,2:14.433,0,1:59.938,0,166.8,38:26.307,10:12:19.922,0:39.794,2:14.433,1:59.938,294.8,Romano RICCI,,992,,Schumacher IMSA,,GF,39.794,134.433,119.938,9.745,9.745,12.086,21.831,17.963,39.794,39.182,1:18.976,5.647,1:24.623,31.316,1:55.939,58.288,2:54.227,10.482,3:04.709,44.701,3:49.410,19.979,4:09.389,20.710,4:30.099,9.492,4:39.591,3.061,4:42.652,7.451,4:50.103,4.062,4:54.165,
10,2,9,4:07.684,0,,39.773,0,1:33.986,0,1:53.925,0,198.0,42:33.991,10:16:27.606,0:39.773,1:33.986,1:53.925,294.0,Romano RICCI,,992,,Schumacher IMSA,,GF,39.773,93.986,113.925,9.738,9.738,11.993,21.731,18.042,39.773,38.715,1:18.488,5.650,1:24.138,29.812,1:53.950,19.809,2:13.759,7.394,2:21.153,42.485,3:03.638,19.828,3:23.466,20.309,3:43.775,9.474,3:53.249,3.120,3:56.369,7.331,4:03.700,3.984,4:07.684,
10,2,10,4:06.652,0,,39.471,2,1:33.486,0,1:53.695,2,198.9,46:40.643,10:20:34.258,0:39.471,1:33.486,1:53.695,294.0,Romano RICCI,,992,,Schumacher IMSA,,FF,39.471,93.486,113.695,9.637,9.637,11.904,21.541,17.930,39.471,38.444,1:17.915,5.583,1:23.498,29.783,1:53.281,19.676,2:12.957,7.329,2:20.286,42.428,3:02.714,19.875,3:22.589,20.286,3:42.875,9.442,3:52.317,3.087,3:55.404,7.211,4:02.615,4.037,4:06.652,
