POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,83,12,3:27.010,-,-,237.0,34,AF Corse,HYPERCAR,H,,Ferrari 499P,M,97870,16,4167,6192,3,119,,HWC,AF CORSE,HWC,Robert,KUBICA,P,,POL,,8438,181,,0:45:00,None,Yifei,YE,G,,CHN,,10068,43,,0:45:00,None,Philip,HANSON,G,,GBR,,1946,188,,0:45:00,None,,,,,,,,,,,,,,,,,,,
2,8,39,3:28.000,+0.990,+0.990,235.8,39,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 - Hybrid,M,97847,380,4167,6206,2,121,,,TOYOTA GAZOO,,Sébastien,BUEMI,P,,SUI,,138,219,,0:45:00,None,Brendon,HARTLEY,P,,NZL,,152,168,,0:45:00,None,Ryo,HIRAKAWA,P,,JPN,,8166,121,,0:45:00,None,Mike,CONWAY,P,,GBR,,215,188,,,,José Maria,LOPEZ,P,,ARG,,8418,13,,,,,,,,,,
3,38,25,3:28.491,+1.481,+0.491,235.3,35,Cadillac Hertz Team JOTA,HYPERCAR,H,,Cadillac V-Series.R,M,97859,6429,4167,6203,4097,66,,,CADILLAC HTJ,,Earl,BAMBER,P,,NZL,,1290,168,,0:45:00,None,Sébastien,BOURDAIS,P,,FRA,,98,70,,0:45:00,None,Jenson,BUTTON,P,,GBR,,9180,188,,0:45:00,None,Will,STEVENS,P,,GBR,,11044,188,,,,Alex,LYNN,P,,GBR,,11043,188,,,,,,,,,,
4,51,36,3:28.843,+1.833,+0.352,234.9,36,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,97862,6293,4167,6192,3,119,,,FERRARI AF,,Alessandro,PIER GUIDI,P,,ITA,,340,119,,0:45:00,None,James,CALADO,P,,GBR,,300,188,,0:45:00,None,Antonio,GIOVINAZZI,P,,ITA,,1976,119,,0:45:00,None,,,,,,,,,,,,,,,,,,,
5,311,16,3:28.923,+1.913,+0.080,234.8,38,Cadillac Whelen,HYPERCAR,H,,Cadillac V-Series.R,M,97902,6445,4167,6203,4097,66,,,CADILLAC WHELEN,,Jack,AITKEN,P,,GBR,,10508,188,,,,Felipe,DRUGOVICH,P,,BRA,,11470,32,,,,Frederik,VESTI,P,,DEN,,11447,57,,,,Earl,BAMBER,P,,NZL,,1290,168,,,,,,,,,,,,,,,,
6,6,3,3:29.002,+1.992,+0.079,234.7,35,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,97845,6283,4167,6176,4368,5,,,PORSCHE PENSKE,,Kévin,ESTRE,P,,FRA,,1292,70,,0:45:00,None,Laurens,VANTHOOR,P,,BEL,,1124,23,,0:45:00,None,Matt,CAMPBELL,P,,AUS,,8944,16,,0:45:00,None,Nico,MÜLLER,P,,SUI,,11039,219,,,,,,,,,,,,,,,,
7,20,29,3:29.015,+2.005,+0.013,234.7,39,BMW M Team WRT,HYPERCAR,H,,BMW M Hybrid V8,M,97852,6359,4167,6276,4447,5,,,BMW M TEAM WRT,,René,RAST,P,,GER,,307,5,,0:45:00,None,Robin,FRIJNS,P,,NED,,9871,178,,0:45:00,None,Sheldon,VAN DER LINDE,P,,RSA,,11274,2,,,,Philipp,ENG,P,,AUT,,8194,17,,,,,,,,,,,,,,,,
8,50,38,3:29.193,+2.183,+0.178,234.5,38,Ferrari AF Corse,HYPERCAR,H,,Ferrari 499P,M,97861,6293,4167,6192,3,119,,,FERRARI AF,,Antonio,FUOCO,P,,ITA,,10091,119,,0:45:00,None,Nicklas,NIELSEN,P,,DEN,,9432,57,,0:45:00,None,Miguel,MOLINA,P,,ESP,,8526,64,,0:45:00,None,,,,,,,,,,,,,,,,,,,
9,7,8,3:29.277,+2.267,+0.084,234.4,38,Toyota Gazoo Racing,HYPERCAR,H,,Toyota GR010 - Hybrid,M,97846,380,4167,6206,2,121,,,TOYOTA GAZOO,,Mike,CONWAY,P,,GBR,,215,188,,0:45:00,None,Kamui,KOBAYASHI,P,,JPN,,210,121,,0:45:00,None,Nyck,DE VRIES,P,,NED,,9152,178,,0:45:00,None,Sébastien,BUEMI,P,,SUI,,138,219,,,,José Maria,LOPEZ,P,,ARG,,8418,13,,,,,,,,,,
10,5,26,3:29.347,+2.337,+0.070,234.3,35,Porsche Penske Motorsport,HYPERCAR,H,,Porsche 963,M,97844,6283,4167,6176,4368,5,,,PORSCHE PENSKE,,Julien,ANDLAUER,G,,FRA,,9192,70,,0:45:00,None,Michael,CHRISTENSEN,P,,DEN,,532,57,,0:45:00,None,Mathieu,JAMINET,P,,FRA,,9415,70,,0:45:00,None,Nico,MÜLLER,P,,SUI,,11039,219,,,,,,,,,,,,,,,,
