NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,PITREF_time,PITREF_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
10,1,1,8:02.340,0,,3:58.836,0,1:46.954,0,2:16.550,0,100.6,8:02.340,09:08:02.340,3:58.836,1:46.954,2:16.550,200.0,Alexandr ARTEMYEV,0:03:11.624,992,,Schumacher IMSA,,GF,238.836,106.954,136.550,3:17.248,3:17.248,18.540,3:35.788,23.048,3:58.836,46.407,4:45.243,5.844,4:51.087,32.554,5:23.641,22.149,5:45.790,8.974,5:54.764,46.937,6:41.701,21.965,7:03.666,27.181,7:30.847,12.351,7:43.198,4.713,7:47.911,9.903,7:57.814,4.526,8:02.340,
10,1,2,4:43.111,0,,48.105,0,1:47.022,0,2:07.984,2,173.3,12:45.451,09:12:45.451,0:48.105,1:47.022,2:07.984,188.8,Alexandr ARTEMYEV,,992,,Schumacher IMSA,,GF,48.105,107.022,127.984,10.263,10.263,14.444,24.707,23.398,48.105,45.954,1:34.059,5.926,1:39.985,33.215,2:13.200,21.927,2:35.127,9.170,2:44.297,45.499,3:29.796,20.998,3:50.794,24.575,4:15.369,10.329,4:25.698,3.886,4:29.584,9.015,4:38.599,4.512,4:43.111,
10,1,3,4:36.328,2,,46.073,0,1:41.541,2,2:08.714,0,177.5,17:21.779,09:17:21.779,0:46.073,1:41.541,2:08.714,281.0,Alexandr ARTEMYEV,,992,,Schumacher IMSA,,GF,46.073,101.541,128.714,10.059,10.059,14.374,24.433,21.640,46.073,42.377,1:28.450,5.782,1:34.232,31.984,2:06.216,21.398,2:27.614,8.675,2:36.289,45.499,3:21.788,20.965,3:42.753,25.555,4:08.308,10.471,4:18.779,3.779,4:22.558,9.195,4:31.753,4.575,4:36.328,
10,1,4,4:36.650,0,,45.051,2,1:42.704,0,2:08.895,0,177.3,21:58.429,09:21:58.429,0:45.051,1:42.704,2:08.895,278.8,Alexandr ARTEMYEV,,992,,Schumacher IMSA,,FF,45.051,102.704,128.895,10.087,10.087,14.434,24.521,20.530,45.051,42.585,1:27.636,5.843,1:33.479,33.024,2:06.503,21.252,2:27.755,8.676,2:36.431,46.589,3:23.020,20.939,3:43.959,24.584,4:08.543,10.852,4:19.395,3.824,4:23.219,8.859,4:32.078,4.572,4:36.650,
100,1,1,5:22.047,0,,1:13.022,0,1:52.877,0,2:16.148,0,150.7,5:22.047,09:05:22.047,1:13.022,1:52.877,2:16.148,224.4,Clément LOEUL,0:00:25.037,992,,Ancel Motorsport,,GF,73.022,112.877,136.148,32.051,32.051,17.353,49.404,23.618,1:13.022,47.917,2:00.939,6.166,2:07.105,35.822,2:42.927,22.972,3:05.899,8.811,3:14.710,49.447,4:04.157,24.186,4:28.343,25.719,4:54.062,10.855,5:04.917,4.191,5:09.108,8.187,5:17.295,4.752,5:22.047,
100,1,2,4:33.265,0,,45.186,0,1:42.296,0,2:05.783,2,179.5,9:55.312,09:09:55.312,0:45.186,1:42.296,2:05.783,269.1,Clément LOEUL,,992,,Ancel Motorsport,,GF,45.186,102.296,125.783,10.391,10.391,14.129,24.520,20.666,45.186,41.811,1:26.997,5.847,1:32.844,32.793,2:05.637,21.845,2:27.482,8.413,2:35.895,45.783,3:21.678,20.850,3:42.528,23.618,4:06.146,10.527,4:16.673,3.824,4:20.497,8.211,4:28.708,4.557,4:33.265,
100,1,3,4:31.279,2,,44.423,2,1:40.593,0,2:06.263,0,180.8,14:26.591,09:14:26.591,0:44.423,1:40.593,2:06.263,280.3,Clément LOEUL,,992,,Ancel Motorsport,,GF,44.423,100.593,126.263,10.149,10.149,14.139,24.288,20.135,44.423,41.485,1:25.908,5.830,1:31.738,32.217,2:03.955,21.061,2:25.016,8.425,2:33.441,44.984,3:18.425,20.606,3:39.031,23.654,4:02.685,10.484,4:13.169,4.192,4:17.361,9.490,4:26.851,4.428,4:31.279,
100,1,4,4:38.801,0,,47.401,0,1:43.422,0,2:07.978,0,175.9,19:05.392,09:19:05.392,0:47.401,1:43.422,2:07.978,240.4,Clément LOEUL,,992,,Ancel Motorsport,,GF,47.401,103.422,127.978,10.056,10.056,15.541,25.597,21.804,47.401,43.409,1:30.810,5.850,1:36.660,32.864,2:09.524,21.299,2:30.823,8.432,2:39.255,46.676,3:25.931,20.859,3:46.790,23.950,4:10.740,10.483,4:21.223,3.779,4:25.002,9.372,4:34.374,4.427,4:38.801,
100,1,5,4:31.995,0,,45.420,0,1:40.430,2,2:06.145,0,180.3,23:37.387,09:23:37.387,0:45.420,1:40.430,2:06.145,271.1,Clément LOEUL,,992,,Ancel Motorsport,,FF,45.420,100.430,126.145,9.970,9.970,14.567,24.537,20.883,45.420,41.360,1:26.780,5.807,1:32.587,32.017,2:04.604,21.246,2:25.850,8.614,2:34.464,45.105,3:19.569,20.527,3:40.096,23.813,4:03.909,10.394,4:14.303,3.670,4:17.973,9.231,4:27.204,4.791,4:31.995,
11,1,1,6:53.963,0,,2:37.277,0,1:54.965,0,2:21.721,0,117.2,6:53.963,09:06:53.963,2:37.277,1:54.965,2:21.721,201.8,Frédéric LACORE,0:01:40.586,992,,Racing Technology,,GF,157.277,114.965,141.721,1:47.685,1:47.685,22.253,2:09.938,27.339,2:37.277,49.503,3:26.780,6.261,3:33.041,35.584,4:08.625,23.617,4:32.242,9.637,4:41.879,52.534,5:34.413,23.509,5:57.922,26.552,6:24.474,10.809,6:35.283,4.137,6:39.420,9.681,6:49.101,4.862,6:53.963,
