NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,PITREF_time,PITREF_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
10,1,1,5:02.390,0,,1:20.331,0,1:43.782,0,1:58.277,0,160.5,5:02.390,18:50:02.390,1:20.331,1:43.782,1:58.277,249.8,Derek DEBOER,0:00:38.181,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,80.331,103.782,118.277,44.374,44.374,15.131,59.505,20.826,1:20.331,44.928,2:05.259,5.750,2:11.009,32.108,2:43.117,20.996,3:04.113,7.942,3:12.055,44.960,3:57.015,20.678,4:17.693,20.910,4:38.603,9.684,4:48.287,2.985,4:51.272,7.012,4:58.284,4.106,5:02.390,
10,1,2,4:00.735,0,,38.196,0,1:32.593,0,1:49.946,0,203.8,9:03.125,18:54:03.125,0:38.196,1:32.593,1:49.946,286.2,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,38.196,92.593,109.946,9.810,9.810,11.201,21.011,17.185,38.196,38.022,1:16.218,5.590,1:21.808,29.425,1:51.233,19.556,2:10.789,7.083,2:17.872,41.453,2:59.325,19.826,3:19.151,18.642,3:37.793,9.313,3:47.106,2.786,3:49.892,6.756,3:56.648,4.087,4:00.735,
10,1,3,3:59.472,2,,38.003,2,1:31.526,0,1:49.943,2,204.8,13:02.597,18:58:02.597,0:38.003,1:31.526,1:49.943,287.7,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,38.003,91.526,109.943,9.746,9.746,11.146,20.892,17.111,38.003,37.440,1:15.443,5.597,1:21.040,29.277,1:50.317,19.212,2:09.529,7.116,2:16.645,41.547,2:58.192,19.623,3:17.815,18.866,3:36.681,9.246,3:45.927,2.739,3:48.666,6.736,3:55.402,4.070,3:59.472,
10,1,4,5:35.985,0,B,38.152,0,2:14.336,0,2:43.497,0,146.0,18:38.582,19:03:38.582,0:38.152,2:14.336,2:43.497,290.0,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,RF,38.152,134.336,163.497,9.745,9.745,11.104,20.849,17.303,38.152,38.022,1:16.174,5.563,1:21.737,31.531,1:53.268,59.220,2:52.488,10.796,3:03.284,1:18.479,4:21.763,20.548,4:42.311,20.414,5:02.725,9.931,5:12.656,4.889,5:17.545,,,,5:35.985,
10,1,5,8:38.112,0,,5:02.807,0,1:38.722,0,1:56.583,0,94.7,27:16.694,19:12:16.694,5:02.807,1:38.722,1:56.583,269.8,Derek DEBOER,0:04:30.091,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,302.807,98.722,116.583,4:27.927,4:27.927,15.375,4:43.302,19.505,5:02.807,40.675,5:43.482,5.723,5:49.205,31.592,6:20.797,20.732,6:41.529,7.578,6:49.107,43.110,7:32.217,20.133,7:52.350,19.931,8:12.281,9.989,8:22.270,3.714,8:25.984,7.854,8:33.838,4.274,8:38.112,
10,1,6,3:59.919,0,,38.514,0,1:31.114,2,1:50.291,0,204.5,31:16.613,19:16:16.613,0:38.514,1:31.114,1:50.291,294.8,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,GF,38.514,91.114,110.291,9.850,9.850,11.497,21.347,17.167,38.514,37.370,1:15.884,5.519,1:21.403,29.017,1:50.420,19.208,2:09.628,7.152,2:16.780,41.150,2:57.930,19.683,3:17.613,18.673,3:36.286,9.139,3:45.425,3.060,3:48.485,7.248,3:55.733,4.186,3:59.919,
10,1,7,5:45.549,0,B,38.032,0,1:31.533,0,3:35.984,0,142.0,37:02.162,19:22:02.162,0:38.032,1:31.533,3:35.984,294.8,Derek DEBOER,,LMGT3,,Racing Spirit of Leman,Aston Martin,RF,38.032,91.533,215.984,9.673,9.673,11.215,20.888,17.144,38.032,37.381,1:15.413,5.518,1:20.931,29.218,1:50.149,19.416,2:09.565,7.190,2:16.755,50.119,3:06.874,55.389,4:02.263,46.641,4:48.904,26.153,5:15.057,7.625,5:22.682,,,,5:45.549,
11,3,1,4:38.947,0,,1:20.084,0,1:30.379,0,1:48.484,0,174.0,4:38.947,18:49:38.947,1:20.084,1:30.379,1:48.484,299.7,Bent VISCAAL,0:00:41.606,LMP2,P/A,Proton Competition,Oreca,GF,80.084,90.379,108.484,47.770,47.770,14.218,1:01.988,18.096,1:20.084,38.143,1:58.227,5.262,2:03.489,28.187,2:31.676,18.787,2:50.463,7.129,2:57.592,39.826,3:37.418,18.532,3:55.950,17.787,4:13.737,9.170,4:22.907,3.463,4:26.370,8.873,4:35.243,3.704,4:38.947,
11,3,2,3:44.520,0,,36.223,0,1:26.053,0,1:42.244,0,218.5,8:23.467,18:53:23.467,0:36.223,1:26.053,1:42.244,317.2,Bent VISCAAL,,LMP2,P/A,Proton Competition,Oreca,GF,36.223,86.053,102.244,8.942,8.942,11.125,20.067,16.156,36.223,35.165,1:11.388,5.159,1:16.547,27.533,1:44.080,18.196,2:02.276,6.850,2:09.126,38.811,2:47.937,18.257,3:06.194,16.074,3:22.268,8.347,3:30.615,2.874,3:33.489,7.364,3:40.853,3.667,3:44.520,
11,3,3,3:37.924,0,,34.411,0,1:24.011,0,1:39.502,0,225.1,12:01.391,18:57:01.391,0:34.411,1:24.011,1:39.502,313.6,Bent VISCAAL,,LMP2,P/A,Proton Competition,Oreca,GF,34.411,84.011,99.502,8.930,8.930,10.210,19.140,15.271,34.411,34.069,1:08.480,5.156,1:13.636,26.836,1:40.472,17.950,1:58.422,6.680,2:05.102,38.318,2:43.420,18.230,3:01.650,15.351,3:17.001,8.199,3:25.200,2.555,3:27.755,6.490,3:34.245,3.679,3:37.924,
