POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,50,Ferrari AF Corse,Antonio FUOCO,Nicklas NIELSEN,Miguel MOLINA,,Ferrari 499P,M,HYPERCAR,H,,Classified,51,3:04'24.108,,,21,3'28.226,235.6,,
2,6,Porsche Penske Motorsport,Kévin ESTRE,Laurens VANTHOOR,Matt CAMPBELL,,Porsche 963,M,HYPERCAR,H,,Classified,51,3:04'26.985,2.877,2.877,10,3'28.125,235.7,,
3,94,Peugeot TotalEnergies,Loïc DUVAL,Malthe JAKOBSEN,Stoffel VANDOORNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,51,3:04'35.754,11.646,8.769,4,3'29.636,234.0,,
4,5,Porsche Penske Motorsport,Julien ANDLAUER,Michael CHRISTENSEN,Mathieu JAMINET,,Porsche 963,M,HYPERCAR,H,,Classified,51,3:04'38.511,14.403,2.757,3,3'28.155,235.7,,
5,51,Ferrari AF Corse,Alessandro PIER GUIDI,James CALADO,Antonio GIOVINAZZI,,Ferrari 499P,M,HYPERCAR,H,,Classified,51,3:04'40.409,16.301,1.898,47,3'28.444,235.3,,
6,83,AF Corse,Robert KUBICA,Yifei YE,Philip HANSON,,Ferrari 499P,M,HYPERCAR,H,,Classified,51,3:04'47.316,23.208,6.907,48,3'28.117,235.7,,
7,311,Cadillac Whelen,Jack AITKEN,Felipe DRUGOVICH,Frederik VESTI,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,51,3:04'48.361,24.253,1.045,10,3'28.253,235.5,,
8,8,Toyota Gazoo Racing,Sébastien BUEMI,Brendon HARTLEY,Ryo HIRAKAWA,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,51,3:04'49.061,24.953,0.700,43,3'29.052,234.6,,
9,15,BMW M Team WRT,Dries VANTHOOR,Raffaele MARCIELLO,Kevin MAGNUSSEN,,BMW M Hybrid V8,M,HYPERCAR,H,,Classified,51,3:04'50.045,25.937,0.984,29,3'27.936,235.9,,
10,20,BMW M Team WRT,René RAST,Robin FRIJNS,Sheldon VAN DER LINDE,,BMW M Hybrid V8,M,HYPERCAR,H,,Classified,51,3:04'50.909,26.801,0.864,44,3'28.768,235.0,,
11,38,Cadillac Hertz Team JOTA,Earl BAMBER,Sébastien BOURDAIS,Jenson BUTTON,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,51,3:04'56.450,32.342,5.541,10,3'28.451,235.3,,
12,4,Porsche Penske Motorsport,Felipe NASR,Nick TANDY,Pascal WEHRLEIN,,Porsche 963,M,HYPERCAR,H,,Classified,51,3:05'06.003,41.895,9.553,10,3'28.683,235.1,,
13,12,Cadillac Hertz Team JOTA,Will STEVENS,Norman NATO,Alex LYNN,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,51,3:05'08.603,44.495,2.600,3,3'28.146,235.7,,
14,35,Alpine Endurance Team,Paul-Loup CHATIN,Ferdinand HABSBURG,Charles MILESI,,Alpine A424,M,HYPERCAR,H,,Classified,51,3:05'35.149,1'11.041,26.546,3,3'29.791,233.8,,
15,99,Proton Competition,Neel JANI,Nicolas PINO,Nicolas VARRONE,,Porsche 963,M,HYPERCAR,H,,Classified,51,3:05'36.773,1'12.665,1.624,44,3'28.621,235.1,,
16,7,Toyota Gazoo Racing,Mike CONWAY,Kamui KOBAYASHI,Nyck DE VRIES,,Toyota GR010 - Hybrid,M,HYPERCAR,H,,Classified,51,3:05'42.846,1'18.738,6.073,44,3'28.367,235.4,,
17,36,Alpine Endurance Team,Mick SCHUMACHER,Frédéric MAKOWIECKI,Jules GOUNON,,Alpine A424,M,HYPERCAR,H,,Classified,51,3:05'59.468,1'35.360,16.622,29,3'28.800,234.9,,
18,93,Peugeot TotalEnergies,Paul DI RESTA,Mikkel JENSEN,Jean-Eric VERGNE,,Peugeot 9X8,M,HYPERCAR,H,,Classified,51,3:06'20.244,1'56.136,20.776,38,3'29.729,233.9,,
19,101,Cadillac WTR,Ricky TAYLOR,Jordan TAYLOR,Filipe ALBUQUERQUE,,Cadillac V-Series.R,M,HYPERCAR,H,,Classified,51,3:06'25.110,2'01.002,4.866,39,3'29.223,234.5,,
20,007,Aston Martin Thor Team,Harry TINCKNELL,Tom GAMBLE,Ross GUNN,,Aston Martin Valkyrie,M,HYPERCAR,,,Classified,51,3:06'25.543,2'01.435,0.433,15,3'30.114,233.5,,
21,009,Aston Martin Thor Team,Alex RIBERAS,Marco SORENSEN,Roman DE ANGELIS,,Aston Martin Valkyrie,M,HYPERCAR,,,Classified,51,3:06'28.607,2'04.499,3.064,45,3'28.842,234.9,,
22,43,Inter Europol Competition,Jakub SMIECHOWSKI,Tom DILLMANN,Nick YELLOLY,,Oreca 07 - Gibson,G,LMP2,,,Classified,49,3:06'37.084,2 Laps,2 Laps,5,3'38.102,224.9,,
23,48,VDS Panis Racing,Oliver GRAY,Esteban MASSON,Franck PERERA,,Oreca 07 - Gibson,G,LMP2,,,Classified,49,3:07'02.689,2 Laps,25.605,6,3'38.560,224.4,,
24,16,RLR M Sport,Michael JENSEN,Ryan CULLEN,Patrick PILET,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,49,3:07'32.061,2 Laps,29.372,4,3'38.219,224.8,,
25,28,IDEC Sport,Paul LAFARGUE,Job VAN UITERT,Sebastian ALVAREZ,,Oreca 07 - Gibson,G,LMP2,,,Classified,49,3:07'32.160,2 Laps,0.099,4,3'38.477,224.5,,
26,9,Iron Lynx - Proton,Jonas RIED,Maceo CAPIETTO,Reshad DE GÉRUS,,Oreca 07 - Gibson,G,LMP2,,,Classified,49,3:07'42.761,2 Laps,10.601,35,3'38.875,224.1,,
27,25,Algarve Pro Racing,Matthias KAISER,Lorenzo FLUXA,Théo POURCHAIRE,,Oreca 07 - Gibson,G,LMP2,,,Classified,49,3:07'46.586,2 Laps,3.825,6,3'39.311,223.7,,
28,18,IDEC Sport,Jamie CHADWICK,Mathys JAUBERT,André LOTTERER,,Oreca 07 - Gibson,G,LMP2,,,Classified,48,3:04'17.670,3 Laps,1 Laps,6,3'39.378,223.6,,
29,199,AO by TF,PJ HYETT,Dane CAMERON,Louis DELETRAZ,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,48,3:04'53.180,3 Laps,35.510,3,3'38.004,225.0,,
30,34,Inter Europol Competition,Nicholas BOULLE,Jean-Baptiste SIMMENAUER,Luca GHIOTTO,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,48,3:04'53.713,3 Laps,0.533,19,3'39.606,223.4,,
31,22,United Autosports,Renger VAN DER ZANDE,Pietro FITTIPALDI,David HEINEMEIER HANSSON,,Oreca 07 - Gibson,G,LMP2,,,Classified,48,3:04'55.502,3 Laps,1.789,7,3'38.067,224.9,,
32,11,Proton Competition,Giorgio RODA,Rene BINDER,Bent VISCAAL,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,48,3:04'57.442,3 Laps,1.940,9,3'38.195,224.8,,
33,29,TDS Racing,Rodrigo SALES,Mathias BECHE,Clément NOVALAK,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,48,3:05'14.059,3 Laps,16.617,5,3'36.859,226.2,,
34,37,CLX - Pure Rxcing,Aliaksandr MALYKHIN,Tom BLOMQVIST,Tristan VAUTIER,,Oreca 07 - Gibson,G,LMP2,,,Classified,48,3:05'21.864,3 Laps,7.805,3,3'38.424,224.6,,
35,183,AF Corse,François PERRODO,Matthieu VAXIVIERE,Antonio FELIX DA COSTA,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,48,3:05'57.954,3 Laps,36.090,3,3'38.600,224.4,,
36,45,Algarve Pro Racing,George KURTZ,Nicky CATSBURG,Alexander QUINN,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,48,3:06'18.440,3 Laps,20.486,39,3'38.574,224.4,,
37,23,United Autosports,Daniel SCHNEIDER,Oliver JARVIS,Benjamin HANLEY,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,48,3:07'25.212,3 Laps,1'06.772,6,3'38.332,224.7,,
38,24,Nielsen Racing,Naveen RAO,Cem BÖLÜKBASI,Colin BRAUN,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,47,3:04'29.993,4 Laps,1 Laps,4,3'39.352,223.6,,
39,46,Team WRT,Ahmad AL HARTHY,Valentino ROSSI,Kelvin VAN DER LINDE,,BMW M4 LMGT3,G,LMGT3,,,Classified,45,3:05'50.628,6 Laps,2 Laps,2,3'57.765,206.3,,
40,21,Vista AF Corse,François HERIAU,Simon MANN,Alessio ROVERA,,Ferrari 296 LMGT3,G,LMGT3,,,Classified,45,3:06'18.102,6 Laps,27.474,34,3'56.575,207.3,,
41,92,Manthey 1ST Phorm,Ryan HARDWICK,Riccardo PERA,Richard LIETZ,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,45,3:06'26.773,6 Laps,8.671,45,3'57.789,206.3,,
42,78,Akkodis ASP Team,Arnold ROBIN,Jack HAWKSWORTH,Finn GEHRSITZ,,Lexus RC F LMGT3,G,LMGT3,,,Classified,45,3:06'33.620,6 Laps,6.847,2,3'56.606,207.3,,
43,85,Iron Dames,Celia MARTIN,Rahel FREY,Sarah BOVY,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,45,3:06'38.013,6 Laps,4.393,35,3'58.591,205.6,,
44,81,TF Sport,Tom VAN ROMPUY,Rui ANDRADE,Charlie EASTWOOD,,Corvette Z06 LMGT3.R,G,LMGT3,,,Classified,45,3:06'42.024,6 Laps,4.011,3,3'57.468,206.6,,
45,77,Proton Competition,Bernardo SOUSA,Ben TUCK,Benjamin BARKER,,Ford Mustang LMGT3,G,LMGT3,,,Classified,45,3:06'56.499,6 Laps,14.475,5,3'57.015,207.0,,
46,87,Akkodis ASP Team,Petru UMBRARESCU,Jose Maria LOPEZ,Clemens SCHMID,,Lexus RC F LMGT3,G,LMGT3,,,Classified,45,3:06'58.879,6 Laps,2.380,5,3'57.123,206.9,,
47,27,Heart of Racing Team,Ian JAMES,Mattia DRUDI,Zacharie ROBICHON,,Aston Martin Vantage AMR LMGT3,G,LMGT3,,,Classified,45,3:07'02.409,6 Laps,3.530,3,3'57.294,206.7,,
48,59,United Autosports,James COTTINGHAM,Grégoire SAUCY,Sébastien BAUD,,McLaren 720S LMGT3 Evo,G,LMGT3,,,Classified,45,3:07'08.725,6 Laps,6.316,37,3'59.232,205.0,,
49,90,Manthey,Antares AU,Loek HARTOG,Klaus BACHLER,,Porsche 911 GT3 R LMGT3,G,LMGT3,,,Classified,45,3:07'11.805,6 Laps,3.080,44,3'58.021,206.1,,
