NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,FLAG_AT_FL,S1_SECONDS,S2_SECONDS,S3_SECONDS,SCL2_time,SCL2_elapsed,Z4_time,Z4_elapsed,IP1_time,IP1_elapsed,Z12_time,Z12_elapsed,SCLC_time,SCLC_elapsed,A7-1_time,A7-1_elapsed,IP2_time,IP2_elapsed,A8-1_time,A8-1_elapsed,SCLB_time,SCLB_elapsed,PORIN_time,PORIN_elapsed,POROUT_time,POROUT_elapsed,PITREF_time,PITREF_elapsed,SCL1_time,SCL1_elapsed,FORDOUT_time,FORDOUT_elapsed,FL_time,FL_elapsed,
007,3,1,7:46.276,0,,4:32.217,0,1:29.774,0,1:44.285,0,104.1,7:46.276,15:37:46.276,4:32.217,1:29.774,1:44.285,258.2,Ross GUNN,0:03:48.224,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,272.217,89.774,104.285,3:54.941,3:54.941,16.005,4:10.946,21.271,4:32.217,38.411,5:10.628,5.061,5:15.689,27.818,5:43.507,18.484,6:01.991,7.141,6:09.132,38.536,6:47.668,17.398,7:05.066,17.039,7:22.105,10.102,7:32.207,3.860,7:36.067,6.691,7:42.758,3.518,7:46.276,
007,3,2,3:35.839,0,,33.960,0,1:21.745,0,1:40.134,0,227.3,11:22.115,15:41:22.115,0:33.960,1:21.745,1:40.134,327.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.960,81.745,100.134,8.169,8.169,10.574,18.743,15.217,33.960,33.805,1:07.765,4.758,1:12.523,25.982,1:38.505,17.200,1:55.705,6.733,2:02.438,38.326,2:40.764,16.957,2:57.721,16.276,3:13.997,8.705,3:22.702,3.147,3:25.849,6.449,3:32.298,3.541,3:35.839,
007,3,3,3:32.733,0,,33.893,0,1:21.209,0,1:37.631,1,230.6,14:54.848,15:44:54.848,0:33.893,1:21.209,1:37.631,329.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.893,81.209,97.631,8.129,8.129,10.531,18.660,15.233,33.893,33.508,1:07.401,4.746,1:12.147,25.817,1:37.964,17.138,1:55.102,6.697,2:01.799,36.968,2:38.767,16.944,2:55.711,16.288,3:11.999,8.040,3:20.039,2.827,3:22.866,6.353,3:29.219,3.514,3:32.733,
007,3,4,6:14.278,0,,33.582,0,1:21.287,0,4:19.409,0,131.1,21:09.126,15:51:09.126,0:33.582,1:21.287,4:19.409,330.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,FCY,33.582,81.287,259.409,8.125,8.125,10.427,18.552,15.030,33.582,33.164,1:06.746,4.727,1:11.473,25.772,1:37.245,17.624,1:54.869,6.966,2:01.835,1:41.810,3:43.645,54.859,4:38.504,45.830,5:24.334,25.869,5:50.203,7.348,5:57.551,9.752,6:07.303,6.975,6:14.278,
007,3,5,6:18.137,0,,1:24.935,0,3:11.429,0,1:41.773,0,129.7,27:27.263,15:57:27.263,1:24.935,3:11.429,1:41.773,80.5,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,84.935,191.429,101.773,25.685,25.685,20.901,46.586,38.349,1:24.935,1:47.047,3:11.982,13.707,3:25.689,51.966,4:17.655,18.709,4:36.364,7.238,4:43.602,38.277,5:21.879,18.194,5:40.073,17.098,5:57.171,8.105,6:05.276,2.808,6:08.084,6.520,6:14.604,3.533,6:18.137,
007,3,6,3:33.029,0,,33.744,0,1:20.987,0,1:38.298,0,230.3,31:00.292,16:01:00.292,0:33.744,1:20.987,1:38.298,329.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.744,80.987,98.298,8.147,8.147,10.509,18.656,15.088,33.744,33.342,1:07.086,4.719,1:11.805,25.849,1:37.654,17.077,1:54.731,6.710,2:01.441,37.252,2:38.693,16.967,2:55.660,16.406,3:12.066,8.085,3:20.151,2.750,3:22.901,6.617,3:29.518,3.511,3:33.029,
007,3,7,3:32.969,0,,33.546,0,1:20.974,0,1:38.449,0,230.3,34:33.261,16:04:33.261,0:33.546,1:20.974,1:38.449,318.2,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.546,80.974,98.449,8.164,8.164,10.497,18.661,14.885,33.546,33.340,1:06.886,4.727,1:11.613,25.816,1:37.429,17.091,1:54.520,6.731,2:01.251,37.173,2:38.424,16.941,2:55.365,16.741,3:12.106,8.170,3:20.276,2.708,3:22.984,6.474,3:29.458,3.511,3:32.969,
007,3,8,3:32.216,0,,33.547,0,1:21.013,0,1:37.656,0,231.1,38:05.477,16:08:05.477,0:33.547,1:21.013,1:37.656,307.3,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.547,81.013,97.656,8.155,8.155,10.391,18.546,15.001,33.547,33.360,1:06.907,4.698,1:11.605,25.833,1:37.438,17.122,1:54.560,6.719,2:01.279,37.510,2:38.789,16.952,2:55.741,16.054,3:11.795,7.992,3:19.787,2.730,3:22.517,6.215,3:28.732,3.484,3:32.216,
007,3,9,3:39.391,0,B,33.442,0,1:21.517,0,1:44.432,0,223.6,41:44.868,16:11:44.868,0:33.442,1:21.517,1:44.432,306.5,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.442,81.517,104.432,8.097,8.097,10.434,18.531,14.911,33.442,33.444,1:06.886,4.714,1:11.600,26.153,1:37.753,17.206,1:54.959,6.720,2:01.679,37.029,2:38.708,17.001,2:55.709,16.211,3:11.920,8.162,3:20.082,2.911,3:22.993,,,,3:39.391,
007,3,10,5:12.204,0,,2:12.126,0,1:21.239,0,1:38.839,0,157.1,46:57.072,16:16:57.072,2:12.126,1:21.239,1:38.839,317.2,Ross GUNN,0:01:48.126,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,132.126,81.239,98.839,1:44.806,1:44.806,11.794,1:56.600,15.526,2:12.126,33.681,2:45.807,4.697,2:50.504,25.862,3:16.366,16.999,3:33.365,6.671,3:40.036,37.999,4:18.035,17.456,4:35.491,16.142,4:51.633,7.938,4:59.571,2.745,5:02.316,6.398,5:08.714,3.490,5:12.204,
007,3,11,3:33.590,0,,34.462,0,1:20.969,0,1:38.159,0,229.7,50:30.662,16:20:30.662,0:34.462,1:20.969,1:38.159,327.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,34.462,80.969,98.159,8.069,8.069,11.145,19.214,15.248,34.462,33.583,1:08.045,4.723,1:12.768,25.751,1:38.519,16.912,1:55.431,6.759,2:02.190,37.420,2:39.610,17.041,2:56.651,16.383,3:13.034,7.962,3:20.996,2.716,3:23.712,6.363,3:30.075,3.515,3:33.590,
007,3,12,4:20.438,0,,36.503,0,2:05.575,0,1:38.360,0,188.4,54:51.100,16:24:51.100,0:36.503,2:05.575,1:38.360,258.2,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,36.503,125.575,98.360,8.110,8.110,10.715,18.825,17.678,36.503,1:17.012,1:53.515,4.766,1:58.281,26.625,2:24.906,17.172,2:42.078,6.783,2:48.861,37.072,3:25.933,16.977,3:42.910,16.172,3:59.082,7.952,4:07.034,3.096,4:10.130,6.779,4:16.909,3.529,4:20.438,
007,3,13,3:41.584,0,B,33.236,1,1:20.605,1,1:47.743,0,221.4,58:32.684,16:28:32.684,0:33.236,1:20.605,1:47.743,330.8,Ross GUNN,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.236,80.605,107.743,8.112,8.112,10.321,18.433,14.803,33.236,33.225,1:06.461,4.700,1:11.161,25.793,1:36.954,16.887,1:53.841,6.705,2:00.546,37.413,2:37.959,16.961,2:54.920,18.041,3:12.961,9.276,3:22.237,3.123,3:25.360,,,,3:41.584,
007,2,14,5:22.199,0,,2:21.227,0,1:22.580,0,1:38.392,0,152.2,1:03:54.883,16:33:54.883,2:21.227,1:22.580,1:38.392,326.8,Tom GAMBLE,0:01:55.807,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,141.227,82.580,98.392,1:52.452,1:52.452,12.483,2:04.935,16.292,2:21.227,34.359,2:55.586,4.780,3:00.366,26.114,3:26.480,17.327,3:43.807,6.842,3:50.649,37.287,4:27.936,16.977,4:44.913,16.409,5:01.322,8.057,5:09.379,2.818,5:12.197,6.487,5:18.684,3.515,5:22.199,
007,2,15,3:36.911,0,,34.638,0,1:22.102,0,1:40.171,0,226.1,1:07:31.794,16:37:31.794,0:34.638,1:22.102,1:40.171,328.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,34.638,82.102,100.171,8.169,8.169,10.509,18.678,15.960,34.638,34.213,1:08.851,4.771,1:13.622,25.995,1:39.617,17.123,1:56.740,6.746,2:03.486,38.785,2:42.271,17.024,2:59.295,16.837,3:16.132,8.032,3:24.164,2.728,3:26.892,6.466,3:33.358,3.553,3:36.911,
007,2,16,3:32.404,0,,33.654,0,1:20.920,0,1:37.830,0,230.9,1:11:04.198,16:41:04.198,0:33.654,1:20.920,1:37.830,334.9,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.654,80.920,97.830,8.130,8.130,10.444,18.574,15.080,33.654,33.418,1:07.072,4.753,1:11.825,25.759,1:37.584,16.990,1:54.574,6.788,2:01.362,37.116,2:38.478,16.936,2:55.414,16.183,3:11.597,7.964,3:19.561,2.877,3:22.438,6.432,3:28.870,3.534,3:32.404,
007,2,17,3:32.721,0,,33.896,0,1:21.235,0,1:37.590,0,230.6,1:14:36.919,16:44:36.919,0:33.896,1:21.235,1:37.590,330.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.896,81.235,97.590,8.142,8.142,10.389,18.531,15.365,33.896,33.705,1:07.601,4.747,1:12.348,25.762,1:38.110,17.021,1:55.131,6.803,2:01.934,37.056,2:38.990,16.937,2:55.927,16.084,3:12.011,7.962,3:19.973,2.746,3:22.719,6.437,3:29.156,3.565,3:32.721,
007,2,18,3:31.677,0,,33.547,0,1:21.092,0,1:37.038,0,231.7,1:18:08.596,16:48:08.596,0:33.547,1:21.092,1:37.038,328.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.547,81.092,97.038,8.148,8.148,10.615,18.763,14.784,33.547,33.458,1:07.005,4.726,1:11.731,25.845,1:37.576,17.063,1:54.639,6.805,2:01.444,36.767,2:38.211,16.852,2:55.063,15.975,3:11.038,7.921,3:18.959,2.660,3:21.619,6.500,3:28.119,3.558,3:31.677,
007,2,19,3:32.167,0,,33.975,0,1:20.923,0,1:37.269,0,231.2,1:21:40.763,16:51:40.763,0:33.975,1:20.923,1:37.269,329.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.975,80.923,97.269,8.103,8.103,10.588,18.691,15.284,33.975,33.486,1:07.461,4.738,1:12.199,25.763,1:37.962,16.936,1:54.898,6.814,2:01.712,36.894,2:38.606,16.804,2:55.410,16.071,3:11.481,7.928,3:19.409,2.728,3:22.137,6.496,3:28.633,3.534,3:32.167,
007,2,20,9:46.981,0,B,1:03.873,0,4:19.025,0,4:24.083,0,83.6,1:31:27.744,17:01:27.744,1:03.873,4:19.025,4:24.083,80.5,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,RF,63.873,259.025,264.083,8.241,8.241,17.334,25.575,38.298,1:03.873,1:46.993,2:50.866,13.714,3:04.580,1:19.652,4:24.232,58.666,5:22.898,10.458,5:33.356,1:46.205,7:19.561,54.891,8:14.452,45.892,9:00.344,22.931,9:23.275,4.670,9:27.945,,,,9:46.981,
007,2,21,13:03.310,0,,9:54.008,0,1:26.347,0,1:42.955,0,62.6,1:44:31.054,17:14:31.054,9:54.008,1:26.347,1:42.955,280.3,Tom GAMBLE,0:09:21.403,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,594.008,86.347,102.955,9:19.471,9:19.471,15.339,9:34.810,19.198,9:54.008,36.744,10:30.752,4.891,10:35.643,27.014,11:02.657,17.698,11:20.355,7.248,11:27.603,38.089,12:05.692,17.839,12:23.531,17.706,12:41.237,8.475,12:49.712,3.233,12:52.945,6.913,12:59.858,3.452,13:03.310,
007,2,22,3:34.695,0,,34.137,0,1:20.432,0,1:40.126,0,228.5,1:48:05.749,17:18:05.749,0:34.137,1:20.432,1:40.126,330.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,34.137,80.432,100.126,8.079,8.079,11.039,19.118,15.019,34.137,33.241,1:07.378,4.687,1:12.065,25.650,1:37.715,16.854,1:54.569,6.620,2:01.189,36.648,2:37.837,16.782,2:54.619,15.703,3:10.322,8.526,3:18.848,4.026,3:22.874,8.435,3:31.309,3.386,3:34.695,
007,2,23,3:30.231,0,,32.747,2,1:20.978,0,1:36.506,0,233.3,1:51:35.980,17:21:35.980,0:32.747,1:20.978,1:36.506,332.9,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,32.747,80.978,96.506,8.036,8.036,10.041,18.077,14.670,32.747,33.767,1:06.514,4.741,1:11.255,25.647,1:36.902,16.823,1:53.725,6.668,2:00.393,36.854,2:37.247,16.842,2:54.089,15.776,3:09.865,7.793,3:17.658,2.746,3:20.404,6.370,3:26.774,3.457,3:30.231,
007,2,24,3:31.395,0,,34.764,0,1:20.338,0,1:36.293,0,232.0,1:55:07.375,17:25:07.375,0:34.764,1:20.338,1:36.293,329.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,34.764,80.338,96.293,8.076,8.076,11.031,19.107,15.657,34.764,33.174,1:07.938,4.699,1:12.637,25.627,1:38.264,16.838,1:55.102,6.677,2:01.779,36.586,2:38.365,16.802,2:55.167,15.800,3:10.967,7.865,3:18.832,2.830,3:21.662,6.280,3:27.942,3.453,3:31.395,
007,2,25,3:29.249,2,,33.554,0,1:19.937,1,1:35.758,2,234.4,1:58:36.624,17:28:36.624,0:33.554,1:19.937,1:35.758,331.8,Tom GAMBLE,,HYPERCAR,,Aston Martin Thor Team,Aston Martin,GF,33.554,79.937,95.758,8.049,8.049,10.741,18.790,14.764,33.554,32.785,1:06.339,4.691,1:11.030,25.502,1:36.532,16.959,1:53.491,6.697,2:00.188,36.579,2:36.767,16.795,2:53.562,15.461,3:09.023,7.826,3:16.849,2.625,3:19.474,6.288,3:25.762,3.487,3:29.249,
