POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,97,6,4:02.803,-,-,202.0,6,Martinet by ALmeras,992,,,Porsche 992 Cup,,,,,,,,,,,,Enzo,JOULIE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31,6,4:03.108,+0.305,+0.305,201.8,7,LM31 by Racetivity,992,,,Porsche 992 Cup,,,,,,,,,,,,Louis,MERIC,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,111,6,4:03.448,+0.645,+0.340,201.5,6,Racing Technology,992,,,Porsche 992 Cup,,,,,,,,,,,,Sylvain,NOEL,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,64,7,4:04.283,+1.480,+0.835,200.8,7,Blackthorn,R,,,Porsche 991 GT3 R,,,,,,,,,,,,Charlie,BATEMAN,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,56,5,4:05.066,+2.263,+0.783,200.2,6,Ancel Motorsport,992,,,Porsche 992 Cup,,,,,,,,,,,,Hervé,TREMBLAYE,,,FRA,,,,,,,Frédéric,ANCEL,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,100,6,4:05.355,+2.552,+0.289,199.9,6,Ancel Motorsport,992,,,Porsche 992 Cup,,,,,,,,,,,,Clément,LOEUL,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,6,4:07.253,+4.450,+1.898,198.4,7,ABM,992,,,Porsche992 Cup,,,,,,,,,,,,Jean Philippe,GAMBARO,,,FRA,,,,,,,Yann,DIDRY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,24,5,4:07.749,+4.946,+0.496,198.0,6,Huber Racing,992,,,Porsche 992 Cup,,,,,,,,,,,,Riley,GIACOMAZZI,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,74,3,4:08.375,+5.572,+0.626,197.5,6,ABM,992,,,Porsche 992 Cup,,,,,,,,,,,,Victor,BLUGEON,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,45,5,4:09.011,+6.208,+0.636,197.0,6,2B Autosport,992,,,Porsche 992 Cup,,,,,,,,,,,,Karl,VANDEWOESTINE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,48,4,4:09.049,+6.246,+0.038,197.0,6,HRT Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,Steve,GAMBRELL,,,GBR,,,,,,,Kim André,HAUSCHILD,,,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,49,6,4:09.275,+6.472,+0.226,196.8,6,Speed Lover,992,,,Porsche 992 Cup,,,,,,,,,,,,John,de WILDE,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,288,6,4:09.476,+6.673,+0.201,196.6,6,Laptime Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,Kayden,KELLY,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,93,6,4:09.628,+6.825,+0.152,196.5,6,Martinet by ALmeras,992,,,Porsche 992 Cup,,,,,,,,,,,,Jane,RODNEY,,,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,55,6,4:09.957,+7.154,+0.329,196.2,6,Graves Motorsport,992,,,Porsche 992 Cup,,,,,,,,,,,,Jonathan,BEESON,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,47,6,4:10.164,+7.361,+0.207,196.1,6,HRT Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,David,TAN,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,46,6,4:10.279,+7.476,+0.115,196.0,6,2B Autosport,992,,,Porsche 992 Cup,,,,,,,,,,,,César,VANDEWOESTINE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,52,6,4:10.323,+7.520,+0.044,196.0,6,Porsche Track Experience operated by Manthey,992,,,Porsche 992 Cup,,,,,,,,,,,,Joel,MONEGRO,,,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,32,6,4:10.749,+7.946,+0.426,195.6,6,NGT Racing BV,992,,,Porsche 992 Cup,,,,,,,,,,,,Graham,KING,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,94,6,4:11.265,+8.462,+0.516,195.2,6,Martinet by ALmeras,992,,,Porsche 992 Cup,,,,,,,,,,,,Cedric,MEZARD,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,6,4:11.448,+8.645,+0.183,195.1,6,GP Elite,992,,,Porsche 992 Cup,,,,,,,,,,,,Samer,SHAHIN,,,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,233,6,4:11.479,+8.676,+0.031,195.1,6,Laptime Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,Krahn,REINHOLD,,,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,888,6,4:11.738,+8.935,+0.259,194.9,6,Lajoux Racing,992,,,Porsche 992 Cup,,,,,,,,,,,,Stéphane,PERRIN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,72,3,4:12.286,+9.483,+0.548,194.4,6,Glinche Racing,GT4 RS,,,Porsche 718 GT4 RS,,,,,,,,,,,,Lucas,GLINCHE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,11,5,4:12.296,+9.493,+0.010,194.4,6,Racing Technology,992,,,Porsche 992 Cup,,,,,,,,,,,,Frédéric,LACORE,,,FRA,,,,,,,Richard,RENAULT,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,5,4:12.909,+10.106,+0.613,194.0,5,Autovitesse,GT4 RS,,,Porsche718 GT4 RS,,,,,,,,,,,,Franck,LEHERPEUR,,,FRA,,,,,,,Anthony,PLESSIS,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,6,4:13.176,+10.373,+0.267,193.8,6,Autovitesse,992,,,Porsche 992 Cup,,,,,,,,,,,,Guillaume,CHARPENTIER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20,4,4:13.472,+10.669,+0.296,193.5,6,GP Elite,992,,,Porsche 992 Cup,,,,,,,,,,,,Ziad,GERIS,,,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,37,5,4:13.958,+11.155,+0.486,193.2,6,HRT Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,Gregg,GORSKI,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,68,6,4:13.988,+11.185,+0.030,193.1,6,RSR PMZ,992,,,Porsche 992 Cup,,,,,,,,,,,,Pierre,MURER,,,FRA,,,,,,,Michael,ZIEGLER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,87,6,4:14.231,+11.428,+0.243,192.9,6,Speed Lover,992,,,Porsche 992 Cup,,,,,,,,,,,,Dominique,BASTIEN,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,39,5,4:14.993,+12.190,+0.762,192.4,6,HRT Performance,992,,,Porsche 992 Cup,,,,,,,,,,,,Axel,SARTINGEN,,,GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,25,5,4:15.460,+12.657,+0.467,192.0,6,Huber Racing,992,,,Porsche 992 Cup,,,,,,,,,,,,Marcelo,TOMASONI,,,BRA,,,,,,,Arthur,RAMOS,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,19,5,4:15.709,+12.906,+0.249,191.8,6,Racing Technology,992,,,Porsche 992 Cup,,,,,,,,,,,,Laurent,COCHARD,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,91,4,4:15.746,+12.943,+0.037,191.8,6,Martinet by ALmeras,992,,,Porsche 992 Cup,,,,,,,,,,,,Marc,CINI,,,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,13,6,4:15.875,+13.072,+0.129,191.7,6,911 Impact,992,,,Porsche 992 Cup,,,,,,,,,,,,Marc,VANWYNSBERGHE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,23,6,4:16.357,+13.554,+0.482,191.3,6,Mougins Autosport Racing,992,,,Porsche 992 Cup,,,,,,,,,,,,Anthony,VINCE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,992,3,4:16.716,+13.913,+0.359,191.1,6,Lajoux Racing,992,,,Porsche 992 Cup,,,,,,,,,,,,Michael,BLANCHEMAIN,,,FRA,,,,,,,Jérôme,DA COSTA,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,17,6,4:16.798,+13.995,+0.082,191.0,6,Schumacher IMSA,R,,,Porsche 997 GT3 R,,,,,,,,,,,,Michel,ETTOUATI,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,12,5,4:16.966,+14.163,+0.168,190.9,6,Rempp Racing,GT4 RS,,,Porsche 718 GT4 RS,,,,,,,,,,,,Laurent,NUSS,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,53,6,4:18.860,+16.057,+1.894,189.5,6,Autovitesse,GT4 RS,,,Porsche 718 GT4 RS,,,,,,,,,,,,Elie,DUBELLY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,85,5,4:19.144,+16.341,+0.284,189.3,6,CG Motorsport,GT4 RS,,,Porsche 718 GT4 RS,,,,,,,,,,,,Stéphane,GIRARDOT,,,FRA,,,,,,,Thierry,PROUST,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,96,4,4:20.287,+17.484,+1.143,188.5,6,Martinet by ALmeras,992,,,Porsche 992 Cup,,,,,,,,,,,,Adrian,D SILVA,,,MAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,75,4,4:20.356,+17.553,+0.069,188.4,5,Autovitesse,GT4 RS,,,Porsche 718 GT4,,,,,,,,,,,,Frédéric,JOHAIS,,,USA,,,,,,,Julien,PIGUET,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,62,5,4:21.356,+18.553,+1.000,187.7,6,Rempp Racing,GT4 RS,,,Porsche 718 GT4 RS,,,,,,,,,,,,Luc,REMMY,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,80,4,4:22.146,+19.343,+0.790,187.1,5,BMR,991,,,Porsche 991-2 Cup,,,,,,,,,,,,Marc,BOITHIOT,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,67,5,4:22.694,+19.891,+0.548,186.7,5,Riviera Motorsport,GT4 RS,,,Porsche 718 GT4 RS,,,,,,,,,,,,Jean Charles,CARMINATI,,,FRA,,,,,,,Julien,GOUJAT,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,82,5,4:24.264,+21.461,+1.570,185.6,6,GEMO Motorsport,GT4 RS,,,Porsche 718 GT4 RS,,,,,,,,,,,,Pierre,HIRSCHI,,,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,16,6,4:26.954,+24.151,+2.690,183.8,6,GDL Racing,992,,,Porsche 992 Cup,,,,,,,,,,,,Jim,MICHAELIAN,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,89,3,4:27.112,+24.309,+0.158,183.6,5,Speed Lover,992,,,Porsche 992 Cup,,,,,,,,,,,,Tiger,TARI,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
