POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,7,Classified,791,23:58:24.723,-,-,637,1:35.605,215.7,Porsche Penske Motorsports,GTP,,,Porsche 963,M,2190,200,44,193,112,3,,16590,,,Dane,Cameron,Platinum,,USA,,54,4,Platinum,,,Felipe,Nasr,Platinum,,BRA,,1598,2,Platinum,,,Matt,Campbell,Platinum,,AUS,,1791,1,Platinum,,,Josef,Newgarden,Platinum,,USA,,2982,3,Platinum,,,,,,,,,,,,,,,
2,31,Classified,791,23:58:26.835,+2.112,+2.112,777,1:35.554,215.9,Whelen Engineering Cadillac Racing,GTP,,,Cadillac V-Series.R,M,2399,344,44,200,7646,3,,16596,,,Pipo,Derani,Platinum,,BRA,,1083,3,Platinum,,,Jack,Aitken,Platinum,,GBR,,2986,4,Platinum,,,Tom,Blomqvist,Platinum,,MCO,,1718,2,Platinum,,,,,,,,,,,,,,,,,,,,,
3,40,Classified,791,23:58:39.712,+14.989,+12.877,774,1:35.971,214.9,Wayne Taylor Racing with Andretti,GTP,,,Acura ARX-06,M,2529,277,44,195,7641,3,,16595,,,Jordan,Taylor,Platinum,,USA,,13,1,Platinum,,,Louis,Deletraz,Gold,,CHE,,3171,2,Gold,,,Colton,Herta,Gold,,USA,,1602,3,Gold,,,Jenson,Button,Platinum,,GBR,,3167,4,Platinum,,,,,,,,,,,,,,,
4,6,Classified,791,23:58:40.110,+15.387,+0.398,693,1:35.885,215.1,Porsche Penske Motorsports,GTP,,,Porsche 963,M,2189,200,44,193,112,3,,16589,,,Nick,Tandy,Platinum,,GBR,,124,1,Platinum,,,Mathieu,Jaminet,Platinum,,LUX,,2707,2,Platinum,,,Kevin,Estre,Platinum,,FRA,,183,4,Platinum,,,Laurens,Vanthoor,Platinum,,BEL,,2727,3,Platinum,,,,,,,,,,,,,,,
5,5,Classified,791,23:59:09.202,+44.479,+29.092,638,1:35.715,215.5,Proton Competition Mustang Sampling,GTP,,,Porsche 963,M,2545,461,44,193,112,3,,16598,,,Gianmaria,Bruni,Platinum,,ITA,,22,1,Platinum,,,Neel,Jani,Platinum,,CHE,,1267,2,Platinum,,,Alessio,Picariello,Gold,,BEL,,1639,3,Gold,,,Romain,Dumas,Platinum,,FRA,,291,4,Platinum,,,,,,,,,,,,,,,
6,85,Classified,789,23:59:19.406,2 Laps,2 Laps,638,1:36.105,214.6,JDC-Miller MotorSports,GTP,,,Porsche 963,M,2538,15,44,193,112,3,,16597,,,Tijmen,van der Helm,Gold,,NLD,,2687,1,Gold,,,Richard,Westbrook,Platinum,,GBR,,3198,2,Platinum,,,Phil,Hanson,Gold,,GBR,,2754,3,Gold,,,Ben,Keating,Bronze,,USA,,378,4,Bronze,,,,,,,,,,,,,,,
7,25,Classified,778,23:59:03.365,13 Laps,11 Laps,651,1:36.053,214.7,BMW M Team RLL,GTP,,,BMW M Hybrid V8,M,2155,395,44,190,74,3,,16591,,,Connor,De Phillippi,Gold,,USA,,698,2,Gold,,,Nick,Yelloly,Platinum,,GBR,,2205,1,Platinum,,,Maxime,Martin,Platinum,,BEL,,360,3,Platinum,,,Rene,Rast,Platinum,,AUT,,674,4,Platinum,,,,,,,,,,,,,,,
8,24,Classified,776,23:59:20.969,15 Laps,2 Laps,763,1:36.139,214.5,BMW M Team RLL,GTP,,,BMW M Hybrid V8,M,2154,395,44,190,74,3,,16592,,,Jesse,Krohn,Gold,,FIN,,2414,2,Gold,,,Philipp,Eng,Platinum,,AUT,,883,1,Platinum,,,Augusto,Farfus,Platinum,,MCO,,701,4,Platinum,,,Dries,Vanthoor,Platinum,,BEL,,1786,3,Platinum,,,,,,,,,,,,,,,
9,18,Classified,767,23:59:46.247,24 Laps,9 Laps,755,1:39.460,207.4,Era Motorsport,LMP2,,,ORECA LMP2 07,M,761,291,28,85,7637,3,,16584,,,Dwight,Merriman,Bronze,,USA,,1930,1,Bronze,,,Ryan,Dalziel,Gold,,GBR,,192,2,Gold,,,Connor,Zilisch,Silver,,USA,,2624,3,Silver,,,Christian,Rasmussen,Gold,,DNK,,2966,4,Gold,,,,,,,,,,,,,,,
10,04,Classified,767,23:59:53.047,24 Laps,+6.800,683,1:39.392,207.5,Crowdstrike Racing by APR,LMP2,,,ORECA LMP2 07,M,2160,459,28,85,7637,3,,16580,,,George,Kurtz,Bronze,,USA,,1612,1,Bronze,,,Colin,Braun,Gold,,USA,,61,2,Gold,,,Toby,Sowery,Silver,,GBR,,3202,3,Silver,,,Malthe,Jakobsen,Gold,,DNK,,3224,4,Gold,,,,,,,,,,,,,,,
