POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,99,99 Racing,Ahmad AL HARTHY,Nikita MAZEPIN,Louis DELÉTRAZ,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:01'10.840,,,11,1'49.902,176.6,,
2,90,TF Sport,Salih YOLUC,Michael DINAN,Charlie EASTWOOD,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:01'12.697,1.857,1.857,10,1'49.815,176.7,,
3,30,Duqueine Team,John FALB,Carl Wattana BENNETT,Oliver RASMUSSEN,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:01'17.444,6.604,4.747,9,1'51.196,174.5,,
4,4,Crowdstrike Racing by APR,George KURTZ,Colin BRAUN,Malthe JAKOBSEN,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:01'40.371,29.531,22.927,28,1'52.216,172.9,,
5,83,AF Corse,François PERRODO,Matthieu VAXIVIERE,Alessio ROVERA,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:01'41.614,30.774,1.243,9,1'51.691,173.7,,
6,3,DKR Engineering,Alexander MATTSCHULL,Tom DILLMANN,Laurents HÖRR,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:01'41.919,31.079,0.305,8,1'51.713,173.7,,
7,25,Algarve Pro Racing,Chris MCMURRY,Freddie TOMLINSON,Toby SOWERY,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:01'47.186,36.346,5.267,21,1'53.036,171.7,,
8,22,Proton Competition,Giorgio RODA,Julien ANDLAUER,René BINDER,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:01'50.098,39.258,2.912,10,1'50.293,175.9,,
9,55,Proton Competition,PJ HYETT,Harry TINCKNELL,Paul Loup CHATIN,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:02'04.467,53.627,14.369,11,1'50.332,175.9,,
10,24,Nielsen Racing,Ian LOGGIE,Alejandro GARCIA,Will STEVENS,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:02'12.843,1'02.003,8.376,13,1'53.383,171.1,,
11,44,ARC Bratislava,Miro KONOPKA,Mathias BECHE,Jonas RIED,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:02'22.065,1'11.225,9.222,15,1'53.765,170.6,,
12,34,Nielsen Racing,Blake MCDONALD,Patrick LIDDY,Matthew BELL,,Oreca 07 - Gibson,M,LMP2,,,Classified,29,1:02'45.006,1'34.166,22.941,8,1'53.883,170.4,,
13,20,High Class Racing,Audunn GUDMUNDSSON,Anders FJORDBACH,Seth LUCAS,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,28,1:01'16.060,1 Laps,1 Laps,9,1'58.056,164.4,,
14,9,GetSpeed,Anthony BARTONE,Aaron WALKER,Martin KONRAD,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,28,1:02'15.478,1 Laps,59.418,10,2'00.784,160.7,,
15,27,Optimum Motorsport,Mark RADCLIFFE,Rob BELL,Oliver MILLROY,,McLaren 720S GT3,M,GT,,,Classified,28,1:02'22.013,1 Laps,6.535,6,2'00.980,160.4,,
16,88,Triple Eight,HH Prince Abdul RAHMAN IBRAHIM,Jordan LOVE,Luca STOLZ,,Mercedes-AMG GT3 EVO,M,GT,,,Classified,28,1:02'22.685,1 Laps,0.672,10,2'01.025,160.3,,
17,93,Project 1,Darren LEUNG,Christian BOGLE,Dan HARPER,,BMW M4 GT3,M,GT,,,Classified,28,1:02'24.830,1 Laps,2.145,10,2'01.156,160.2,,
