NUMBER, DRIVER_NUMBER, LAP_NUMBER, LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,TOP_SPEED,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,
17,3,1,6:41.612,0,,5:28.403,0,39.433,0,33.776,0,40.6,6:41.612,14:26:41.612,5:28.403,0:39.433,0:33.776,145.7,Ryan DALZIEL,0:04:58.505,LMP2,P/A,IDEC Sport,Oreca,
17,3,2,1:34.263,0,,27.023,0,35.572,2,31.668,0,178.5,8:15.875,14:28:15.875,0:27.023,0:35.572,0:31.668,280.3,Ryan DALZIEL,,LMP2,P/A,IDEC Sport,Oreca,
17,3,3,1:34.107,2,,26.941,0,35.761,0,31.405,2,178.8,9:49.982,14:29:49.982,0:26.941,0:35.761,0:31.405,282.5,Ryan DALZIEL,,LMP2,P/A,IDEC Sport,Oreca,
17,3,4,1:43.425,0,B,26.793,2,36.217,0,40.415,0,162.7,11:33.407,14:31:33.407,0:26.793,0:36.217,0:40.415,283.3,Ryan DALZIEL,,LMP2,P/A,IDEC Sport,Oreca,
21,2,1,5:22.086,0,,4:08.571,0,41.013,0,32.502,0,50.7,5:22.086,14:25:22.086,4:08.571,0:41.013,0:32.502,163.1,Ben HANLEY,0:03:35.732,LMP2,P/A,DragonSpeed USA,Oreca,
21,2,2,1:32.402,2,,26.387,0,35.089,0,30.926,2,182.1,6:54.488,14:26:54.488,0:26.387,0:35.089,0:30.926,277.4,Ben HANLEY,,LMP2,P/A,DragonSpeed USA,Oreca,
21,2,3,1:39.764,0,B,26.317,2,35.042,2,38.405,0,168.7,8:34.252,14:28:34.252,0:26.317,0:35.042,0:38.405,280.3,Ben HANLEY,,LMP2,P/A,DragonSpeed USA,Oreca,
22,1,1,3:10.758,0,,1:58.359,0,37.475,0,34.924,0,85.5,3:10.758,14:23:10.758,1:58.359,0:37.475,0:34.924,191.5,Phil HANSON,0:01:30.910,LMP2,,United Autosports,Oreca,
22,1,2,1:32.743,0,,26.444,0,35.284,0,31.015,2,181.5,4:43.501,14:24:43.501,0:26.444,0:35.284,0:31.015,279.6,Phil HANSON,,LMP2,,United Autosports,Oreca,
22,1,3,1:40.749,0,B,26.905,0,36.462,0,37.382,0,167.0,6:24.250,14:26:24.250,0:26.905,0:36.462,0:37.382,280.3,Phil HANSON,,LMP2,,United Autosports,Oreca,
