POSITION,NUMBER,TEAM,DRIVER_1,DRIVER_2,DRIVER_3,DRIVER_4,VEHICLE,TYRES,CLASS,GROUP,DIVISION,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,DRIVER_5,
1,28,IDEC Sport,Paul LAFARGUE,Paul Loup CHATIN,Patrick PILET,,Oreca 07 - Gibson,G,LMP2,,,Classified,55,2:00'00.152,,,40,1'40.589,207.3,,
2,37,COOL Racing,Nicolas LAPIERRE,Niklas KRUETTEN,Yifei YE,,Oreca 07 - Gibson,G,LMP2,,,Classified,55,2:00'03.216,3.064,3.064,23,1'40.344,207.8,,
3,9,Prema Racing,Lorenzo COLOMBO,Louis DELETRAZ,Ferdinand HABSBURG,,Oreca 07 - Gibson,G,LMP2,,,Classified,55,2:00'08.645,8.493,5.429,6,1'39.531,209.5,,
4,65,Panis Racing,Julien CANAL,Job VAN UITERT,Nicolas JAMIN,,Oreca 07 - Gibson,G,LMP2,,,Classified,55,2:00'11.775,11.623,3.130,45,1'41.063,206.4,,
5,22,United Autosports,Philip HANSON,Tom GAMBLE,Duncan TAPPY,,Oreca 07 - Gibson,G,LMP2,,,Classified,55,2:00'13.202,13.050,1.427,46,1'40.706,207.1,,
6,34,Racing Team Turkey,Salih YOLUC,Charlie EASTWOOD,Jack AITKEN,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,55,2:00'16.111,15.959,2.909,41,1'41.010,206.5,,
7,88,AF Corse,François PERRODO,Nicklas NIELSEN,Alessio ROVERA,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,55,2:00'35.341,35.189,19.230,35,1'40.456,207.6,,
8,47,Algarve Pro Racing,John FALB,James ALLEN,Alexander PERONI,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,55,2:00'42.160,42.008,6.819,54,1'40.902,206.7,,
9,43,Inter Europol Competition,David HEINEMEIER-HANSSON,Fabio SCHERER,Pietro FITTIPALDI,,Oreca 07 - Gibson,G,LMP2,,,Classified,55,2:00'52.564,52.412,10.404,6,1'41.144,206.2,,
10,19,Algarve Pro Racing,Sophia FLÖRSCH,Bent VISCAAL,,,Oreca 07 - Gibson,G,LMP2,,,Classified,55,2:00'53.281,53.129,0.717,4,1'40.209,208.1,,
11,35,BHK Motorsport,Francesco DRACONE,Markus POMMER,Sergio CAMPANA,,Oreca 07 - Gibson,G,LMP2,,,Classified,55,2:01'02.166,1'02.014,8.885,40,1'41.319,205.8,,
12,24,Nielsen Racing,Rodrigo SALES,Matthew BELL,Ben HANLEY,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,55,2:01'02.653,1'02.501,0.487,39,1'41.426,205.6,,
13,21,Mühlner Motorsport,Matthias KAISER,Thomas LAURENT,Ugo DE WILDE,,Oreca 07 - Gibson,G,LMP2,,,Classified,55,2:01'04.209,1'04.057,1.556,37,1'41.040,206.4,,
14,31,TDS Racing x Vaillante,Philippe CIMADOMO,Mathias BECHE,Tijmen VAN DER HELM,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,55,2:01'32.345,1'32.193,28.136,40,1'40.925,206.6,,
15,51,Team Virage,Rob HODES,Gabriel AUBRY,Jazeman JAAFAR,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,55,2:01'33.683,1'33.531,1.338,41,1'41.256,206.0,,
16,13,Inter Europol Competition,Nicolas PINO,Charles CREWS,Guilherme OLIVEIRA,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,54,2:01'03.267,1 Laps,1 Laps,8,1'47.114,194.7,,
17,6,360 Racing,Terrence WOODWARD,Ross KAISER,Mark RICHARDS,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,54,2:01'16.674,1 Laps,13.407,37,1'47.460,194.1,,
18,2,United Autosports,Bailey VOISIN,Joshua CAYGILL,Finn GEHRSITZ,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,53,2:00'02.497,2 Laps,1 Laps,7,1'47.727,193.6,,
19,5,RLR MSport,Michael JENSEN,Nick ADCOCK,Alex KAPADIA,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,53,2:00'04.776,2 Laps,2.279,6,1'48.240,192.7,,
20,27,COOL Racing,Nicolas MAULINI,Jean-Ludovic FOUBERT,Antoine DOQUIN,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,53,2:00'05.601,2 Laps,0.825,26,1'46.999,194.9,,
21,40,Graff Racing,Eric TROUILLET,Sébastien PAGE,David DROUX,,Oreca 07 - Gibson,G,LMP2,P/A,,Classified,53,2:00'08.512,2 Laps,2.911,23,1'42.798,202.9,,
22,4,DKR Engineering,James WINSLOW,Alexander BUKHANTSOV,Sebastian ALVAREZ,,Duqueine M30 - D08 - Nissan,M,LMP3,,,Classified,53,2:00'11.359,2 Laps,2.847,49,1'47.428,194.1,,
23,10,Eurointernational,Glenn VAN BERLO,Xavier LLOVERAS,Adrien CHILA,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,53,2:00'17.577,2 Laps,6.218,51,1'47.315,194.3,,
24,11,Eurointernational,Max KOEBOLT,Jérome DE SADELEER,,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,53,2:00'46.449,2 Laps,28.872,51,1'47.059,194.8,,
25,77,Proton Competition,Christian RIED,Lorenzo FERRARI,Gianmaria BRUNI,,Porsche 911 RSR - 19,G,LMGTE,,,Classified,52,2:00'10.373,3 Laps,1 Laps,51,1'50.017,189.6,,
26,83,Iron Lynx,Rahel FREY,Michelle GATTING,Sarah BOVY,,Ferrari 488 GTE Evo,G,LMGTE,,,Classified,52,2:00'16.222,3 Laps,5.849,49,1'50.077,189.5,,
27,18,Absolute Racing,Andrew HARYANTO,Martin RUMP,Alessio PICARIELLO,,Porsche 911 RSR - 19,G,LMGTE,,,Classified,52,2:00'32.661,3 Laps,16.439,51,1'49.661,190.2,,
28,66,JMW Motorsport,Giacomo PETROBELLI,Sean HUDSPETH,Matthew PAYNE,,Ferrari 488 GTE Evo,G,LMGTE,,,Classified,52,2:00'36.738,3 Laps,4.077,7,1'51.094,187.7,,
29,32,Rinaldi Racing,Pierre EHRET,Nicolas VARRONE,Gabriele LANCIERI,,Ferrari 488 GTE Evo,G,LMGTE,,,Classified,52,2:00'47.363,3 Laps,10.625,50,1'50.029,189.5,,
30,57,Kessel Racing,Takeshi KIMURA,Frederik SCHANDORFF,Mikkel JENSEN,,Ferrari 488 GTE Evo,G,LMGTE,,,Classified,52,2:01'01.930,3 Laps,14.567,50,1'49.508,190.4,,
31,55,Spirit of Race,Duncan CAMERON,Matthew GRIFFIN,David PEREL,,Ferrari 488 GTE Evo,G,LMGTE,,,Classified,52,2:01'04.110,3 Laps,2.180,42,1'51.266,187.4,,
32,69,Oman Racing with TF Sport,Ahmad AL HARTHY,Marco SORENSEN,Samuel DE HAAN,,Aston Martin Vantage AMR,G,LMGTE,,,Classified,52,2:01'16.659,3 Laps,12.549,50,1'51.893,186.4,,
33,60,Iron Lynx,Claudio SCHIAVONI,Matteo CRESSONI,Davide RIGON,,Ferrari 488 GTE Evo,G,LMGTE,,,Classified,52,2:01'21.292,3 Laps,4.633,50,1'50.651,188.5,,
34,33,Rinaldi Racing,Christian HOOK,Fabrizio CRESTANI,Jeroen BLEEKEMOLEN,,Ferrari 488 GTE Evo,G,LMGTE,,,Classified,51,2:00'15.709,4 Laps,1 Laps,49,1'51.227,187.5,,
35,7,Nielsen Racing,Anthony WELLS,James LITTLEJOHN,,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,51,2:00'22.260,4 Laps,6.551,51,1'47.647,193.7,,
36,95,Oman Racing with TF Sport,John HARTSHORNE,Henrique CHAVES,Jonathan ADAM,,Aston Martin Vantage AMR,G,LMGTE,,,Classified,50,1:59'52.533,5 Laps,1 Laps,42,1'50.772,188.3,,
37,17,COOL Racing,Maurice SMITH,Michael BENHAM,Malthe JAKOBSEN,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,44,1:38'25.183,11 Laps,6 Laps,7,1'47.701,193.6,,
38,3,United Autosports,James MCGUIRE,Kay VAN BERLO,Andrew BENTLEY,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,26,56'55.152,29 Laps,18 Laps,25,1'52.542,185.3,,
39,14,Inter Europol Competition,James DAYSON,Mateusz KAPRZYK,Noam ABRAMCZYK,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,15,31'34.595,40 Laps,11 Laps,9,1'48.287,192.6,,
40,30,Duqueine Team,Memo ROJAS,Reshad DE GERUS,Richard BRADLEY,,Oreca 07 - Gibson,G,LMP2,,,Classified,10,17'37.189,45 Laps,5 Laps,6,1'41.484,205.5,,
41,93,Proton Competition,Michael FASSBENDER,Zacharie ROBICHON,Richard LIETZ,,Porsche 911 RSR - 19,G,LMGTE,,,Classified,8,15'19.954,47 Laps,2 Laps,3,1'52.622,185.2,,
42,15,RLR MSport,Horst FELBERMAYR JR,Valentino CATALANO,Austin MCCUSKER,,Ligier JS P320 - Nissan,M,LMP3,,,Classified,2,4'06.883,53 Laps,6 Laps,,,,,
