POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,88,6,1:41.403,-,-,205.7,16,AF Corse,LMP2,P/A,,Oreca 07 - Gibson,G,64266,4230,3,5626,256,119,,,,,François,PERRODO,B,,FRA,,260,70,,,Min 01:00:00,Nicklas,NIELSEN,G,,DNK,,9432,57,,,Min 01:00:00,Alessio,ROVERA,G,,ITA,,9837,119,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
2,34,9,1:41.674,+0.271,+0.271,205.1,16,Racing Team Turkey,LMP2,P/A,,Oreca 07 - Gibson,G,64248,6058,3,5626,256,240,,,,,Salih,YOLUC,B,,TUR,,1346,240,,,Min 01:00:00,Charlie,EASTWOOD,G,,IRL,,9016,116,,,Min 01:00:00,Jack,AITKEN,G,,GBR,,10508,188,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
3,47,8,1:41.902,+0.499,+0.228,204.7,17,Algarve Pro Racing,LMP2,P/A,,Oreca 07 - Gibson,G,64254,92,3,5626,256,184,,,,,John,FALB,B,,USA,,1536,66,,,Min 01:00:00,James,ALLEN,G,,AUS,,8384,16,,,Min 01:00:00,Alexander,PERONI,G,,AUS,,10304,16,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
4,24,11,1:42.070,+0.667,+0.168,204.3,17,Nielsen Racing,LMP2,P/A,,Oreca 07 - Gibson,G,64240,5670,3,6055,256,188,,,,,Rodrigo,SALES,B,,USA,,9754,66,,,Min 01:00:00,Matthew,BELL,S,,GBR,,204,188,,,Min 01:00:00,Ben,HANLEY,G,,GBR,,1972,188,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
5,40,5,1:42.321,+0.918,+0.251,203.8,16,Graff Racing,LMP2,P/A,,Oreca 07 - Gibson,G,64252,4378,3,5626,256,70,,,,,Eric,TROUILLET,B,,FRA,,1542,70,,,Min 01:00:00,Sébastien,PAGE,B,,CHE,,9545,219,,,Min 01:00:00,David,DROUX,G,,CHE,,1612,219,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
6,31,13,1:42.651,+1.248,+0.330,203.2,17,TDS Racing x Vaillante,LMP2,P/A,,Oreca 07 - Gibson,G,64245,116,3,5626,256,70,,,,,Philippe,CIMADOMO,B,,FRA,,8818,70,,,Min 01:00:00,Mathias,BECHE,G,,FRA,,151,70,,,Min 01:00:00,Tijmen,VAN DER HELM,S,,NLD,,10228,178,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
7,51,16,1:43.497,+2.094,+0.846,201.5,16,Team Virage,LMP2,P/A,,Oreca 07 - Gibson,G,64255,5892,3,5626,256,181,,,,,Rob,HODES,B,,USA,,9392,66,,,Min 01:00:00,Gabriel,AUBRY,G,,FRA,,9173,70,,,Min 01:00:00,Jazeman,JAAFAR,G,,MYS,,9056,142,,,Min 01:00:00,,,,,,,,,,,,,,,,,,,
8,7,6,1:46.121,+4.718,+2.624,196.5,14,Nielsen Racing,LMP3,,,Ligier JS P320 - Nissan,M,64228,5670,6,5981,258,188,,,,,Anthony,WELLS,B,,GBR,,582,188,,,Min 01:45:00,James,LITTLEJOHN,S,,GBR,,580,188,,,None,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,5,1:46.372,+4.969,+0.251,196.1,13,DKR Engineering,LMP3,,,Duqueine M30 - D08 - Nissan,M,64225,49,6,5979,4408,138,,,,,James,WINSLOW,S,,GBR,,320,188,,,,Alexander,BUKHANTSOV,B,,ARE,,10453,61,,,Min 00:50:00,Sebastian,ALVAREZ,S,,MEX,,10425,151,,,None,,,,,,,,,,,,,,,,,,,
10,13,9,1:46.374,+4.971,+0.002,196.1,16,Inter Europol Competition,LMP3,,,Ligier JS P320 - Nissan,M,64232,402,6,5981,258,181,,,,,Nicolas,PINO,S,,GBR,,10281,188,,,None,Charles,CREWS,B,,USA,,9739,66,,,Min 01:45:00,Guilherme,OLIVEIRA,S,,PRT,,10292,184,,,None,,,,,,,,,,,,,,,,,,,
