POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,35,9,1:30.898,-,-,194.4,47,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,106284,6360,,6237,21,,,,ALPINE,,Antonio,Felix da Costa,P,,POR,FDC,9024,,,,,Charles,Milesi,G,,FRA,,9594,,,,,Ferdinand,Habsburg,G,,AUT,,10000,,,,,,,,,,,,,,,,,,,,,,,
2,7,7,1:31.012,+0.114,+0.114,194.2,53,Toyota Racing,HYPERCAR,,,Toyota TR010 Hybrid,M,106269,4,,6293,2,,,,TOYOTA RACING,,Michael,Conway,P,,GBR,,215,,,,,Kamui,Kobayashi,P,,JPN,,210,,,,,Nick,de Vries,P,,NED,DEV,9152,,,,,,,,,,,,,,,,,,,,,,,
3,50,10,1:31.036,+0.138,+0.024,194.1,49,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,106287,6293,,6192,3,,,,FERRARI AF CORSE,,Antonio,Fuoco,P,,ITA,,10091,,,,,Miguel,Molina,P,,ESP,,8526,,,,,Nicklas,Nielsen,P,,DEN,,9432,,,,,,,,,,,,,,,,,,,,,,,
4,51,10,1:31.087,+0.189,+0.051,194.0,52,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,106288,6293,,6192,3,,,,FERRARI AF CORSE,,Alessandro,Pier Guidi,P,,ITA,PGU,340,,,,,James,Calado,P,,GBR,,300,,,,,Antonio,Giovinazzi,P,,ITA,,1976,,,,,,,,,,,,,,,,,,,,,,,
5,94,5,1:31.225,+0.327,+0.138,193.7,47,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,106302,6151,,6112,4014,,,,PEUGEOT TE,,Loic,Duval,P,,FRA,,14,,,,,Malthe,Jakobsen,G,,DEN,,9610,,,,,Theo,Pourchaire,P,,FRA,,11672,,,,,,,,,,,,,,,,,,,,,,,
6,20,7,1:31.354,+0.456,+0.129,193.4,50,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,106277,6359,,6276,4354,,,,BMW M TEAM WRT,,Robin,Frijns,P,,NED,,9871,,,,,Rene,Rast,P,,GER,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,83,9,1:31.380,+0.482,+0.026,193.4,45,AF Corse,HYPERCAR,,,Ferrari 499P,M,106296,16,,6192,3,,,,AF CORSE,,Yifei,Ye,G,,CHN,,10068,,,,,Robert,Kubica,P,,POL,,8438,,,,,Philip,Hanson,G,,GBR,,1946,,,,,,,,,,,,,,,,,,,,,,,
8,007,13,1:31.432,+0.534,+0.052,193.3,50,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,106268,6427,,6273,260,,,,ASTON MARTIN,,Harry,Tincknell,P,,GBR,,303,,,,,Thomas,Gamble,G,,GBR,,9549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,36,8,1:31.538,+0.640,+0.106,193.1,46,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,106285,6360,,6237,21,,,,ALPINE,,Frederic,Makowiecki,P,,FRA,,61,,,,,Jules,Gounon,P,,FRA,,9500,,,,,Victor,Martins,G,,FRA,,11671,,,,,,,,,,,,,,,,,,,,,,,
10,8,6,1:31.555,+0.657,+0.017,193.0,52,Toyota Racing,HYPERCAR,,,Toyota TR010 Hybrid,M,106270,4,,6293,2,,,,TOYOTA RACING,,Sebastien,Buemi,P,,SUI,,138,,,,,Brendon,Hartley,P,,NZL,,152,,,,,Ryo,Hirakawa,P,,JPN,,8166,,,,,,,,,,,,,,,,,,,,,,,
11,38,7,1:31.645,+0.747,+0.090,192.8,54,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,106286,6429,,6203,4097,,,,CADILLAC HTJ,,Earl,Bamber,P,,NZL,,1290,,,,,Sebastien,Bourdais,P,,FRA,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15,7,1:31.853,+0.955,+0.208,192.4,40,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,106274,6359,,6276,4354,,,,BMW M TEAM WRT,,Kevin,Magnussen,P,,DEN,,10211,,,,,Raffaele,Marciello,P,,SUI,,10402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,93,7,1:31.857,+0.959,+0.004,192.4,38,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,106301,6151,,6112,4014,,,,PEUGEOT TE,,Paul,di Resta,P,,GBR,DIR,9293,,,,,Stoffel,Vandoorne,P,,BEL,,9520,,,,,Nicholas,Cassidy,P,,NZL,,9714,,,,,,,,,,,,,,,,,,,,,,,
14,12,6,1:31.882,+0.984,+0.025,192.3,54,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,106273,6429,,6203,4097,,,,CADILLAC HTJ,,William,Stevens,P,,GBR,,1882,,,,,Norman,Nato,G,,FRA,,9032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,009,14,1:31.954,+1.056,+0.072,192.2,41,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,106271,6427,,6273,260,,,,ASTON MARTIN,,Alexander,Riberas,G,,ESP,,10376,,,,,Marco,Sorensen,P,,DEN,,7812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,7,1:32.287,+1.389,+0.333,191.5,50,Genesis Magma Racing,HYPERCAR,,,Genesis GMR-001-Hypercar,M,106275,7119,,6291,4452,,,,GENESIS MAGMA,,Andre,Lotterer,P,,GER,,7,,,,,Luis,Felipe Derani,P,,BRA,,524,,,,,Mathys,Jaubert,S,,FRA,,10748,,,,,,,,,,,,,,,,,,,,,,,
17,19,3,1:32.830,+1.932,+0.543,190.4,50,Genesis Magma Racing,HYPERCAR,,,Genesis GMR-001-Hypercar,M,106276,7119,,6291,4452,,,,GENESIS MAGMA,,Mathieu,Jaminet,P,,FRA,,9415,,,,,Paul-Loup,Chatin,G,,FRA,,313,,,,,Daniel,Juncadella,P,,ESP,,11275,,,,,,,,,,,,,,,,,,,,,,,
18,23,41,1:42.081,+11.183,+9.251,173.1,44,Heart of Racing Team,LMGT3,,,Aston Martin Vantage AMR LMGT3,G,106279,6366,,6242,260,,,,HEART OF RACING,,Gray,Newell,B,,USA,,11466,,,,,Kobe,Pauwels,S,,BEL,,43858,,,,,Jonny,Adam,P,,GBR,,194,,,,,,,,,,,,,,,,,,,,,,,
