POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,50,6,1:30.370,-,-,195.6,37,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,106287,6293,,6192,3,,,,FERRARI AF CORSE,,Antonio,Fuoco,P,,ITA,,10091,,,,,Miguel,Molina,P,,ESP,,8526,,,,,Nicklas,Nielsen,P,,DEN,,9432,,,,,,,,,,,,,,,,,,,,,,,
2,51,8,1:30.693,+0.323,+0.323,194.9,29,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,106288,6293,,6192,3,,,,FERRARI AF CORSE,,Alessandro,Pier Guidi,P,,ITA,PGU,340,,,,,James,Calado,P,,GBR,,300,,,,,Antonio,Giovinazzi,P,,ITA,,1976,,,,,,,,,,,,,,,,,,,,,,,
3,35,7,1:30.712,+0.342,+0.019,194.8,31,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,106284,6360,,6237,21,,,,ALPINE,,Antonio,Felix da Costa,P,,POR,FDC,9024,,,,,Charles,Milesi,G,,FRA,,9594,,,,,Ferdinand,Habsburg,G,,AUT,,10000,,,,,,,,,,,,,,,,,,,,,,,
4,83,8,1:30.894,+0.524,+0.182,194.4,32,AF Corse,HYPERCAR,,,Ferrari 499P,M,106296,16,,6192,3,,,,AF CORSE,,Yifei,Ye,G,,CHN,,10068,,,,,Robert,Kubica,P,,POL,,8438,,,,,Philip,Hanson,G,,GBR,,1946,,,,,,,,,,,,,,,,,,,,,,,
5,7,6,1:30.946,+0.576,+0.052,194.3,33,Toyota Racing,HYPERCAR,,,Toyota TR010 Hybrid,M,106269,4,,6293,2,,,,TOYOTA RACING,,Michael,Conway,P,,GBR,,215,,,,,Kamui,Kobayashi,P,,JPN,,210,,,,,Nick,de Vries,P,,NED,DEV,9152,,,,,,,,,,,,,,,,,,,,,,,
6,12,9,1:31.121,+0.751,+0.175,193.9,35,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,106273,6429,,6203,4097,,,,CADILLAC HTJ,,William,Stevens,P,,GBR,,1882,,,,,Norman,Nato,G,,FRA,,9032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,6,1:31.254,+0.884,+0.133,193.7,30,Toyota Racing,HYPERCAR,,,Toyota TR010 Hybrid,M,106270,4,,6293,2,,,,TOYOTA RACING,,Sebastien,Buemi,P,,SUI,,138,,,,,Brendon,Hartley,P,,NZL,,152,,,,,Ryo,Hirakawa,P,,JPN,,8166,,,,,,,,,,,,,,,,,,,,,,,
8,38,7,1:31.295,+0.925,+0.041,193.6,30,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,106286,6429,,6203,4097,,,,CADILLAC HTJ,,Earl,Bamber,P,,NZL,,1290,,,,,Sebastien,Bourdais,P,,FRA,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,6,1:31.343,+0.973,+0.048,193.5,15,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,106274,6359,,6276,4354,,,,BMW M TEAM WRT,,Kevin,Magnussen,P,,DEN,,10211,,,,,Raffaele,Marciello,P,,SUI,,10402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,94,6,1:31.415,+1.045,+0.072,193.3,29,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,106302,6151,,6112,4014,,,,PEUGEOT TE,,Loic,Duval,P,,FRA,,14,,,,,Malthe,Jakobsen,G,,DEN,,9610,,,,,Theo,Pourchaire,P,,FRA,,11672,,,,,,,,,,,,,,,,,,,,,,,
