POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,*Extra 1,EVO Team Id,*Extra 3,EVO Car Id,EVO Brand Id,*Extra 6,*Extra 7,*Extra 8,Team Short Key,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_EVO Driver Id,DRIVER1_*Extra 2,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_EVO Driver Id,DRIVER2_*Extra 2,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_EVO Driver Id,DRIVER3_*Extra 2,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_EVO Driver Id,DRIVER4_*Extra 2,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_EVO Driver Id,DRIVER5_*Extra 2,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_EVO Driver Id,DRIVER6_*Extra 2,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,50,8,1:31.177,-,-,193.8,93,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,,6293,,6192,3,,,,FERRARI AF CORSE,,Antonio,Fuoco,P,,ITA,,10091,,,,,Miguel,Molina,P,,ESP,,8526,,,,,Nicklas,Nielsen,P,,DEN,,9432,,,,,,,,,,,,,,,,,,,,,,,
2,83,18,1:31.303,+0.126,+0.126,193.6,97,AF Corse,HYPERCAR,,,Ferrari 499P,M,,16,,6192,3,,,,AF CORSE,,Yifei,Ye,G,,CHN,,10068,,,,,Robert,Kubica,P,,POL,,8438,,,,,Philip,Hanson,G,,GBR,,1946,,,,,,,,,,,,,,,,,,,,,,,
3,51,9,1:31.375,+0.198,+0.072,193.4,96,Ferrari AF Corse,HYPERCAR,,,Ferrari 499P,M,,6293,,6192,3,,,,FERRARI AF CORSE,,Alessandro,Pier Guidi,P,,ITA,,340,,,,,James,Calado,P,,GBR,,300,,,,,Antonio,Giovinazzi,P,,ITA,,1976,,,,,,,,,,,,,,,,,,,,,,,
4,20,53,1:31.709,+0.532,+0.334,192.7,116,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,,6359,,6276,4354,,,,BMW M TEAM WRT,,Robin,Frijns,P,,NED,,9871,,,,,Rene,Rast,P,,GER,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,36,39,1:31.872,+0.695,+0.163,192.4,105,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,,6360,,6237,21,,,,ALPINE,,Frederic,Makowiecki,P,,FRA,,61,,,,,Jules,Gounon,P,,FRA,,9500,,,,,Victor,Martins,G,,FRA,,11671,,,,,,,,,,,,,,,,,,,,,,,
6,35,13,1:31.876,+0.699,+0.004,192.4,99,Alpine Endurance Team,HYPERCAR,,,Alpine A424,M,,6360,,6237,21,,,,ALPINE,,Antonio,Felix da Costa,P,,POR,,9024,,,,,Charles,Milesi,G,,FRA,,9594,,,,,Ferdinand,Habsburg,G,,AUT,,10000,,,,,,,,,,,,,,,,,,,,,,,
7,94,8,1:32.106,+0.929,+0.230,191.9,127,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,,6151,,6112,4014,,,,PEUGEOT TE,,Loic,Duval,P,,FRA,,14,,,,,Malthe,Jakobsen,G,,DEN,,9610,,,,,Theo,Pourchaire,P,,FRA,,11672,,,,,,,,,,,,,,,,,,,,,,,
8,15,65,1:32.204,+1.027,+0.098,191.7,105,BMW M Team WRT,HYPERCAR,,,BMW M Hybrid V8,M,,6359,,6276,4354,,,,BMW M TEAM WRT,,Kevin,Magnussen,P,,DEN,,10211,,,,,Raffaele,Marciello,P,,SUI,,10402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,17,1:32.409,+1.232,+0.205,191.2,117,Toyota Racing,HYPERCAR,,,Toyota TR010 Hybrid,M,,4,,6293,2,,,,TOYOTA RACING,,Sebastien,Buemi,P,,SUI,,138,,,,,Brendon,Hartley,P,,NZL,,152,,,,,Ryo,Hirakawa,P,,JPN,,8166,,,,,,,,,,,,,,,,,,,,,,,
10,93,4,1:32.468,+1.291,+0.059,191.1,138,Peugeot Totalenergies,HYPERCAR,,,Peugeot 9X8,M,,6151,,6112,4014,,,,PEUGEOT TE,,Paul,di Resta,P,,GBR,,9293,,,,,Stoffel,Vandoorne,P,,BEL,,9520,,,,,Nicholas,Cassidy,P,,NZL,,9714,,,,,,,,,,,,,,,,,,,,,,,
11,7,13,1:32.487,+1.310,+0.019,191.1,142,Toyota Racing,HYPERCAR,,,Toyota TR010 Hybrid,M,,4,,6293,2,,,,TOYOTA RACING,,Michael,Conway,P,,GBR,,215,,,,,Kamui,Kobayashi,P,,JPN,,210,,,,,Nick,de Vries,P,,NED,,9152,,,,,,,,,,,,,,,,,,,,,,,
12,007,53,1:32.593,+1.416,+0.106,190.9,53,Aston Martin Thor Team,HYPERCAR,,,Aston Martin Valkyrie,M,,6427,,6273,260,,,,ASTON MARTIN,,Harry,Tincknell,P,,GBR,,303,,,,,Thomas,Gamble,G,,GBR,,9549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,38,25,1:32.613,+1.436,+0.020,190.8,119,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,,6429,,6203,4097,,,,CADILLAC HTJ,,Earl,Bamber,P,,NZL,,1290,,,,,Sebastien,Bourdais,P,,FRA,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,11,1:32.937,+1.760,+0.324,190.2,96,Cadillac Hertz Team Jota,HYPERCAR,,,Cadillac V-Series.R,M,,6429,,6203,4097,,,,CADILLAC HTJ,,William,Stevens,P,,GBR,,1882,,,,,Norman,Nato,G,,FRA,,9032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19,10,1:33.618,+2.441,+0.681,188.8,98,Genesis Magma Racing,HYPERCAR,,,Genesis GMR-001-Hypercar,M,,7119,,6291,4452,,,,GENESIS MAGMA,,Mathieu,Jaminet,P,,FRA,,9415,,,,,Paul-Loup,Chatin,G,,FRA,,313,,,,,Daniel,Juncadella,P,,ESP,,11275,,,,,,,,,,,,,,,,,,,,,,,
16,17,47,1:33.707,+2.530,+0.089,188.6,106,Genesis Magma Racing,HYPERCAR,,,Genesis GMR-001-Hypercar,M,,7119,,6291,4452,,,,GENESIS MAGMA,,Andre,Lotterer,P,,GER,,7,,,,,Luis,Felipe Derani,P,,BRA,,524,,,,,Mathys,Jaubert,S,,FRA,,10748,,,,,,,,,,,,,,,,,,,,,,,
17,27,43,1:42.698,+11.521,+8.991,172.1,86,Heart of Racing Team,LMGT3,,,Aston Martin Vantage AMR LMGT3,G,,6366,,6242,260,,,,HEART OF RACING,,Ian,James,B,,USA,,6531,,,,,Zacharie,Robichon,S,,CAN,,10636,,,,,Mattia,Drudi,P,,ITA,,9323,,,,,,,,,,,,,,,,,,,,,,,
18,21,56,1:42.749,+11.572,+0.051,172.0,64,Vista AF Corse,LMGT3,,,Ferrari 296 LMGT3 Evo,G,,6367,,6289,3,,,,VISTA AF CORSE,,Francois,Heriau,B,,FRA,,1630,,,,,Simon,Mann,S,,GBR,,10161,,,,,Alessio,Rovera,P,,ITA,,9837,,,,,,,,,,,,,,,,,,,,,,,
19,10,47,1:42.814,+11.637,+0.065,171.9,78,Garage 59,LMGT3,,,McLaren 720S LMGT3 Evo,G,,5770,,6249,60,,,,GARAGE 59,,Antares,AU,B,,HKG,,10412,,,,,Thomas,Fleming,S,,GBR,,11651,,,,,Marvin,Kirchhofer,P,,GER,,10411,,,,,,,,,,,,,,,,,,,,,,,
20,34,50,1:42.826,+11.649,+0.012,171.9,82,Racing Team Turkey by TF,LMGT3,,,Corvette Z06 LMGT3.R,G,,7261,,6244,4230,,,,RTT BY TF,,Peter,Dempsey,B,,IRL,,43215,,,,,Salih,Yoluc,S,,TUR,,1346,,,,,Charles,Eastwood,G,,IRL,,9016,,,,,,,,,,,,,,,,,,,,,,,
21,33,30,1:42.876,+11.699,+0.050,171.8,79,TF Sport,LMGT3,,,Corvette Z06 LMGT3.R,G,,364,,6244,4230,,,,TF SPORT,,Blake,McDonald,B,,USA,,11370,,,,,Jonny,Edgar,S,,GBR,,11280,,,,,Nicky,Catsburg,P,,NED,,9020,,,,,,,,,,,,,,,,,,,,,,,
22,69,44,1:42.959,+11.782,+0.083,171.6,116,Team WRT,LMGT3,,,BMW M4 LMGT3 Evo,G,,5518,,6290,4354,,,,TEAM WRT,,Anthony,McIntosh,B,,USA,,11538,,,,,Parker,Thompson,S,,CAN,,11770,,,,,Daniel,Harper,P,,GBR,,43294,,,,,,,,,,,,,,,,,,,,,,,
23,61,71,1:43.051,+11.874,+0.092,171.5,73,Iron Lynx,LMGT3,,,Mercedes-AMG LMGT3,G,,5979,,6272,4314,,,,IRON LYNX,,Martin,Berry,B,,AUS,,10878,,,,,Rui,Andrade,S,,ANG,,9873,,,,,Maxime,Martin,P,,BEL,,157,,,,,,,,,,,,,,,,,,,,,,,
24,32,5,1:43.078,+11.901,+0.027,171.4,91,Team WRT,LMGT3,,,BMW M4 LMGT3 Evo,G,,5518,,6290,4354,,,,TEAM WRT,,Darren,Leung,B,,GBR,,11277,,,,,Sean,Galael,S,,INA,,1968,,,,,Augusto,Farfus,P,,BRA,,9022,,,,,,,,,,,,,,,,,,,,,,,
25,58,46,1:43.098,+11.921,+0.020,171.4,83,Garage 59,LMGT3,,,McLaren 720S LMGT3 Evo,G,,5770,,6249,60,,,,GARAGE 59,,Alexander,West,B,,SWE,,8800,,,,,Finn,Gehrsitz,S,,GER,,10113,,,,,Benjamin,Goethe,G,,DEN,,10156,,,,,,,,,,,,,,,,,,,,,,,
26,54,13,1:43.142,+11.965,+0.044,171.3,51,Vista AF Corse,LMGT3,,,Ferrari 296 LMGT3 Evo,G,,6367,,6289,3,,,,VISTA AF CORSE,,Thomas,Flohr,B,,SUI,,454,,,,,Francesco,Castellacci,S,,MON,,456,,,,,Davide,Rigon,P,,ITA,,266,,,,,,,,,,,,,,,,,,,,,,,
27,23,61,1:43.224,+12.047,+0.082,171.2,83,Heart of Racing Team,LMGT3,,,Aston Martin Vantage AMR LMGT3,G,,6366,,6242,260,,,,HEART OF RACING,,Gray,Newell,B,,USA,,11466,,,,,Kobe,Pauwels,S,,BEL,,43858,,,,,Jonny,Adam,P,,GBR,,194,,,,,,,,,,,,,,,,,,,,,,,
28,92,20,1:43.312,+12.135,+0.088,171.1,116,The Bend Manthey,LMGT3,,,Porsche 911 GT3 R LMGT3,G,,7241,,6250,4368,,,,THEBEND MANTHEY,,Yasser,Shahin,B,,AUS,,10844,,,,,Riccardo,Pera,S,,ITA,,9187,,,,,Richard,Lietz,P,,AUT,,66,,,,,,,,,,,,,,,,,,,,,,,
29,87,28,1:43.465,+12.288,+0.153,170.8,43,Akkodis ASP Team,LMGT3,,,Lexus RC F LMGT3,G,,6361,,6248,4443,,,,AKKODIS ASP,,Petru,Umbrarescu,B,,ROU,,11848,,,,,Clemens,Schmid,S,,AUT,,11594,,,,,Jose,Maria Lopez,P,,ARG,,8418,,,,,,,,,,,,,,,,,,,,,,,
30,77,6,1:43.627,+12.450,+0.162,170.5,47,Proton Competition,LMGT3,,,Ford Mustang LMGT3,G,,45,,6246,268,,,,PROTON,,Eric,Powell,B,,USA,,43255,,,,,Benjamin,Tuck,S,,GBR,,10972,,,,,Sebastian,Priaulx,G,,GBR,,10539,,,,,,,,,,,,,,,,,,,,,,,
31,91,61,1:43.776,+12.599,+0.149,170.3,123,Manthey DK Engineering,LMGT3,,,Porsche 911 GT3 R LMGT3,G,,7240,,6250,4368,,,,MANTHEY DK ENG,,James,Cottingham,B,,GBR,,8246,,,,,Timur,Boguslavskiy,S,,,,8872,,,,,Ayhancan,Guven,P,,TUR,,10900,,,,,,,,,,,,,,,,,,,,,,,
