17,23,17,2:20.130,+18.703,+0.927,139.2,17,,GT2,GT2,Grp2/4,Porsche 930 Turbo Gr.IV 1979,,,,,,,,,,,,,SATANAS OF MONTPARNASSE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,58,10,2:21.470,+20.043,+1.340,137.9,11,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 3.0 1974,,,,,,,,,,,,Urs,BECK,,,CHE,,,,,,,Patrick,SIMON,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,60,15,2:22.571,+21.144,+1.101,136.8,16,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.3 1968,,,,,,,,,,,,Martin,WACHTER,,,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,93,5,2:25.197,+23.770,+2.626,134.3,13,,GT1,GT1,Grp2/4,Chevrolet Corvette C3 1969,,,,,,,,,,,,Eric,EXCOFFIER,,,FRA,,,,,,,Clément,EXCOFFIER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,16,2:25.894,+24.467,+0.697,133.7,16,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 2.8 1973,,,,,,,,,,,,Kurt,THIEL,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,61,8,2:29.443,+28.016,+3.549,130.5,16,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 3.0 1974,,,,,,,,,,,,Serge,LIBENS,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,47,14,2:29.865,+28.438,+0.422,130.1,15,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.2 1966,,,,,,,,,,,,André,WIGET,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,52,6,2:33.768,+32.341,+3.903,126.8,15,,P-2L,PROTO 1 -2L,-2000cc,Chevron B16 1970,,,,,,,,,,,,Francisco,SA CARNEIRO,,,PRT,,,,,,,Hipolito,PIRES,,,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9,12,2:35.407,+33.980,+1.639,125.5,13,,P-2L,PROTO 1 -2L,-2000cc,Porsche 910 1972,,,,,,,,,,,,,MONFORTINO,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,13,13,2:38.929,+37.502,+3.522,122.7,14,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 2.8 1972,,,,,,,,,,,,Oren,NATAF,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10,7,2:46.534,+45.107,+7.605,117.1,14,,GT1,GT1,Grp2/4,Porsche 904/6 Carrera GTS 1964,,,,,,,,,,,,Jean-Jacques,BALLY,,,FRA,,,,,,,Remy,GOIRAN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,75,0,,,,,2,,P-2L,PROTO 2 -2L,-2000cc,Chevron B31 1975,,,,,,,,,,,,Ludovic,CARON,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
