POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,27,9,2:01.427,-,-,160.6,10,,P+2L,PROTO 2 +2L,+2000cc,Chevron B27S 1974,,,,,,,,,,,,Kyle,TILLEY,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,85,15,2:07.685,+6.258,+6.258,152.8,16,,P-2L,PROTO 2 -2L,-2000cc,Lola T292 1973,,,,,,,,,,,,Tony,SINCLAIR,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,99,6,2:07.872,+6.445,+0.187,152.5,12,,P-2L,PROTO 1 -2L,-2000cc,Chevron B19 1971,,,,,,,,,,,,Jamie,CONSTABLE,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,80,10,2:09.097,+7.670,+1.225,151.1,13,,P-2L,PROTO 1 -2L,-2000cc,Chevron B19 1971,,,,,,,,,,,,Xavier,MICHEL,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,84,3,2:10.397,+8.970,+1.300,149.6,15,,GT2,GT2,Grp5,Porsche 935 K3 1981,,,,,,,,,,,,Pascal,DUHAMEL,,,FRA,,,,,,,Sébastien,CRUBILE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,15,2:12.228,+10.801,+1.831,147.5,15,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.3B 1969,,,,,,,,,,,,Toni,SEILER,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,62,14,2:12.304,+10.877,+0.076,147.4,15,,P-2L,PROTO 1 -2L,-2000cc,Chevron B19 1971,,,,,,,,,,,,Michael,BIRCH,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,31,12,2:12.988,+11.561,+0.684,146.7,18,,P-2L,PROTO 1 -2L,-2000cc,Lola T212 1971,,,,,,,,,,,,Gary,FURST,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,70,4,2:14.090,+12.663,+1.102,145.5,17,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.3B 1969,,,,,,,,,,,,Ross,HYETT,,,GBR,,,,,,,Nick,HYETT,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,95,8,2:14.244,+12.817,+0.154,145.3,17,,P-2L,PROTO 1 -2L,-2000cc,Chevron B16 1970,,,,,,,,,,,,Henrique,GEMPERLE,,,CHE,,,,,,,Marc,de SIEBENTHAL,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,72,6,2:14.824,+13.397,+0.580,144.7,16,,P-2L,PROTO 1 -2L,-2000cc,Chevron B19 1971,,,,,,,,,,,,,NELSON,,,FRA,,,,,,,Pierre,FILLON,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,59,11,2:15.238,+13.811,+0.414,144.2,11,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.3B 1968,,,,,,,,,,,,Steve,BROOKS,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,21,3,2:15.270,+13.843,+0.032,144.2,4,,GT2,GT2,Grp5,De Tomaso Pantera Gr.5 1979,,,,,,,,,,,,Ralf,KELLENERS,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,24,13,2:16.398,+14.971,+1.128,143.0,18,,P-2L,PROTO 1 -2L,-2000cc,Chevron B16 1971,,,,,,,,,,,,François,BOURDIN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22,12,2:17.555,+16.128,+1.157,141.8,17,,P-2L,PROTO 1 -2L,-2000cc,Chevron B16 1970,,,,,,,,,,,,Didier,ROBIN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,15,2:19.203,+17.776,+1.648,140.1,15,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 2.8 1973,,,,,,,,,,,,Geoffroy,PETER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
