POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,75,Classified,25,1:09:31.134,-,-,22,2:05.237,155.7,,P-2L,PROTO 2 -2L,-2000cc,Chevron B31 1975,,,,,,,,,,,,Ludovic,CARON,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,99,Classified,25,1:09:51.624,+20.490,+20.490,22,2:04.868,156.2,,P-2L,PROTO 1 -2L,-2000cc,Chevron B19 1971,,,,,,,,,,,,Jamie,CONSTABLE,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,Classified,25,1:10:26.244,+55.110,+34.620,24,2:08.710,151.5,,P-2L,PROTO 1 -2L,-2000cc,Lola T212 1971,,,,,,,,,,,,Gary,FURST,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,Classified,25,1:11:05.321,+1:34.187,+39.077,19,2:09.473,150.6,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.3B 1969,,,,,,,,,,,,Toni,SEILER,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,24,Classified,25,1:11:44.505,+2:13.371,+39.184,18,2:13.212,146.4,,P-2L,PROTO 1 -2L,-2000cc,Chevron B16 1971,,,,,,,,,,,,François,BOURDIN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,95,Classified,25,1:12:28.553,+2:57.419,+44.048,12,2:10.739,149.2,,P-2L,PROTO 1 -2L,-2000cc,Chevron B16 1970,,,,,,,,,,,,Henrique,GEMPERLE,,,CHE,,,,,,,Marc,de SIEBENTHAL,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,84,Classified,24,1:09:47.830,1 Lap,1 Lap,19,2:09.363,150.8,,GT2,GT2,Grp5,Porsche 935 K3 1981,,,,,,,,,,,,Pascal,DUHAMEL,,,FRA,,,,,,,Sébastien,CRUBILE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,72,Classified,24,1:09:49.797,1 Lap,+1.967,10,2:11.530,148.3,,P-2L,PROTO 1 -2L,-2000cc,Chevron B19 1971,,,,,,,,,,,,,NELSON,,,FRA,,,,,,,Pierre,FILLON,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23,Classified,24,1:10:27.646,1 Lap,+37.849,23,2:17.235,142.1,,GT2,GT2,Grp2/4,Porsche 930 Turbo Gr.IV 1979,,,,,,,,,,,,,SATANAS OF MONTPARNASSE,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,58,Classified,24,1:10:54.146,1 Lap,+26.500,20,2:17.871,141.5,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 3.0 1974,,,,,,,,,,,,Urs,BECK,,,CHE,,,,,,,Patrick,SIMON,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,61,Classified,24,1:11:15.129,1 Lap,+20.983,11,2:23.570,135.9,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 3.0 1974,,,,,,,,,,,,Serge,LIBENS,,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,Classified,24,1:11:19.261,1 Lap,+4.132,14,2:20.539,138.8,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 2.8 1973,,,,,,,,,,,,Geoffroy,PETER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,47,Classified,24,1:11:39.139,1 Lap,+19.878,17,2:21.208,138.1,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.2 1966,,,,,,,,,,,,André,WIGET,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,Classified,24,1:11:45.484,1 Lap,+6.345,17,2:22.109,137.3,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 2.8 1973,,,,,,,,,,,,Kurt,THIEL,,,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,60,Classified,24,1:11:54.802,1 Lap,+9.318,16,2:18.138,141.2,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.3 1968,,,,,,,,,,,,Martin,WACHTER,,,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9,Classified,23,1:11:18.456,2 Laps,1 Lap,23,2:26.758,132.9,,P-2L,PROTO 1 -2L,-2000cc,Porsche 910 1972,,,,,,,,,,,,,MONFORTINO,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,Classified,22,1:09:49.048,3 Laps,1 Lap,14,2:31.576,128.7,,GT1,GT1,Grp2/4,Porsche 911 Carrera RSR 2.8 1972,,,,,,,,,,,,Oren,NATAF,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
