18,85,Classified,22,1:11:42.334,3 Laps,+1:53.286,18,2:04.529,156.6,,P-2L,PROTO 2 -2L,-2000cc,Lola T292 1973,,,,,,,,,,,,Tony,SINCLAIR,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,Classified,21,1:09:49.765,4 Laps,1 Lap,6,2:43.847,119.0,,GT1,GT1,Grp2/4,Porsche 904/6 Carrera GTS 1964,,,,,,,,,,,,Jean-Jacques,BALLY,,,FRA,,,,,,,Remy,GOIRAN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,93,Classified,21,1:10:44.960,4 Laps,+55.195,10,2:17.558,141.8,,GT1,GT1,Grp2/4,Chevrolet Corvette C3 1969,,,,,,,,,,,,Eric,EXCOFFIER,,,FRA,,,,,,,Clément,EXCOFFIER,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,Classified,18,56:30.817,7 Laps,3 Laps,17,2:16.942,142.4,,P-2L,PROTO 1 -2L,-2000cc,Chevron B16 1970,,,,,,,,,,,,Didier,ROBIN,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,Not classified,15,52:56.699,,,10,2:11.108,148.8,,P-2L,PROTO 1 -2L,-2000cc,Chevron B19 1971,,,,,,,,,,,,Xavier,MICHEL,,,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,Not classified,14,48:35.211,,,11,2:26.197,133.4,,P-2L,PROTO 1 -2L,-2000cc,Chevron B16 1970,,,,,,,,,,,,Francisco,SA CARNEIRO,,,PRT,,,,,,,Hipolito,PIRES,,,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,Not classified,6,18:05.676,,,6,2:04.087,157.2,,P+2L,PROTO 2 +2L,+2000cc,Chevron B27S 1974,,,,,,,,,,,,Kyle,TILLEY,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,Not classified,6,19:18.653,,,5,2:50.010,114.7,,GT2,GT2,Grp5,De Tomaso Pantera Gr.5 1979,,,,,,,,,,,,Ralf,KELLENERS,,,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,Not classified,1,2:24.910,,,0,,,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.3B 1968,,,,,,,,,,,,Steve,BROOKS,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,Not classified,1,3:25.029,,,0,,,,P+2L,PROTO 1 +2L,+2000cc,Lola T70 Mk.3B 1969,,,,,,,,,,,,Ross,HYETT,,,GBR,,,,,,,Nick,HYETT,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,Not classified,0,,,,0,,,,P-2L,PROTO 1 -2L,-2000cc,Chevron B19 1971,,,,,,,,,,,,Michael,BIRCH,,,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
