POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,10,Classified,121,2:40:20.108,-,-,79,1:12.666,180.0,Konica Minolta Acura ARX-05,DPi,,,Acura DPi,M,948,81,27,65,7641,3,,12724,,Konica Minolta,Ricky,Taylor,Platinum,,USA,,608,1,Platinum,,,Filipe,Albuquerque,Platinum,,PRT,,1194,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,60,Classified,121,2:40:22.206,+2.098,+2.098,70,1:12.264,181.0,Meyer Shank Racing W/Curb-Agajanian,DPi,,,Acura DPi,M,947,3,27,65,7641,3,,12725,,AutoNation / SiriusXM / Arctic Wolf,Oliver,Jarvis,Platinum,,GBR,,1999,1,Platinum,,,Tom,Blomqvist,Platinum,,MCO,,1718,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,Classified,121,2:40:37.018,+16.910,+14.812,70,1:12.543,180.3,Whelen Engineering Racing,DPi,,,Cadillac DPi,M,741,159,27,49,7646,3,,12722,,Whelen Engineering,Pipo,Derani,Platinum,,BRA,,1083,3,Platinum,,,Tristan,Nunez,Gold,,USA,,169,1,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,02,Classified,121,2:40:57.024,+36.916,+20.006,91,1:12.470,180.5,Cadillac Racing,DPi,,,Cadillac DPi,M,1549,339,27,49,7646,3,,12727,,Cadillac Accessories,Earl,Bamber,Platinum,,NZL,,651,1,Platinum,,,Alex,Lynn,Platinum,,GBR,,1313,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01,Classified,121,2:40:57.212,+37.104,+0.188,79,1:12.720,179.9,Cadillac Racing,DPi,,,Cadillac DPi,M,943,339,27,49,7646,3,,12726,,Cadillac V-Performance Academy,Renger,van der Zande,Gold,,NLD,,1998,1,Gold,,,Sebastien,Bourdais,Platinum,,FRA,,602,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,Classified,121,2:41:22.409,+1:02.301,+25.197,89,1:12.889,179.5,JDC Miller MotorSports,DPi,,,Cadillac DPi,M,758,270,27,49,7646,3,,12723,,Mustang Sampling / Cadillac / Galp / Misahara,Tristan,Vautier,Gold,,FRA,,635,1,Gold,,,Richard,Westbrook,Platinum,,GBR,,2688,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,81,Classified,118,2:40:58.760,3 Laps,3 Laps,53,1:13.737,177.4,DragonSpeed USA,LMP2,,,ORECA LMP2 07,M,797,305,28,85,7637,3,,12839,,,Henrik,Hedman,Bronze,,USA,,1142,1,Bronze,,,Juan Pablo,Montoya,Platinum,,COL,,2889,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,Classified,118,2:41:12.412,3 Laps,+13.652,95,1:13.982,176.8,PR1 Mathiasen Motorsports,LMP2,,,ORECA LMP2 07,M,1556,16,28,85,7637,3,,12836,,TAFS,Steven,Thomas,Bronze,,USA,,1919,1,Bronze,,,Jonathan,Bomarito,Gold,,USA,,309,3,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20,Classified,118,2:41:30.101,3 Laps,+17.689,89,1:14.206,176.3,High Class Racing,LMP2,,,ORECA LMP2 07,M,968,348,28,85,7637,3,,12834,,Polar Handtools / Polar Seafood / Mascot Workwear / HRX / Motul / Skaarup / Ceramic Speed / Stobag / Wexler / ATS / SPS,Dennis,Andersen,Bronze,,DNK,,2737,1,Bronze,,,Anders,Fjordbach,Silver,,DNK,,2718,2,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8,Classified,117,2:40:49.530,4 Laps,1 Lap,77,1:13.725,177.4,Tower Motorsport,LMP2,,,ORECA LMP2 07,M,973,352,28,85,7637,3,,12838,,Tower Events,John,Farano,Bronze,,CAN,,441,1,Bronze,,,Will,Stevens,Platinum,,GBR,,2698,3,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
