POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
11,52,46,1:14.876,+3.048,+0.288,174.7,50,PR1 Mathiasen Motorsports,LMP2,,,ORECA LMP2 07,M,776,16,28,85,7637,3,,12837,,End ALZ,Josh,Pierson,Gold,,USA,,2761,4,Gold,,,Patrick,Kelly,Bronze,,USA,,1704,1,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,54,9,1:17.603,+5.775,+2.727,168.6,42,CORE Autosport,LMP3,,,Ligier JS P320,M,1674,174,36,96,7650,3,,12729,,Crowdstrike / Motul / FLEX-BOX,Jon,Bennett,Bronze,,USA,,60,1,Bronze,,,Colin,Braun,Gold,,USA,,61,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,81,23,1:17.957,+6.129,+0.354,167.8,35,DragonSpeed USA,LMP2,,,ORECA LMP2 07,M,797,305,28,85,7637,3,,12839,,,Henrik,Hedman,Bronze,,USA,,1142,1,Bronze,,,Juan Pablo,Montoya,Platinum,,COL,,2889,2,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,30,11,1:17.968,+6.140,+0.011,167.8,48,Jr III Racing,LMP3,,,Ligier JS P320,M,1676,283,36,96,7650,3,,12731,,AirBnB / S2 Cyber,Ari,Balogh,Bronze,,USA,,1081,1,Bronze,,,Garett,Grist,Gold,,CAN,,1388,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,74,35,1:18.013,+6.185,+0.045,167.7,46,Riley Motorsports,LMP3,,,Ligier JS P320,M,1677,35,36,96,7650,3,,12732,,74 Ranch Resort,Gar,Robinson,Silver,,USA,,861,1,Silver,,,Felipe,Fraga,Gold,,BRA,,1750,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,33,14,1:18.228,+6.400,+0.215,167.2,47,Sean Creech Motorsport,LMP3,,,Ligier JS P320,M,1603,286,36,96,7650,3,,12728,,Exelixis / Focal One / Alta,Joao,Barbosa,Gold,,PRT,,182,1,Gold,,,Lance,Willsey,Bronze,,USA,,664,2,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,58,14,1:18.276,+6.448,+0.048,167.1,39,MLT Motorsports,LMP3,,,Ligier JS P320,M,1825,260,36,96,7650,3,,12735,,,Dakota,Dickerson,Silver,,USA,,1756,1,Silver,,,Josh,Sarchet,Bronze,,USA,,2777,2,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,38,10,1:18.360,+6.532,+0.084,166.9,45,Performance Tech Motorsports,LMP3,,,Ligier JS P320,M,1678,289,36,96,7650,3,,12733,,Cardio Access / CSCI / AIG Technologies,Dan,Goldburg,Bronze,,USA,,1915,1,Bronze,,,Rasmus,Lindh,Silver,,SWE,,2101,2,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,13,13,1:20.966,+9.138,+2.606,161.6,37,AWA,LMP3,,,Duqueine D08,M,1675,217,36,105,7665,3,,12730,,Orlando Corp / OMP / Sonic Tools / Racing Spirit / Urbinco / Westrock / Motul / Projekt / C17 Media,Orey,Fidani,Bronze,,CAN,,973,3,Bronze,,,Kuno,Wittmer,Gold,,CAN,,237,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,96,43,1:21.220,+9.392,+0.254,161.1,49,Turner Motorsport,GTD,,,BMW M4 GT3,M,1553,38,4,111,74,3,,12739,,Turner Motorsport / LiquiMoly / Barletta Engineering,Robby,Foley,Silver,,USA,,1302,2,Silver,,,Bill,Auberlen,Gold,,USA,,39,1,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17,13,1:21.428,+9.600,+0.208,160.7,44,VasserSullivan,GTD,,,Lexus RC F GT3,M,1822,336,4,46,7644,3,,12747,,,Jack,Hawksworth,Gold,,GBR,,838,2,Gold,,,Richard,Heistand,Bronze,,USA,,1817,1,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,11,1:21.649,+9.821,+0.221,160.2,46,Paul Miller Racing,GTD,,,BMW M4 GT3,M,1558,34,4,111,74,3,,12740,,TOTAL Lubricants / UIS and Paul Miller Auto Group,Bryan,Sellers,Gold,,USA,,18,1,Gold,,,Madison,Snow,Silver,,USA,,155,2,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,12,15,1:21.667,+9.839,+0.018,160.2,38,VasserSullivan,GTD,,,Lexus RC F GT3,M,931,336,4,46,7644,3,,12738,,,Frankie,Montecalvo,Silver,,USA,,1279,1,Silver,,,Aaron,Telitz,Gold,,USA,,2230,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,16,13,1:22.046,+10.218,+0.379,159.4,46,Wright Motorsports,GTD,,,Porsche 911 GT3R,M,857,111,4,93,112,3,,12745,,1st Phorm / Mountain Motorsports / Una Vida Tequila,Ryan,Hardwick,Bronze,,USA,,1256,1,Bronze,,,Jan,Heylen,Gold,,BEL,,184,3,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,32,14,1:22.214,+10.386,+0.168,159.1,30,Team Korthoff Motorsports,GTD,,,Mercedes-AMG GT3,M,1462,222,4,45,7643,3,,12742,,Herb Korthoff,Mike,Skeen,Silver,,USA,,830,1,Silver,,,Stevan,McAleer,Silver,,GBR,,460,2,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,57,32,1:22.228,+10.400,+0.014,159.1,50,Winward Racing,GTD,,,Mercedes-AMG GT3,M,934,304,4,45,7643,3,,12736,,Techemet / First Horizon / Exxon Mobil,Russell,Ward,Silver,,USA,,1252,1,Silver,,,Philip,Ellis,Gold,,CHE,,1936,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,51,12,1:22.359,+10.531,+0.131,158.8,45,Rick Ware Racing,GTD,,,Acura NSX GT3,M,1748,307,4,43,7641,3,,12746,,Nurtec ODT,Ryan,Eversley,Gold,,USA,,501,3,Gold,,,Aidan,Read,Silver,,AUS,,2417,2,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,70,13,1:22.359,+10.531,+0.000,158.8,45,inception racing,GTD,,,McLaren 720S GT3,M,1520,388,4,81,7651,3,,12744,,,Brendan,Iribe,Bronze,,USA,,2622,1,Bronze,,,Jordan,Pepper,Gold,,ZAF,,2716,4,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,39,10,1:22.527,+10.699,+0.168,158.5,38,CarBahn with Peregrine Racing,GTD,,,Lamborghini Huracan GT3,M,1540,378,4,13,1609,3,,12737,,Accel / Menlo / DataRobot / Palantir / SailPoint / Optimizely,Robert,Megennis,Silver,,USA,,2412,1,Silver,,,Jeff,Westphal,Gold,,USA,,682,4,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,27,44,1:22.550,+10.722,+0.023,158.5,45,Heart of Racing Team,GTD,,,Aston Martin Vantage GT3,M,1510,294,4,18,73,3,,12741,,,Roman,De Angelis,Silver,,CAN,,1379,1,Silver,,,Maxime,Martin,Platinum,,BEL,,360,3,Platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,36,0,,,,,0,Andretti Autosport,LMP3,,,Ligier JS P320,M,1681,357,36,96,7650,3,,12734,,Gallant / Window World,Jarett,Andretti,Silver,,USA,,2292,1,Silver,,,Gabby,Chaves,Gold,,COL,,600,2,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
