POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSA_DriverId,DRIVER1_IMSA_DriverPlugId,DRIVER1_IMSA_DriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSA_DriverId,DRIVER2_IMSA_DriverPlugId,DRIVER2_IMSA_DriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSA_DriverId,DRIVER3_IMSA_DriverPlugId,DRIVER3_IMSA_DriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSA_DriverId,DRIVER4_IMSA_DriverPlugId,DRIVER4_IMSA_DriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSA_DriverId,DRIVER5_IMSA_DriverPlugId,DRIVER5_IMSA_DriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSA_DriverId,DRIVER6_IMSA_DriverPlugId,DRIVER6_IMSA_DriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
12,18,24,1:39.044,+3.859,+0.008,208.2,38,Era Motorsport,LMP2,,,ORECA LMP2 07,M,761,291,28,85,7637,3,,14208,,,Dwight,Merriman,Bronze,,USA,,1930,1,Bronze,,,Ryan,Dalziel,Gold,,GBR,,192,2,Gold,,,Christian,Rasmussen,Silver,,DNK,,2966,3,Silver,,,Oliver,Jarvis,Platinum,,GBR,,1999,4,Platinum,,,,,,,,,,,,,,,
13,11,25,1:39.056,+3.871,+0.012,208.2,38,TDS Racing,LMP2,,,ORECA LMP2 07,M,2166,335,28,85,7637,3,,14211,,,Steven,Thomas,Bronze,,USA,,1919,1,Bronze,,,Mikkel,Jensen,Platinum,,DNK,,2088,2,Platinum,,,Scott,Huffaker,Silver,,USA,,1852,3,Silver,,,Rinus,VeeKay,Gold,,NLD,,2420,4,Gold,,,,,,,,,,,,,,,
14,88,7,1:39.314,+4.129,+0.258,207.7,37,AF Corse,LMP2,,,ORECA LMP2 07,M,2173,333,28,85,7637,3,,14215,,,Francois,Perrodo,Bronze,,GBR,,1296,1,Bronze,,,Matthieu,Vaxiviere,Gold,,FRA,,3024,2,Gold,,,Julien,Canal,Silver,,FRA,,1229,3,Silver,,,Nicklas,Nielsen,Platinum,,DNK,,2065,4,Platinum,,,,,,,,,,,,,,,
15,04,25,1:39.448,+4.263,+0.134,207.4,42,Crowdstrike Racing by APR,LMP2,,,ORECA LMP2 07,M,2160,459,28,85,7637,3,,14209,,,George,Kurtz,Bronze,,USA,,1612,1,Bronze,,,Ben,Hanley,Gold,,GBR,,1275,2,Gold,,,Matt,McMurry,Silver,,USA,,393,3,Silver,,,Esteban,Gutierrez,Platinum,,MEX,,3042,4,Platinum,,,,,,,,,,,,,,,
16,51,22,1:39.705,+4.520,+0.257,206.9,33,Rick Ware Racing,LMP2,,,ORECA LMP2 07,M,2197,307,28,85,7637,3,,14217,,,Eric,Lux,Bronze,,USA,,96,1,Bronze,,,Devlin,Defrancesco,Silver,,CAN,,1625,2,Silver,,,Austin,Cindric,Gold,,USA,,878,3,Gold,,,Pietro,Fittipaldi,Gold,,BRA,,3048,4,Gold,,,,,,,,,,,,,,,
17,20,11,1:39.899,+4.714,+0.194,206.5,35,High Class Racing,LMP2,,,ORECA LMP2 07,M,968,348,28,85,7637,3,,14216,,,Dennis,Andersen,Bronze,,DNK,,3043,1,Bronze,,,Ed,Jones,Gold,,ARE,,2418,2,Gold,,,Anders,Fjordbach,Silver,,DNK,,3044,3,Silver,,,Raffaele,Marciello,Platinum,,CHE,,2259,4,Platinum,,,,,,,,,,,,,,,
18,55,20,1:40.503,+5.318,+0.604,205.2,20,Proton Competition,LMP2,,,ORECA LMP2 07,M,2169,461,28,85,7637,3,,14214,,,Fred,Poordad,Bronze,,USA,,160,1,Bronze,,,Francesco,Pizzi,Silver,,ITA,,3036,6,Silver,,,James,Allen,Gold,,AUS,,1823,2,Gold,,,Giammaria,Bruni,Platinum,,ITA,,3045,4,Platinum,,,,,,,,,,,,,,,
19,8,9,1:41.062,+5.877,+0.559,204.1,12,Tower Motorsports,LMP2,,,ORECA LMP2 07,M,2164,460,28,85,7637,3,,14210,,,John,Farano,Bronze,,CAN,,441,1,Bronze,,,Scott,McLaughlin,Gold,,NZL,,2996,4,Gold,,,Josef,Newgarden,Platinum,,USA,,2982,3,Platinum,,,Kyffin,Simpson,Silver,,IOT,,2779,2,Silver,,,,,,,,,,,,,,,
20,74,24,1:42.491,+7.306,+1.429,201.2,32,Riley,LMP3,,,Ligier JS P320,M,2200,149,36,96,7650,3,,14226,,,Gar,Robinson,Silver,,USA,,861,1,Silver,,,Felipe,Fraga,Gold,,BRA,,1750,2,Gold,,,Josh,Burdon,Silver,,AUS,,2613,3,Silver,,,Glenn,van Berlo,Silver,,NLD,,2997,4,Silver,,,,,,,,,,,,,,,
21,17,26,1:42.799,+7.614,+0.308,200.6,38,AWA,LMP3,,,Duqueine D08,M,2108,217,36,105,7665,3,,14220,,,Anthony,Mantella,Bronze,,CAN,,2682,2,Bronze,,,Wayne,Boyd,Gold,,GBR,,3002,3,Gold,,,Nico,Varrone,Silver,,ARG,,2932,1,Silver,,,Thomas,Merrill,Bronze,,USA,,1458,4,Bronze,,,,,,,,,,,,,,,
