POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_ECM Driver Id,DRIVER1_ECM Country Id,DRIVER1_*Extra 3,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_ECM Driver Id,DRIVER2_ECM Country Id,DRIVER2_*Extra 3,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_ECM Driver Id,DRIVER3_ECM Country Id,DRIVER3_*Extra 3,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_ECM Driver Id,DRIVER4_ECM Country Id,DRIVER4_*Extra 3,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_ECM Driver Id,DRIVER5_ECM Country Id,DRIVER5_*Extra 3,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_ECM Driver Id,DRIVER6_ECM Country Id,DRIVER6_*Extra 3,DRIVER6_*Extra 4,DRIVER6_*Extra 5,
1,17,9,4:04.809,-,-,200.4,10,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Marcos,Regadas,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,544,10,4:04.889,+0.080,+0.080,200.3,10,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Marcal,Muller,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,97,9,4:04.977,+0.168,+0.088,200.2,10,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jeff,Giassi,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21,11,4:05.648,+0.839,+0.671,199.7,11,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Miguel,Mariotti,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,4,4:05.686,+0.877,+0.038,199.7,11,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Thiago,Vivacqua,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,9,4:05.941,+1.132,+0.255,199.4,10,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Miguel,Paludo,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19,9,4:05.961,+1.152,+0.020,199.4,10,,ROOKIE,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Pipo,Massa,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,72,6,4:06.107,+1.298,+0.146,199.3,10,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Antonella,Bassani,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,51,5,4:06.416,+1.607,+0.309,199.1,9,,SPORT,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Israel,Salmen,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,70,4,4:06.524,+1.715,+0.108,199.0,10,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Lucas,Salles,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,888,11,4:06.566,+1.757,+0.042,198.9,11,,SPORT,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Lineu,Pires,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,118,10,4:06.666,+1.857,+0.100,198.9,10,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Matheus,Comparatto,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,117,4,4:06.865,+2.056,+0.199,198.7,6,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Pietro,Fantin,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,45,9,4:07.016,+2.207,+0.151,198.6,10,,ROOKIE,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Jose,Moura NET,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,31,5,4:07.643,+2.834,+0.627,198.1,10,,SPORT,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Seba,Malucelli,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,27,5,4:07.763,+2.954,+0.120,198.0,10,,SPORT,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Josimar,Junior,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,8,4:07.764,+2.955,+0.001,198.0,10,,SPORT,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Cristian,Mohr,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11,8,4:07.871,+3.062,+0.107,197.9,10,,CARRERA,,,Porsche 911 GT3 Cup,,,,,,,,,,,,Pedro,Boesel,,,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
